index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60759;Andalucía;countryHouse;Vacio;30000.0;15.0;1;0.0;36.7606188;-4.5260895
61484;Andalucía;countryHouse;Vacio;60000.0;35.0;1;0.0;36.7339283;-5.1651448
61948;Andalucía;countryHouse;Vacio;39950.0;37.0;1;0.0;37.2945529;-1.8821846
64707;Andalucía;countryHouse;Vacio;160000.0;45.0;1;0.0;36.2147847;-6.0116941
75747;Andalucía;countryHouse;Vacio;150000.0;60.0;1;2.0;36.43496;-5.156744
79101;Andalucía;countryHouse;Vacio;72000.0;70.0;1;0.0;36.8849241;-4.5224833
82205;Andalucía;countryHouse;Vacio;120000.0;110.0;1;0.0;36.7379152;-4.1304533
82547;Andalucía;countryHouse;Vacio;53000.0;134.0;1;0.0;37.3460755;-2.5335343
87775;Andalucía;countryHouse;Vacio;69000.0;54.0;2;0.0;36.7557989;-4.1858781
89335;Andalucía;countryHouse;Vacio;85000.0;55.0;2;0.0;36.4347771;-5.16784
93548;Andalucía;countryHouse;Vacio;137250.0;60.0;2;0.0;36.6674157;-4.6265487
93861;Andalucía;countryHouse;Vacio;120000.0;60.0;2;0.0;36.9468377;-3.55196
97469;Andalucía;countryHouse;Vacio;210000.0;62.0;2;2.0;36.9502582;-2.4883329
100077;Andalucía;countryHouse;Vacio;390000.0;64.0;2;0.0;36.7649388;-3.8888862
101057;Andalucía;countryHouse;Vacio;155000.0;65.0;2;0.0;36.8464304;-3.9861449
101058;Andalucía;countryHouse;Vacio;85000.0;65.0;2;0.0;36.8349;-3.97477
102104;Andalucía;countryHouse;Vacio;110000.0;65.0;2;0.0;36.0165914;-5.606933
103515;Andalucía;countryHouse;Vacio;220000.0;65.0;2;0.0;36.7928751;-3.8933061
109684;Andalucía;countryHouse;Vacio;80000.0;70.0;2;0.0;36.7370283;-5.1655448
112301;Andalucía;countryHouse;Vacio;99000.0;70.0;2;0.0;36.6275787;-4.8412435
112344;Andalucía;countryHouse;Vacio;89000.0;70.0;2;0.0;36.6536707;-4.8325843
125457;Andalucía;countryHouse;Vacio;170000.0;77.0;2;0.0;36.4406564;-5.1666027
127713;Andalucía;countryHouse;Vacio;43000.0;79.0;2;0.0;37.4665786;-3.924353
128813;Andalucía;countryHouse;Vacio;179000.0;80.0;2;0.0;36.6579859;-4.8325654
128995;Andalucía;countryHouse;Vacio;95000.0;80.0;2;0.0;36.8223098;-4.5405963
129624;Andalucía;countryHouse;Vacio;239000.0;80.0;2;0.0;36.8002123;-4.01115
130299;Andalucía;countryHouse;Vacio;98000.0;80.0;2;0.0;37.0217536;-3.6238878
132366;Andalucía;countryHouse;Vacio;82000.0;80.0;2;0.0;37.0219536;-3.6258878
133991;Andalucía;countryHouse;Vacio;104000.0;81.0;2;0.0;36.6442106;-4.4995286
137281;Andalucía;countryHouse;Vacio;119500.0;84.0;2;0.0;36.6004474;-4.5363968
138661;Andalucía;countryHouse;Vacio;114000.0;85.0;2;0.0;37.469664;-5.636292
141860;Andalucía;countryHouse;Vacio;147000.0;87.0;2;0.0;36.9022391;-3.4239899
144271;Andalucía;countryHouse;Vacio;180000.0;90.0;2;0.0;36.7615072;-3.9466074
