index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61574;Andalucía;countryHouse;farmhouse;93000.0;35.0;1;2.0;36.71592;-6.0874852
62618;Andalucía;countryHouse;farmhouse;135000.0;40.0;1;0.0;36.7878693;-3.9188701
62836;Andalucía;countryHouse;farmhouse;57200.0;40.0;1;0.0;36.9129901;-2.441416
68904;Andalucía;countryHouse;farmhouse;78000.0;50.0;1;0.0;38.0630889;-6.6478576
74443;Andalucía;countryHouse;farmhouse;100000.0;60.0;1;0.0;36.8358034;-3.5137448
74796;Andalucía;countryHouse;farmhouse;87000.0;60.0;1;0.0;37.02256;-3.62917
75035;Andalucía;countryHouse;farmhouse;105000.0;60.0;1;0.0;36.7102417;-3.4916264
78739;Andalucía;countryHouse;farmhouse;108000.0;70.0;1;0.0;36.7369663;-3.9641869
80729;Andalucía;countryHouse;farmhouse;99900.0;80.0;1;0.0;37.2925665;-1.8801293
80742;Andalucía;countryHouse;farmhouse;100000.0;80.0;1;0.0;37.4449081;-7.1011997
81510;Andalucía;countryHouse;farmhouse;125000.0;90.0;1;0.0;36.729246;-3.4795035
86518;Andalucía;countryHouse;farmhouse;33000.0;51.0;2;0.0;37.0467118;-2.3895052
97422;Andalucía;countryHouse;farmhouse;183000.0;62.0;2;2.0;36.9520106;-2.4939499
99655;Andalucía;countryHouse;farmhouse;70000.0;64.0;2;0.0;37.3682569;-2.306186
110852;Andalucía;countryHouse;farmhouse;1200000.0;70.0;2;0.0;37.6479707;-2.082179
113085;Andalucía;countryHouse;farmhouse;145000.0;70.0;2;2.0;37.4046794;-6.0374137
113940;Andalucía;countryHouse;farmhouse;169000.0;70.0;2;0.0;36.9027623;-5.2891482
116032;Andalucía;countryHouse;farmhouse;59000.0;72.0;2;0.0;37.0087739;-2.7377131
121442;Andalucía;countryHouse;farmhouse;120000.0;75.0;2;0.0;36.7972069;-3.6394453
123287;Andalucía;countryHouse;farmhouse;145000.0;75.0;2;0.0;36.7504939;-3.6937146
126829;Andalucía;countryHouse;farmhouse;115000.0;78.0;2;0.0;37.1880243;-1.9819522
128612;Andalucía;countryHouse;farmhouse;355950.0;80.0;2;0.0;36.9847984;-2.6216085
137065;Andalucía;countryHouse;farmhouse;65000.0;84.0;2;0.0;36.8629123;-3.0554711
148305;Andalucía;countryHouse;farmhouse;170000.0;93.0;2;0.0;36.9468377;-3.55196
149337;Andalucía;countryHouse;farmhouse;179000.0;95.0;2;0.0;36.8334;-3.97797
152170;Andalucía;countryHouse;farmhouse;130000.0;100.0;2;0.0;37.1487798;-3.6501068
152813;Andalucía;countryHouse;farmhouse;95000.0;100.0;2;0.0;37.3872792;-2.3856143
155275;Andalucía;countryHouse;farmhouse;99500.0;105.0;2;0.0;37.0475118;-2.3915052
156866;Andalucía;countryHouse;farmhouse;119000.0;110.0;2;0.0;37.0512131;-2.3893109
161045;Andalucía;countryHouse;farmhouse;126000.0;128.0;2;0.0;37.1880243;-1.9819522
163431;Andalucía;countryHouse;farmhouse;800000.0;150.0;2;0.0;36.0155768;-5.5921371
164919;Andalucía;countryHouse;farmhouse;129000.0;190.0;2;0.0;36.94397;-3.17875
165173;Andalucía;countryHouse;farmhouse;250000.0;200.0;2;0.0;37.9616639;-6.7426368
165376;Andalucía;countryHouse;farmhouse;198000.0;220.0;2;0.0;36.7364518;-2.6485195
216421;Andalucía;countryHouse;farmhouse;179000.0;91.0;3;0.0;37.4639411;-3.9222248
222864;Andalucía;countryHouse;farmhouse;425000.0;95.0;3;0.0;37.2494306;-1.869154
246278;Andalucía;countryHouse;farmhouse;179950.0;107.0;3;0.0;37.1386108;-1.8591312
253875;Andalucía;countryHouse;farmhouse;160000.0;111.0;3;0.0;37.1884182;-1.9828151
262945;Andalucía;countryHouse;farmhouse;330000.0;120.0;3;0.0;36.8247829;-3.9769635
263498;Andalucía;countryHouse;farmhouse;165000.0;120.0;3;0.0;37.0400734;-2.2015249
263984;Andalucía;countryHouse;farmhouse;65000.0;120.0;3;0.0;37.8032907;-2.7979043
265585;Andalucía;countryHouse;farmhouse;190000.0;120.0;3;0.0;36.7373655;-3.7410416
268965;Andalucía;countryHouse;farmhouse;398000.0;125.0;3;0.0;36.7437675;-3.8907051
276340;Andalucía;countryHouse;farmhouse;99000.0;136.0;3;0.0;37.726642;-3.9743753
278452;Andalucía;countryHouse;farmhouse;85000.0;140.0;3;0.0;37.6883143;-2.0964892
279340;Andalucía;countryHouse;farmhouse;180000.0;140.0;3;0.0;36.9029153;-4.1139612
282582;Andalucía;countryHouse;farmhouse;195000.0;150.0;3;0.0;36.6433858;-4.6912388
285327;Andalucía;countryHouse;farmhouse;146000.0;156.0;3;0.0;37.4612411;-3.9211248
