index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
720;Andalucía;countryHouse;village house;38000.0;28.0;0;0.0;37.2717712;-7.0207796
73321;Andalucía;countryHouse;village house;60000.0;57.0;1;0.0;36.1472112;-5.7026483
82130;Andalucía;countryHouse;village house;77200.0;108.0;1;0.0;37.5918874;-5.8835136
82429;Andalucía;countryHouse;village house;165000.0;122.0;1;2.0;37.3968536;-5.9788269
82880;Andalucía;countryHouse;village house;69000.0;269.0;1;0.0;36.6019532;-6.2316259
84977;Andalucía;countryHouse;village house;35000.0;49.0;2;0.0;36.7708967;-4.3199176
85993;Andalucía;countryHouse;village house;99000.0;50.0;2;0.0;36.72197;-4.3751862
102568;Andalucía;countryHouse;village house;93000.0;65.0;2;0.0;36.2778882;-6.0871132
102569;Andalucía;countryHouse;village house;85000.0;65.0;2;2.0;36.276615;-6.0926154
110580;Andalucía;countryHouse;village house;99000.0;70.0;2;0.0;36.6614651;-4.5649102
112342;Andalucía;countryHouse;village house;70000.0;70.0;2;0.0;36.662917;-4.5645419
120665;Andalucía;countryHouse;village house;48000.0;75.0;2;0.0;36.91406;-4.29179
123669;Andalucía;countryHouse;village house;89000.0;75.0;2;0.0;36.602159;-4.5346413
129982;Andalucía;countryHouse;village house;69000.0;80.0;2;0.0;37.212695;-7.4048215
130376;Andalucía;countryHouse;village house;105000.0;80.0;2;0.0;36.6647073;-4.5646809
130397;Andalucía;countryHouse;village house;131300.0;80.0;2;0.0;36.7818532;-4.103002
135512;Andalucía;countryHouse;village house;49900.0;82.0;2;0.0;37.2844311;-5.8982887
137501;Andalucía;countryHouse;village house;40000.0;84.0;2;0.0;37.265211;-4.412406
147559;Andalucía;countryHouse;village house;175000.0;92.0;2;0.0;36.658384;-4.755782
152981;Andalucía;countryHouse;village house;101500.0;100.0;2;0.0;37.290616;-6.0547857
155394;Andalucía;countryHouse;village house;69900.0;105.0;2;0.0;36.7340162;-4.6051006
157222;Andalucía;countryHouse;village house;75000.0;110.0;2;0.0;36.4240316;-5.1467389
159645;Andalucía;countryHouse;village house;85000.0;120.0;2;0.0;37.238094;-3.5662838
159959;Andalucía;countryHouse;village house;135000.0;120.0;2;0.0;36.7346444;-3.6890969
163372;Andalucía;countryHouse;village house;52940.0;150.0;2;0.0;37.29094;-5.49248
164295;Andalucía;countryHouse;village house;180000.0;168.0;2;0.0;37.1642905;-3.5901307
164678;Andalucía;countryHouse;village house;179000.0;180.0;2;0.0;36.7755386;-6.3515142
164877;Andalucía;countryHouse;village house;123000.0;188.0;2;0.0;37.2388612;-3.5665491
169224;Andalucía;countryHouse;village house;19000.0;61.0;3;0.0;37.7185508;-3.9664859
