index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9335;Andalucía;flat;duplex;190000.0;80.0;0;Vacio;37.3882828;-5.9993634
11137;Andalucía;flat;duplex;107500.0;92.0;0;Vacio;36.851036;-2.4462438
17289;Andalucía;flat;duplex;205000.0;150.0;0;Vacio;36.60415;-6.2716599
18602;Andalucía;flat;duplex;52000.0;165.0;0;2.0;37.8374845;-3.3545584
26702;Andalucía;flat;duplex;52000.0;400.0;0;Vacio;37.5386;-2.84558
62537;Andalucía;flat;duplex;44371.0;40.0;1;0.0;37.2618696;-6.9360315
62689;Andalucía;flat;duplex;47800.0;40.0;1;2.0;36.6023662;-4.5377429
64168;Andalucía;flat;duplex;135000.0;43.0;1;3.0;36.0147432;-5.6061155
65278;Andalucía;flat;duplex;62000.0;45.0;1;3.0;36.1591334;-5.4432102
66025;Andalucía;flat;duplex;89000.0;46.0;1;4.0;36.4898361;-4.753869
66447;Andalucía;flat;duplex;100000.0;47.0;1;3.0;36.0138145;-5.6015986
66676;Andalucía;flat;duplex;36288.0;48.0;1;10.0;36.4458363;-5.1056269
66746;Andalucía;flat;duplex;72000.0;48.0;1;2.0;36.4640608;-5.0375668
66762;Andalucía;flat;duplex;85000.0;48.0;1;5.0;36.7462545;-4.0401618
67202;Andalucía;flat;duplex;49223.0;49.0;1;3.0;36.4447275;-5.1055335
67208;Andalucía;flat;duplex;32300.0;49.0;1;0.0;36.83608;-3.515196
67731;Andalucía;flat;duplex;85000.0;50.0;1;8.0;36.489731;-4.753011
67788;Andalucía;flat;duplex;79000.0;50.0;1;3.0;36.7568097;-3.8883973
67789;Andalucía;flat;duplex;113400.0;50.0;1;2.0;36.7644369;-3.8685376
68083;Andalucía;flat;duplex;85000.0;50.0;1;8.0;36.4904206;-4.7559615
68117;Andalucía;flat;duplex;165000.0;50.0;1;2.0;37.1363576;-6.4805264
69130;Andalucía;flat;duplex;85000.0;50.0;1;8.0;36.489512;-4.755962
69287;Andalucía;flat;duplex;89000.0;50.0;1;3.0;37.386493;-6.0500133
69335;Andalucía;flat;duplex;87000.0;50.0;1;6.0;36.4858577;-4.7525218
70214;Andalucía;flat;duplex;85000.0;52.0;1;3.0;37.2549385;-6.953657
70399;Andalucía;flat;duplex;200000.0;52.0;1;3.0;37.391992;-5.9828965
70796;Andalucía;flat;duplex;42000.0;53.0;1;3.0;37.1231456;-4.657538
71026;Andalucía;flat;duplex;36288.0;54.0;1;0.0;36.4392891;-5.11727
71093;Andalucía;flat;duplex;51000.0;54.0;1;2.0;36.4761342;-6.2002631
71755;Andalucía;flat;duplex;85000.0;55.0;1;Vacio;36.4915306;-4.7530106
73116;Andalucía;flat;duplex;37100.0;57.0;1;2.0;36.83608;-3.515196
74218;Andalucía;flat;duplex;200000.0;59.0;1;2.0;37.3894728;-5.9885752
