index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60825;Andalucía;flat;penthouse;22000.0;25.0;1;11.0;36.6951877;-6.1465761
60864;Andalucía;flat;penthouse;72950.0;26.0;1;4.0;36.6058096;-4.5382885
60877;Andalucía;flat;penthouse;34500.0;27.0;1;3.0;36.1885048;-5.9232795
61041;Andalucía;flat;penthouse;65000.0;30.0;1;0.0;37.2701588;-7.0243184
61122;Andalucía;flat;penthouse;51500.0;30.0;1;4.0;36.5318013;-6.3013819
61154;Andalucía;flat;penthouse;98000.0;31.0;1;4.0;37.2086622;-7.2391847
61198;Andalucía;flat;penthouse;60500.0;32.0;1;4.0;36.7278228;-2.6208468
61200;Andalucía;flat;penthouse;135000.0;32.0;1;6.0;37.1747125;-3.596374
61264;Andalucía;flat;penthouse;30000.0;33.0;1;3.0;37.14354;-3.69275
61364;Andalucía;flat;penthouse;47000.0;34.0;1;4.0;36.6601761;-4.7561932
61393;Andalucía;flat;penthouse;49999.0;34.0;1;3.0;37.2189323;-1.8116423
61421;Andalucía;flat;penthouse;80000.0;34.0;1;6.0;36.5355219;-6.30124
62020;Andalucía;flat;penthouse;112350.0;37.0;1;4.0;36.8080747;-2.5808195
62035;Andalucía;flat;penthouse;49000.0;38.0;1;5.0;36.6586761;-4.7581932
62229;Andalucía;flat;penthouse;85000.0;38.0;1;5.0;36.5298187;-6.2889415
62237;Andalucía;flat;penthouse;105000.0;38.0;1;5.0;36.7755441;-2.8186535
62629;Andalucía;flat;penthouse;19000.0;40.0;1;11.0;36.6930437;-6.1453921
62662;Andalucía;flat;penthouse;119000.0;40.0;1;5.0;36.544648;-4.6269439
62663;Andalucía;flat;penthouse;138000.0;40.0;1;6.0;36.4883435;-4.7217707
62855;Andalucía;flat;penthouse;62000.0;40.0;1;5.0;36.5336797;-6.2994972
63225;Andalucía;flat;penthouse;23900.0;40.0;1;6.0;36.7432026;-5.1653577
63245;Andalucía;flat;penthouse;106000.0;40.0;1;2.0;36.7289912;-2.6394587
63269;Andalucía;flat;penthouse;149460.0;40.0;1;5.0;37.3407797;-5.8421666
63321;Andalucía;flat;penthouse;75000.0;40.0;1;4.0;36.7401051;-4.0962245
63345;Andalucía;flat;penthouse;107280.0;40.0;1;7.0;36.7764758;-2.8143171
63346;Andalucía;flat;penthouse;52000.0;40.0;1;6.0;36.7707912;-2.8135513
63511;Andalucía;flat;penthouse;84500.0;41.0;1;4.0;37.1824172;-6.9652443
63635;Andalucía;flat;penthouse;57200.0;41.0;1;7.0;36.6966088;-2.7902571
63754;Andalucía;flat;penthouse;35000.0;42.0;1;3.0;36.6269007;-4.5023815
63763;Andalucía;flat;penthouse;86000.0;42.0;1;6.0;36.595756;-6.2333691
63885;Andalucía;flat;penthouse;75000.0;42.0;1;4.0;37.1073491;-3.4298731
63992;Andalucía;flat;penthouse;71900.0;42.0;1;5.0;36.7807569;-6.3514618
64149;Andalucía;flat;penthouse;33000.0;43.0;1;4.0;37.2421269;-1.8607535
64337;Andalucía;flat;penthouse;57750.0;44.0;1;6.0;36.3762144;-5.2490024
64339;Andalucía;flat;penthouse;50000.0;44.0;1;4.0;37.22064;-1.80754
64379;Andalucía;flat;penthouse;86000.0;44.0;1;3.0;37.1213897;-1.8347154
64576;Andalucía;flat;penthouse;77800.0;44.0;1;2.0;36.8275804;-2.8726312
64581;Andalucía;flat;penthouse;112600.0;44.0;1;5.0;37.3816353;-5.9619956
64632;Andalucía;flat;penthouse;46250.0;45.0;1;3.0;36.777155;-2.8184058
64635;Andalucía;flat;penthouse;74100.0;45.0;1;4.0;37.2295603;-1.8160147
64683;Andalucía;flat;penthouse;110000.0;45.0;1;2.0;36.374622;-5.2292014
