index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
147;Andalucía;flat;studio;52500.0;16.0;0;2.0;36.5116737;-4.8927321
151;Andalucía;flat;studio;50000.0;16.0;0;6.0;36.5335681;-6.2999442
199;Andalucía;flat;studio;42000.0;18.0;0;3.0;36.250697;-5.9607249
200;Andalucía;flat;studio;18000.0;18.0;0;0.0;36.2561929;-5.9672188
265;Andalucía;flat;studio;25000.0;20.0;0;2.0;36.5313581;-6.3005965
275;Andalucía;flat;studio;60000.0;20.0;0;7.0;36.6304694;-4.4900118
285;Andalucía;flat;studio;24800.0;20.0;0;2.0;36.8329107;-3.9758129
350;Andalucía;flat;studio;25000.0;22.0;0;4.0;36.6205541;-4.4989767
368;Andalucía;flat;studio;44000.0;23.0;0;2.0;36.541707;-4.6182525
398;Andalucía;flat;studio;46000.0;24.0;0;8.0;36.5958114;-4.5258849
402;Andalucía;flat;studio;38000.0;24.0;0;0.0;36.6984763;-2.788658
406;Andalucía;flat;studio;46000.0;24.0;0;7.0;36.5981481;-4.5292001
446;Andalucía;flat;studio;35000.0;24.0;0;6.0;37.1417984;-1.8494803
461;Andalucía;flat;studio;34200.0;24.0;0;6.0;36.6989088;-2.7906571
484;Andalucía;flat;studio;46724.0;25.0;0;0.0;36.5941215;-4.5249694
496;Andalucía;flat;studio;44149.0;25.0;0;3.0;36.5394854;-4.6205158
501;Andalucía;flat;studio;38000.0;25.0;0;9.0;36.6001678;-4.5171876
510;Andalucía;flat;studio;70000.0;25.0;0;7.0;37.1073491;-3.4298731
520;Andalucía;flat;studio;52000.0;25.0;0;2.0;36.593416;-4.527435
526;Andalucía;flat;studio;40000.0;25.0;0;5.0;36.4952183;-4.6942154
534;Andalucía;flat;studio;36000.0;25.0;0;2.0;36.2746481;-6.0896375
572;Andalucía;flat;studio;80000.0;25.0;0;3.0;37.13772;-6.48799
578;Andalucía;flat;studio;65000.0;25.0;0;0.0;36.5996748;-4.5297848
603;Andalucía;flat;studio;115000.0;26.0;0;3.0;36.5947799;-4.5260083
628;Andalucía;flat;studio;45214.0;26.0;0;9.0;36.7217994;-4.3055366
630;Andalucía;flat;studio;45300.0;26.0;0;9.0;36.7221063;-4.3058303
636;Andalucía;flat;studio;35000.0;26.0;0;3.0;36.490951;-4.753169
649;Andalucía;flat;studio;58000.0;27.0;0;4.0;36.5551908;-4.6149558
657;Andalucía;flat;studio;65000.0;27.0;0;3.0;37.1217099;-1.8385345
660;Andalucía;flat;studio;53000.0;27.0;0;5.0;37.1788709;-3.6035871
702;Andalucía;flat;studio;56000.0;28.0;0;0.0;36.59641;-4.52465
709;Andalucía;flat;studio;44000.0;28.0;0;3.0;36.8315584;-2.3112898
710;Andalucía;flat;studio;47500.0;28.0;0;4.0;36.7266361;-3.3618044
711;Andalucía;flat;studio;70000.0;28.0;0;3.0;36.6223406;-4.5001665
716;Andalucía;flat;studio;57300.0;28.0;0;3.0;36.5918114;-4.5238849
719;Andalucía;flat;studio;48000.0;28.0;0;3.0;36.587852;-4.5317493
721;Andalucía;flat;studio;58000.0;28.0;0;2.0;37.4000968;-5.9945854
730;Andalucía;flat;studio;64840.0;28.0;0;4.0;36.7452975;-6.4295575
731;Andalucía;flat;studio;58000.0;28.0;0;2.0;37.4008605;-5.9965639
733;Andalucía;flat;studio;49000.0;28.0;0;2.0;36.5972327;-4.5289444
739;Andalucía;flat;studio;60000.0;28.0;0;9.0;36.5894453;-4.5376955
740;Andalucía;flat;studio;69000.0;28.0;0;9.0;36.5860149;-4.5345458
743;Andalucía;flat;studio;60000.0;28.0;0;2.0;37.186355;-3.6012103
757;Andalucía;flat;studio;34200.0;28.0;0;6.0;36.7029;-2.79014
758;Andalucía;flat;studio;43000.0;28.0;0;5.0;36.70115;-2.78149
765;Andalucía;flat;studio;59850.0;29.0;0;2.0;36.4971099;-4.9746688
774;Andalucía;flat;studio;52141.0;29.0;0;4.0;37.2788015;-5.9193007
775;Andalucía;flat;studio;34200.0;29.0;0;6.0;36.6986088;-2.7886571
786;Andalucía;flat;studio;53000.0;29.0;0;4.0;36.6446776;-4.489455
797;Andalucía;flat;studio;73000.0;29.0;0;2.0;36.6837814;-4.4480773
800;Andalucía;flat;studio;30000.0;29.0;0;4.0;36.6994031;-2.7782719
801;Andalucía;flat;studio;41000.0;29.0;0;11.0;36.5763327;-4.611869
812;Andalucía;flat;studio;96000.0;30.0;0;5.0;37.3781593;-5.9713595
819;Andalucía;flat;studio;62000.0;30.0;0;0.0;36.4664954;-5.0436245
827;Andalucía;flat;studio;55000.0;30.0;0;2.0;36.2501242;-5.9681817
843;Andalucía;flat;studio;59000.0;30.0;0;3.0;36.5912914;-4.5284777
846;Andalucía;flat;studio;62000.0;30.0;0;0.0;36.7221821;-4.3818473
867;Andalucía;flat;studio;45000.0;30.0;0;3.0;36.7289638;-3.9583965
873;Andalucía;flat;studio;66000.0;30.0;0;4.0;36.595616;-4.5247351
901;Andalucía;flat;studio;46000.0;30.0;0;6.0;36.5977014;-4.5261634
906;Andalucía;flat;studio;59000.0;30.0;0;4.0;37.1755945;-3.6054143
910;Andalucía;flat;studio;32200.0;30.0;0;3.0;36.7394655;-2.6214337
926;Andalucía;flat;studio;62000.0;30.0;0;6.0;37.0184448;-6.5523729
