index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
4289;Aragón;countryHouse;country house;130000.0;50.0;0;0.0;40.2385616;-0.6363043
9267;Aragón;countryHouse;country house;120000.0;80.0;0;0.0;42.6320711;0.2188026
9268;Aragón;countryHouse;country house;70000.0;80.0;0;0.0;42.2785886;0.086679
9849;Aragón;countryHouse;country house;90000.0;83.0;0;0.0;42.6320711;0.2188026
14403;Aragón;countryHouse;country house;55000.0;120.0;0;0.0;42.2416083;0.070231
15433;Aragón;countryHouse;country house;90000.0;130.0;0;0.0;42.4039406;0.0860712
24679;Aragón;countryHouse;country house;300000.0;300.0;0;0.0;40.3153922;-0.8067812
25288;Aragón;countryHouse;country house;59000.0;321.0;0;0.0;40.3160832;-0.8053097
60821;Aragón;countryHouse;country house;66300.0;25.0;1;0.0;42.2576601;0.0246158
61524;Aragón;countryHouse;country house;40800.0;35.0;1;0.0;42.2607601;0.0258158
62747;Aragón;countryHouse;country house;49000.0;40.0;1;0.0;42.5586836;-0.7871602
74586;Aragón;countryHouse;country house;51000.0;60.0;1;0.0;42.2576601;0.0253158
81735;Aragón;countryHouse;country house;30000.0;95.0;1;0.0;41.9388329;-0.3699924
86610;Aragón;countryHouse;country house;35700.0;51.0;2;0.0;41.5329407;-0.5794311
88404;Aragón;countryHouse;country house;40800.0;55.0;2;0.0;42.2614601;0.0258158
149606;Aragón;countryHouse;country house;125000.0;95.0;2;0.0;42.0416104;-0.5832082
183482;Aragón;countryHouse;country house;80000.0;75.0;3;0.0;41.5051446;-1.0266955
190430;Aragón;countryHouse;country house;80000.0;80.0;3;0.0;41.9129734;-0.4506908
235969;Aragón;countryHouse;country house;155000.0;100.0;3;0.0;41.6775887;-0.961341
286735;Aragón;countryHouse;country house;84000.0;160.0;3;0.0;41.8440088;-0.7599321
304432;Aragón;countryHouse;country house;61200.0;349.0;3;0.0;42.2576601;0.0229158
348252;Aragón;countryHouse;country house;89900.0;185.0;4;0.0;41.6477165;-0.8231114
406848;Aragón;countryHouse;country house;99500.0;450.0;8;0.0;41.4370471;-1.8409911
