index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
7675;Aragón;countryHouse;village house;52000.0;70.0;0;0.0;42.4539267;0.5643783
11143;Aragón;countryHouse;village house;19000.0;92.0;0;0.0;42.6032019;-0.8597354
12076;Aragón;countryHouse;village house;65000.0;100.0;0;0.0;42.2598237;0.0234922
21505;Aragón;countryHouse;village house;30000.0;210.0;0;0.0;42.2257186;-0.7503992
29468;Aragón;countryHouse;village house;98400.0;751.0;0;0.0;41.9731081;0.3084353
82960;Aragón;countryHouse;village house;60000.0;378.0;1;0.0;40.2292846;-0.8115195
138410;Aragón;countryHouse;village house;100000.0;85.0;2;0.0;42.600519;-0.1196351
153426;Aragón;countryHouse;village house;50000.0;100.0;2;0.0;41.534499;-0.9977991
233013;Aragón;countryHouse;village house;70000.0;100.0;3;0.0;41.3399431;-0.3718624
237887;Aragón;countryHouse;village house;61200.0;101.0;3;0.0;42.2616601;0.0247158
264353;Aragón;countryHouse;village house;66500.0;120.0;3;0.0;42.2013056;0.5789318
280173;Aragón;countryHouse;village house;63200.0;143.0;3;0.0;41.8761397;-0.7663979
283077;Aragón;countryHouse;village house;28000.0;150.0;3;0.0;41.5218747;-1.6016303
285983;Aragón;countryHouse;village house;188700.0;159.0;3;0.0;42.3236995;0.0755024
288677;Aragón;countryHouse;village house;64500.0;168.0;3;0.0;41.7657583;-1.1247766
298159;Aragón;countryHouse;village house;46000.0;220.0;3;0.0;42.2572007;0.7206808
302458;Aragón;countryHouse;village house;89900.0;277.0;3;0.0;42.2011972;-1.3372315
304867;Aragón;countryHouse;village house;60000.0;378.0;3;0.0;40.2307207;-0.8095687
332494;Aragón;countryHouse;village house;71400.0;139.0;4;0.0;42.2603601;0.0218158
333018;Aragón;countryHouse;village house;65000.0;140.0;4;0.0;41.8691625;-0.7886043
336531;Aragón;countryHouse;village house;14000.0;148.0;4;0.0;41.2365823;-0.0359678
336963;Aragón;countryHouse;village house;60000.0;150.0;4;0.0;41.8416787;-0.1848894
339007;Aragón;countryHouse;village house;79000.0;151.0;4;0.0;41.1743388;0.1697942
345149;Aragón;countryHouse;village house;75000.0;174.0;4;0.0;42.1965301;0.5130519
348268;Aragón;countryHouse;village house;207000.0;185.0;4;0.0;41.4408107;-1.2373757
349277;Aragón;countryHouse;village house;72000.0;190.0;4;0.0;42.1534637;0.6947827
350782;Aragón;countryHouse;village house;39000.0;200.0;4;0.0;41.8591609;0.1572852
353997;Aragón;countryHouse;village house;54000.0;210.0;4;0.0;41.5958889;-1.2838195
358735;Aragón;countryHouse;village house;28000.0;240.0;4;0.0;41.5880159;0.2587983
359504;Aragón;countryHouse;village house;30000.0;246.0;4;0.0;41.3298589;-0.701337
364487;Aragón;countryHouse;village house;225000.0;290.0;4;0.0;40.2623469;-0.4595564
365271;Aragón;countryHouse;village house;91800.0;300.0;4;0.0;42.1655165;-0.083001
377518;Aragón;countryHouse;village house;120000.0;180.0;5;0.0;42.736079;-0.8657428
383887;Aragón;countryHouse;village house;56000.0;252.0;5;0.0;42.1942085;0.1516685
393546;Aragón;countryHouse;village house;89999.0;502.0;5;0.0;40.4388417;-0.8514028
396005;Aragón;countryHouse;village house;80000.0;160.0;6;0.0;42.4072099;0.3968245
396907;Aragón;countryHouse;village house;185000.0;215.0;6;0.0;41.6815567;-0.772978
398510;Aragón;countryHouse;village house;90000.0;300.0;6;0.0;41.8528083;-1.4535256
399367;Aragón;countryHouse;village house;68000.0;350.0;6;0.0;41.5979715;-1.280191
402875;Aragón;countryHouse;village house;175000.0;775.0;6;0.0;42.1310372;0.3787677
403750;Aragón;countryHouse;village house;46900.0;225.0;7;0.0;41.8145682;-1.5207768
404090;Aragón;countryHouse;village house;300000.0;300.0;7;0.0;42.5309136;-0.3815013
406801;Aragón;countryHouse;village house;175000.0;423.0;8;0.0;40.3589626;-0.4480299
407127;Aragón;countryHouse;village house;244800.0;620.0;8;0.0;42.1637966;-0.0768118
