index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62530;Aragón;flat;penthouse;96000.0;40.0;1;8.0;42.7741013;-0.3606017
62558;Aragón;flat;penthouse;65000.0;40.0;1;6.0;42.5669147;-0.5517263
62599;Aragón;flat;penthouse;95000.0;40.0;1;5.0;42.629678;-0.3267804
62864;Aragón;flat;penthouse;130000.0;40.0;1;5.0;42.721107;-0.3002371
63851;Aragón;flat;penthouse;180000.0;42.0;1;12.0;41.65051;-0.8795562
64747;Aragón;flat;penthouse;90000.0;45.0;1;5.0;42.5688145;-0.5485248
65780;Aragón;flat;penthouse;130000.0;45.0;1;10.0;41.6413074;-0.8881338
65968;Aragón;flat;penthouse;70000.0;46.0;1;5.0;42.5688145;-0.5485248
66896;Aragón;flat;penthouse;138000.0;48.0;1;7.0;41.6554244;-0.874626
68227;Aragón;flat;penthouse;112000.0;50.0;1;10.0;41.6427029;-0.8907854
72916;Aragón;flat;penthouse;139000.0;56.0;1;4.0;42.6061615;0.5239093
73451;Aragón;flat;penthouse;180000.0;57.0;1;6.0;41.6527551;-0.8800337
74039;Aragón;flat;penthouse;115000.0;59.0;1;7.0;42.5670739;-0.5485527
80778;Aragón;flat;penthouse;160000.0;80.0;1;12.0;41.6447936;-0.8837203
80791;Aragón;flat;penthouse;169000.0;80.0;1;12.0;41.6396775;-0.886233
81221;Aragón;flat;penthouse;190000.0;85.0;1;7.0;41.6415771;-0.8874339
81528;Aragón;flat;penthouse;70000.0;90.0;1;4.0;41.5394163;-0.998814
83998;Aragón;flat;penthouse;79200.0;45.0;2;6.0;42.6923177;-0.5398182
85203;Aragón;flat;penthouse;100000.0;50.0;2;6.0;42.5677072;-0.5488078
85692;Aragón;flat;penthouse;159500.0;50.0;2;4.0;42.7248352;-0.3235675
86855;Aragón;flat;penthouse;135000.0;52.0;2;7.0;41.6527277;-0.8869458
87758;Aragón;flat;penthouse;75000.0;54.0;2;2.0;42.603698;-0.1222999
87979;Aragón;flat;penthouse;55990.0;54.0;2;5.0;41.50516;-1.0296594
87998;Aragón;flat;penthouse;110000.0;55.0;2;6.0;42.7170812;-0.5249715
89464;Aragón;flat;penthouse;106000.0;55.0;2;4.0;42.5711816;-0.5459242
89948;Aragón;flat;penthouse;114600.0;56.0;2;5.0;42.6034936;-0.1196412
90293;Aragón;flat;penthouse;123286.0;57.0;2;5.0;42.6281328;-0.5457732
91331;Aragón;flat;penthouse;99000.0;58.0;2;5.0;42.6061645;0.5233521
92191;Aragón;flat;penthouse;85000.0;59.0;2;9.0;41.6425667;-0.8882971
92263;Aragón;flat;penthouse;139680.0;60.0;2;5.0;42.6805;-0.539615
92514;Aragón;flat;penthouse;160000.0;60.0;2;4.0;42.7231352;-0.3215675
93411;Aragón;flat;penthouse;150000.0;60.0;2;4.0;42.6212753;-0.2514485
94208;Aragón;flat;penthouse;130000.0;60.0;2;6.0;41.6675843;-0.8352146
94513;Aragón;flat;penthouse;195000.0;60.0;2;2.0;42.6184935;-0.2987357
95288;Aragón;flat;penthouse;69000.0;60.0;2;5.0;41.6390576;-0.8691238
95320;Aragón;flat;penthouse;108000.0;60.0;2;10.0;41.6470048;-0.8811119
95842;Aragón;flat;penthouse;113300.0;60.0;2;6.0;42.6805982;-0.6232639
96199;Aragón;flat;penthouse;70000.0;60.0;2;6.0;41.6548289;-0.8944121
97187;Aragón;flat;penthouse;118260.0;62.0;2;6.0;42.5750112;-0.5502973
98395;Aragón;flat;penthouse;99680.0;63.0;2;2.0;42.6794549;-0.5381593
98678;Aragón;flat;penthouse;112000.0;63.0;2;2.0;42.5507458;0.4719008
98824;Aragón;flat;penthouse;127000.0;63.0;2;5.0;42.6035936;-0.1236412
99310;Aragón;flat;penthouse;88000.0;64.0;2;11.0;41.6397384;-0.8774818
99764;Aragón;flat;penthouse;81000.0;64.0;2;4.0;42.5029471;0.1548136
100080;Aragón;flat;penthouse;150000.0;64.0;2;7.0;42.1292573;-0.4022114
100213;Aragón;flat;penthouse;108000.0;65.0;2;7.0;42.7169749;-0.5242701
101278;Aragón;flat;penthouse;155000.0;65.0;2;4.0;41.6621717;-0.9419815
101623;Aragón;flat;penthouse;106000.0;65.0;2;8.0;42.5706816;-0.5439242
101675;Aragón;flat;penthouse;99000.0;65.0;2;6.0;42415.0;0.14951
101808;Aragón;flat;penthouse;60000.0;65.0;2;9.0;41.6309395;-0.8867383
102094;Aragón;flat;penthouse;155000.0;65.0;2;4.0;41.6622717;-0.9454815
102095;Aragón;flat;penthouse;125000.0;65.0;2;5.0;41.6924643;-0.8971125
102444;Aragón;flat;penthouse;64000.0;65.0;2;6.0;41.6249827;-0.8840242
104395;Aragón;flat;penthouse;150164.0;66.0;2;6.0;42.625522;-0.324699
106318;Aragón;flat;penthouse;57000.0;67.0;2;7.0;42.143132;-0.3982788
106507;Aragón;flat;penthouse;74900.0;68.0;2;6.0;41.6353142;-0.8864309
107159;Aragón;flat;penthouse;99000.0;68.0;2;6.0;42.4135796;0.1472665
107259;Aragón;flat;penthouse;60000.0;68.0;2;4.0;41.8669142;-0.7906585
107446;Aragón;flat;penthouse;135000.0;68.0;2;8.0;41.6456011;-0.8709714
107770;Aragón;flat;penthouse;164000.0;68.0;2;5.0;41.7045409;-0.9993436
108955;Aragón;flat;penthouse;186000.0;70.0;2;6.0;42.7149819;-0.5257551
108966;Aragón;flat;penthouse;192744.0;70.0;2;6.0;42.5717385;-0.5496055
110914;Aragón;flat;penthouse;95000.0;70.0;2;5.0;42.4989556;-0.1182936
111713;Aragón;flat;penthouse;131000.0;70.0;2;6.0;41.6592266;-0.885067
111880;Aragón;flat;penthouse;149000.0;70.0;2;5.0;42.5466783;0.4618572
111977;Aragón;flat;penthouse;59000.0;70.0;2;12.0;41.6560246;-0.9066026
113276;Aragón;flat;penthouse;175000.0;70.0;2;5.0;42.7263753;-0.2973442
113766;Aragón;flat;penthouse;150000.0;70.0;2;8.0;42.5682354;-0.5526389
114080;Aragón;flat;penthouse;99900.0;70.0;2;6.0;41.6532914;-0.9217906
114716;Aragón;flat;penthouse;128700.0;71.0;2;0.0;41.5902662;-0.9315422
114880;Aragón;flat;penthouse;177000.0;71.0;2;5.0;41.7081077;-1.0020597
115573;Aragón;flat;penthouse;187705.0;72.0;2;6.0;42.563212;-0.563095
116710;Aragón;flat;penthouse;83210.0;72.0;2;4.0;41.7868463;-1.220366
117634;Aragón;flat;penthouse;129000.0;73.0;2;5.0;41.6923264;-0.8970534
117923;Aragón;flat;penthouse;75774.0;73.0;2;3.0;41.8704452;-0.7859247
119607;Aragón;flat;penthouse;171000.0;75.0;2;6.0;42.7310428;-0.5180775
121127;Aragón;flat;penthouse;77000.0;75.0;2;5.0;40.3617584;-0.7015127
121659;Aragón;flat;penthouse;75000.0;75.0;2;5.0;42.1401418;-0.403589
124459;Aragón;flat;penthouse;129000.0;76.0;2;6.0;42.5660665;-0.5436711
124890;Aragón;flat;penthouse;109000.0;76.0;2;6.0;40.8700442;0.1549666
126972;Aragón;flat;penthouse;160000.0;78.0;2;6.0;42.5683091;-0.544511
127109;Aragón;flat;penthouse;159000.0;78.0;2;5.0;42.7236882;-0.2842288
127400;Aragón;flat;penthouse;180000.0;78.0;2;10.0;40.340598;-1.110185
129138;Aragón;flat;penthouse;150000.0;80.0;2;6.0;42.5660557;-0.5439292
129920;Aragón;flat;penthouse;149000.0;80.0;2;5.0;41.7139249;-0.9961017
131047;Aragón;flat;penthouse;165000.0;80.0;2;6.0;42.722506;-0.2803057
131767;Aragón;flat;penthouse;76500.0;80.0;2;4.0;41.5558248;-0.9579491
132916;Aragón;flat;penthouse;108000.0;80.0;2;5.0;41.7080072;-1.002028
132917;Aragón;flat;penthouse;160000.0;80.0;2;12.0;41.6436775;-0.886133
133244;Aragón;flat;penthouse;145300.0;80.0;2;6.0;41.6444383;-0.8851489
133862;Aragón;flat;penthouse;72300.0;81.0;2;4.0;41.6356739;-0.7481639
134026;Aragón;flat;penthouse;159000.0;81.0;2;10.0;41.6738551;-0.892978
134682;Aragón;flat;penthouse;191500.0;82.0;2;7.0;42.5729123;-0.5495654
137616;Aragón;flat;penthouse;214520.0;85.0;2;6.0;42.5700166;-0.5450554
138446;Aragón;flat;penthouse;99000.0;85.0;2;6.0;42.6055134;0.5240195
138564;Aragón;flat;penthouse;116000.0;85.0;2;5.0;41.6571472;-0.8942436
139907;Aragón;flat;penthouse;249000.0;85.0;2;9.0;41.66473;-0.87098
139946;Aragón;flat;penthouse;195000.0;85.0;2;6.0;40.344712;-1.1068968
140635;Aragón;flat;penthouse;75600.0;86.0;2;0.0;41.6356739;-0.7481639
140636;Aragón;flat;penthouse;78100.0;86.0;2;4.0;41.6356739;-0.7481639
141371;Aragón;flat;penthouse;179000.0;87.0;2;5.0;41.7070816;-1.0024642
142006;Aragón;flat;penthouse;198431.0;88.0;2;6.0;41.6562233;-0.8782376
143098;Aragón;flat;penthouse;159000.0;89.0;2;0.0;41.6231646;-0.9006186
143256;Aragón;flat;penthouse;180000.0;89.0;2;5.0;41.65221;-0.87448
143400;Aragón;flat;penthouse;135000.0;89.0;2;8.0;41.6513893;-0.8823049
143991;Aragón;flat;penthouse;182000.0;90.0;2;6.0;42.5646536;-0.5671982
145016;Aragón;flat;penthouse;166900.0;90.0;2;9.0;41.6496599;-0.9249488
145161;Aragón;flat;penthouse;185000.0;90.0;2;6.0;41.6522233;-0.8804376
145658;Aragón;flat;penthouse;110000.0;90.0;2;8.0;41.6476628;-0.8973726
145710;Aragón;flat;penthouse;170000.0;90.0;2;4.0;41.5522998;-0.9600782
147505;Aragón;flat;penthouse;159000.0;92.0;2;0.0;41.6231646;-0.9006186
147931;Aragón;flat;penthouse;150164.0;93.0;2;8.0;41.6559071;-0.8646681
149680;Aragón;flat;penthouse;220000.0;95.0;2;12.0;41.6354897;-0.8632005
150533;Aragón;flat;penthouse;159000.0;96.0;2;9.0;41.6507271;-0.8962197
150693;Aragón;flat;penthouse;353364.0;97.0;2;8.0;41.6481836;-0.8795106
155997;Aragón;flat;penthouse;159980.0;107.0;2;4.0;41.6600717;-0.9459815
158825;Aragón;flat;penthouse;380000.0;117.0;2;8.0;41.6486237;-0.8801242
160249;Aragón;flat;penthouse;355000.0;122.0;2;12.0;41.6428372;-0.9100237
160552;Aragón;flat;penthouse;195000.0;125.0;2;5.0;42.625258;-0.3227504
161076;Aragón;flat;penthouse;355000.0;128.0;2;12.0;41.642763;-0.9106135
162906;Aragón;flat;penthouse;194400.0;144.0;2;10.0;41.6639996;-0.8670388
168842;Aragón;flat;penthouse;97000.0;60.0;3;9.0;41.6481401;-0.8812174
169940;Aragón;flat;penthouse;32800.0;63.0;3;5.0;41.721846;-1.033669
173409;Aragón;flat;penthouse;235000.0;68.0;3;5.0;42.7226774;-0.2818912
