index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
24585;Aragón;house;Vacio;43800.0;299.0;0;0.0;41.051044;-0.1485158
80887;Aragón;house;Vacio;193068.0;81.0;1;2.0;42.594902;-0.310534
81446;Aragón;house;Vacio;32400.0;90.0;1;0.0;41.6322398;-1.3003081
82632;Aragón;house;Vacio;31000.0;150.0;1;2.0;41.827953;0.2029982
82748;Aragón;house;Vacio;13700.0;177.0;1;0.0;41.1440043;-1.3244903
82986;Aragón;house;Vacio;43300.0;444.0;1;0.0;40.6433401;-1.1371434
83688;Aragón;house;Vacio;41000.0;42.0;2;0.0;41.639004;-0.9328295
88085;Aragón;house;Vacio;11600.0;55.0;2;0.0;41.336306;-1.3978254
113806;Aragón;house;Vacio;28000.0;70.0;2;0.0;41.9671006;-0.1106055
118104;Aragón;house;Vacio;93900.0;73.0;2;0.0;41.8351211;-1.1765754
134342;Aragón;house;Vacio;129680.0;82.0;2;2.0;42.6692389;-0.5506031
138886;Aragón;house;Vacio;190000.0;85.0;2;2.0;41.905593;0.202253
149628;Aragón;house;Vacio;29000.0;95.0;2;2.0;41.9069309;0.3250639
156959;Aragón;house;Vacio;69000.0;110.0;2;2.0;41.7202397;0.1193602
157388;Aragón;house;Vacio;150164.0;111.0;2;2.0;42.627219;-0.54959
157390;Aragón;house;Vacio;43200.0;111.0;2;0.0;40.81335;-0.84138
158096;Aragón;house;Vacio;225246.0;115.0;2;2.0;42.691207;-0.303092
158816;Aragón;house;Vacio;116100.0;117.0;2;0.0;41.2351198;-0.041385
160183;Aragón;house;Vacio;42000.0;122.0;2;0.0;41.794748;-1.1605373
161069;Aragón;house;Vacio;50699.0;128.0;2;2.0;41.831885;0.37884
163727;Aragón;house;Vacio;139680.0;155.0;2;4.0;42.6632946;-0.622883
164189;Aragón;house;Vacio;89500.0;165.0;2;0.0;41.5128298;-0.6328532
164497;Aragón;house;Vacio;69000.0;174.0;2;0.0;42.1172725;0.074461
164945;Aragón;house;Vacio;127300.0;190.0;2;0.0;41.8669266;-1.3130493
165223;Aragón;house;Vacio;21450.0;204.0;2;0.0;41.3193699;-0.3493102
166153;Aragón;house;Vacio;19000.0;35.0;3;2.0;41.9071347;0.3240511
166988;Aragón;house;Vacio;18900.0;55.0;3;0.0;41.8293021;-1.2406823
186758;Aragón;house;Vacio;40000.0;78.0;3;3.0;41.8550235;0.2971696
208495;Aragón;house;Vacio;75279.0;90.0;3;0.0;41.3713641;0.3004255
211502;Aragón;house;Vacio;63000.0;90.0;3;2.0;41.8006922;0.2759516
217854;Aragón;house;Vacio;27000.0;92.0;3;2.0;41.8834413;0.1450956
220255;Aragón;house;Vacio;140000.0;94.0;3;0.0;42.3840038;0.3896287
221001;Aragón;house;Vacio;171616.0;95.0;3;2.0;42.5560432;-0.7099869
221002;Aragón;house;Vacio;214520.0;95.0;3;2.0;42.683749;-0.53604
225881;Aragón;house;Vacio;129000.0;96.0;3;0.0;42.5865919;0.4920942
230564;Aragón;house;Vacio;88259.0;100.0;3;0.0;42.5715837;-0.5514521
230565;Aragón;house;Vacio;192744.0;100.0;3;2.0;42.6289;-0.551005
233672;Aragón;house;Vacio;22000.0;100.0;3;2.0;41.8551768;0.2949672
233673;Aragón;house;Vacio;100000.0;100.0;3;2.0;41.9152558;0.1988437
239239;Aragón;house;Vacio;129000.0;102.0;3;0.0;42.54492;0.46647
239339;Aragón;house;Vacio;32850.0;102.0;3;4.0;41.9097414;0.1907911
240858;Aragón;house;Vacio;17380.0;103.0;3;0.0;41.2936481;-0.323535
242252;Aragón;house;Vacio;242545.0;105.0;3;4.0;42.59538;-0.725773
242253;Aragón;house;Vacio;171616.0;105.0;3;2.0;42.680416;-0.536648
242254;Aragón;house;Vacio;109680.0;105.0;3;2.0;42.697876;-0.667245
242255;Aragón;house;Vacio;193068.0;105.0;3;2.0;42.494992;-0.467759
248252;Aragón;house;Vacio;120000.0;109.0;3;4.0;42.550912;-0.524655
250119;Aragón;house;Vacio;60000.0;110.0;3;0.0;40.6720876;-0.7741397
254648;Aragón;house;Vacio;72000.0;112.0;3;0.0;42.2602103;-1.189622
256255;Aragón;house;Vacio;110000.0;114.0;3;0.0;41.831741;-1.4624447
257976;Aragón;house;Vacio;155000.0;115.0;3;0.0;42.5460099;0.46234
261108;Aragón;house;Vacio;92800.0;118.0;3;0.0;41.6042943;-1.2803588
261844;Aragón;house;Vacio;78000.0;119.0;3;2.0;41.959984;0.1565692
262048;Aragón;house;Vacio;182036.0;120.0;3;2.0;42.681073;-0.525197
262049;Aragón;house;Vacio;129680.0;120.0;3;2.0;42.677964;-0.621216
262436;Aragón;house;Vacio;39000.0;120.0;3;2.0;41.940849;-0.368171
262598;Aragón;house;Vacio;25000.0;120.0;3;0.0;41.932785;-1.3919606
264054;Aragón;house;Vacio;84000.0;120.0;3;2.0;41.853863;0.293323
266324;Aragón;house;Vacio;159000.0;121.0;3;5.0;42.5784267;-0.5384817
270297;Aragón;house;Vacio;257424.0;127.0;3;2.0;42.679286;-0.532948
270528;Aragón;house;Vacio;164000.0;127.0;3;0.0;42.5034662;0.4740984
271242;Aragón;house;Vacio;78774.0;129.0;3;0.0;41.8642402;-1.3157906
271251;Aragón;house;Vacio;4800.0;129.0;3;0.0;40.9969441;-0.67374
272661;Aragón;house;Vacio;50000.0;130.0;3;2.0;41.8539972;0.2960386
274948;Aragón;house;Vacio;250000.0;134.0;3;2.0;42.72168;-0.28022
275319;Aragón;house;Vacio;139680.0;135.0;3;3.0;42.620912;-0.351002
275795;Aragón;house;Vacio;63000.0;135.0;3;2.0;41.8473652;0.2944809
277365;Aragón;house;Vacio;160890.0;139.0;3;2.0;41.75839;-1.06828
277615;Aragón;house;Vacio;182342.0;140.0;3;4.0;42.5805393;-0.4707226
282038;Aragón;house;Vacio;158849.0;150.0;3;5.0;42.582734;-0.983056
282667;Aragón;house;Vacio;325000.0;150.0;3;0.0;41.6860407;-1.0278918
283146;Aragón;house;Vacio;68000.0;150.0;3;2.0;41.90866;0.1933179
284234;Aragón;house;Vacio;150000.0;151.0;3;0.0;41.5488176;-0.9657842
284818;Aragón;house;Vacio;59900.0;154.0;3;2.0;41.9614166;0.1563499
284894;Aragón;house;Vacio;256992.0;155.0;3;2.0;42.6577788;-0.5866104
285271;Aragón;house;Vacio;113700.0;156.0;3;0.0;41.539808;-1.0032259
285966;Aragón;house;Vacio;21000.0;159.0;3;0.0;41.2373836;-0.0416061
286073;Aragón;house;Vacio;155167.0;160.0;3;5.0;42.5233403;-0.3336062
286074;Aragón;house;Vacio;157898.0;160.0;3;5.0;42.5273403;-0.3368062
286075;Aragón;house;Vacio;155380.0;160.0;3;5.0;42.5233403;-0.3349062
286082;Aragón;house;Vacio;321780.0;160.0;3;2.0;41.66488;-0.85673
287775;Aragón;house;Vacio;266900.0;164.0;3;2.0;42.6320159;-0.3168384
288364;Aragón;house;Vacio;155380.0;166.0;3;0.0;42.5212594;-0.3618114
288486;Aragón;house;Vacio;41000.0;167.0;3;0.0;41.0178463;0.187539
288565;Aragón;house;Vacio;203794.0;168.0;3;6.0;42.5768826;-0.5397135
288572;Aragón;house;Vacio;13116.0;168.0;3;0.0;41.4744017;-1.8756165
289710;Aragón;house;Vacio;258800.0;171.0;3;0.0;41.7945921;-0.8103608
289753;Aragón;house;Vacio;258000.0;171.0;3;0.0;41.7983921;-0.8105608
289961;Aragón;house;Vacio;282476.0;173.0;3;2.0;41.596624;-0.683876
289997;Aragón;house;Vacio;48000.0;173.0;3;2.0;40.9153813;-1.298031
290112;Aragón;house;Vacio;10992.0;174.0;3;0.0;41.4103521;-0.459657
291077;Aragón;house;Vacio;225246.0;180.0;3;2.0;42.559083;-0.712101
291078;Aragón;house;Vacio;266004.0;180.0;3;2.0;42.564173;-0.711337
292427;Aragón;house;Vacio;165000.0;182.0;3;0.0;41.7193605;-1.0941968
292641;Aragón;house;Vacio;101000.0;184.0;3;2.0;41.5779163;-1.1209992
293064;Aragón;house;Vacio;57000.0;186.0;3;0.0;41.598716;-1.2667411
293153;Aragón;house;Vacio;258000.0;187.0;3;0.0;41.7186469;-0.8463045
293711;Aragón;house;Vacio;90000.0;190.0;3;2.0;41.9585641;-0.0021451
294030;Aragón;house;Vacio;10000.0;192.0;3;0.0;41.8256111;-1.5017904
294245;Aragón;house;Vacio;192506.0;194.0;3;0.0;42.6306806;-0.5507534
294505;Aragón;house;Vacio;194456.0;196.0;3;0.0;42.6306806;-0.5507534
294506;Aragón;house;Vacio;193442.0;196.0;3;0.0;42.6306806;-0.5507534
294699;Aragón;house;Vacio;250000.0;198.0;3;0.0;41.5733651;-0.9482706
294734;Aragón;house;Vacio;250000.0;198.0;3;0.0;41.574709;-0.9520278
294869;Aragón;house;Vacio;268150.0;200.0;3;4.0;42.525994;-0.673423
294870;Aragón;house;Vacio;128495.0;200.0;3;2.0;42.553842;-0.82211
295507;Aragón;house;Vacio;145000.0;200.0;3;2.0;41.9019552;0.2078238
296133;Aragón;house;Vacio;188528.0;201.0;3;0.0;42.6306806;-0.5507534
296315;Aragón;house;Vacio;267700.0;204.0;3;2.0;42.561673;-0.712637
296778;Aragón;house;Vacio;246698.0;210.0;3;2.0;41.6696185;-0.8227895
297796;Aragón;house;Vacio;295000.0;220.0;3;5.0;42.5670168;-0.6120612
297797;Aragón;house;Vacio;295000.0;220.0;3;5.0;42.5675556;-0.6080549
297801;Aragón;house;Vacio;257424.0;220.0;3;2.0;41.7048522;-0.9833912
297985;Aragón;house;Vacio;700000.0;220.0;3;0.0;41.6936674;-1.0228451
298878;Aragón;house;Vacio;295000.0;228.0;3;5.0;42.5710556;-0.6080549
298879;Aragón;house;Vacio;295000.0;228.0;3;5.0;42.56976;-0.54886
299126;Aragón;house;Vacio;28636.0;230.0;3;2.0;41.9032829;0.3268509
299387;Aragón;house;Vacio;235972.0;234.0;3;2.0;41.7763922;-0.8226073
299604;Aragón;house;Vacio;316417.0;237.0;3;2.0;41.6589608;-0.9436533
299732;Aragón;house;Vacio;150164.0;240.0;3;5.0;42.7058642;-0.6689759
300631;Aragón;house;Vacio;321780.0;250.0;3;6.0;42.581489;-0.5385744
301542;Aragón;house;Vacio;23000.0;258.0;3;0.0;41.9031133;-1.7261634
301883;Aragón;house;Vacio;230609.0;264.0;3;2.0;41.772143;-0.8256158
302049;Aragón;house;Vacio;400000.0;267.0;3;0.0;41.627758;-0.937789
302797;Aragón;house;Vacio;50000.0;284.0;3;0.0;41.9024176;-1.7280356
303749;Aragón;house;Vacio;104680.0;306.0;3;5.0;42.6315603;-0.5483154
303780;Aragón;house;Vacio;186000.0;308.0;3;0.0;41.8646872;-0.7916272
303802;Aragón;house;Vacio;35700.0;310.0;3;0.0;41.7778966;-1.7221255
304221;Aragón;house;Vacio;40913.0;331.0;3;0.0;41.4087381;-0.4602491
304389;Aragón;house;Vacio;250000.0;344.0;3;0.0;42.2003948;0.5171453
304817;Aragón;house;Vacio;70000.0;371.0;3;2.0;41.9110836;0.1912167
304865;Aragón;house;Vacio;31680.0;378.0;3;0.0;42.3761222;-1.2759762
304986;Aragón;house;Vacio;54680.0;396.0;3;2.0;42.6545093;-0.8749107
304994;Aragón;house;Vacio;350000.0;397.0;3;0.0;41.6684493;-0.9482967
305012;Aragón;house;Vacio;390000.0;400.0;3;0.0;41.6684493;-0.9482967
305199;Aragón;house;Vacio;77000.0;411.0;3;0.0;41.8734973;-0.200126
305390;Aragón;house;Vacio;850000.0;450.0;3;0.0;41.6296196;-0.938559
305488;Aragón;house;Vacio;116800.0;469.0;3;0.0;42.1164687;-1.1398908
305489;Aragón;house;Vacio;116800.0;469.0;3;0.0;42.1204687;-1.1394908
305651;Aragón;house;Vacio;1190000.0;504.0;3;5.0;42.3160008;0.1602028
305652;Aragón;house;Vacio;1190000.0;504.0;3;5.0;42.3221068;0.1581005
