index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62868;Canarias;flat;duplex;95000.0;40.0;1;4.0;27.7564818;-15.6035886
62907;Canarias;flat;duplex;79900.0;40.0;1;2.0;27.7883186;-15.7135505
62909;Canarias;flat;duplex;69975.0;40.0;1;2.0;27.7547836;-15.5897973
63063;Canarias;flat;duplex;45000.0;40.0;1;0.0;28.1603838;-14.2285621
63064;Canarias;flat;duplex;50000.0;40.0;1;0.0;28.1598003;-14.2288925
65130;Canarias;flat;duplex;62500.0;45.0;1;2.0;27.7583946;-15.5999379
66523;Canarias;flat;duplex;96420.0;47.0;1;0.0;27.7606327;-15.5875014
66538;Canarias;flat;duplex;48213.0;47.0;1;2.0;28.73945;-13.8662
67355;Canarias;flat;duplex;95000.0;49.0;1;2.0;27.7523796;-15.5914071
68372;Canarias;flat;duplex;89500.0;50.0;1;2.0;27.7507993;-15.5981505
68373;Canarias;flat;duplex;130000.0;50.0;1;2.0;27.7567319;-15.6039032
68616;Canarias;flat;duplex;58000.0;50.0;1;2.0;28.0098893;-16.6482185
72175;Canarias;flat;duplex;116000.0;55.0;1;2.0;28.0726981;-16.7281672
72910;Canarias;flat;duplex;66000.0;56.0;1;3.0;29.0600632;-13.4633011
73173;Canarias;flat;duplex;145000.0;57.0;1;4.0;27.7685653;-15.6797685
73233;Canarias;flat;duplex;137000.0;57.0;1;2.0;28.0651959;-16.7149668
73717;Canarias;flat;duplex;67980.0;58.0;1;3.0;27.9900537;-15.4207579
76569;Canarias;flat;duplex;85000.0;63.0;1;2.0;28.4809515;-16.4350104
76616;Canarias;flat;duplex;105000.0;63.0;1;7.0;28.1379078;-15.434575
76812;Canarias;flat;duplex;66000.0;64.0;1;3.0;28.45168;-16.35993
77660;Canarias;flat;duplex;105000.0;65.0;1;2.0;27.7589619;-15.5840172
77891;Canarias;flat;duplex;72000.0;66.0;1;2.0;28.2129898;-16.7775031
78719;Canarias;flat;duplex;100000.0;70.0;1;5.0;28.4778289;-16.4140354
78786;Canarias;flat;duplex;66000.0;70.0;1;2.0;29.0620628;-13.4615007
79524;Canarias;flat;duplex;95000.0;72.0;1;4.0;28.4149308;-16.5477368
79612;Canarias;flat;duplex;235000.0;72.0;1;2.0;27.7645732;-15.5765985
79665;Canarias;flat;duplex;115000.0;73.0;1;4.0;28.4168956;-16.5507259
80007;Canarias;flat;duplex;115000.0;75.0;1;2.0;27.7589689;-15.605415
80070;Canarias;flat;duplex;64000.0;75.0;1;2.0;28.4444808;-16.3255631
80088;Canarias;flat;duplex;249000.0;75.0;1;2.0;28.0678786;-16.7276928
80188;Canarias;flat;duplex;147000.0;75.0;1;4.0;28.0651144;-16.7126394
80226;Canarias;flat;duplex;67200.0;76.0;1;2.0;28.0823782;-16.7265041
80279;Canarias;flat;duplex;85000.0;76.0;1;3.0;28.40482;-16.55076
80813;Canarias;flat;duplex;95000.0;80.0;1;2.0;27.7524052;-15.5913377
81077;Canarias;flat;duplex;250000.0;83.0;1;3.0;28.3499933;-14.1056139
81566;Canarias;flat;duplex;94000.0;90.0;1;5.0;28.4789248;-16.412901
81967;Canarias;flat;duplex;220000.0;100.0;1;5.0;28.1221321;-15.4410983
81981;Canarias;flat;duplex;144000.0;101.0;1;Vacio;28.1367608;-15.4346093
82174;Canarias;flat;duplex;150000.0;110.0;1;3.0;28.0758797;-16.6982566
82567;Canarias;flat;duplex;150000.0;137.0;1;2.0;28.6120767;-13.9275252
83297;Canarias;flat;duplex;160000.0;35.0;2;0.0;27.7618147;-15.5934373
