index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
15528;Canarias;house;Vacio;50000.0;130.0;0;0.0;28.1217346;-15.4455159
18771;Canarias;house;Vacio;45000.0;167.0;0;2.0;28.15791;-16.63848
26027;Canarias;house;Vacio;328500.0;360.0;0;2.0;28.0822456;-15.4158269
61551;Canarias;house;Vacio;55000.0;35.0;1;0.0;29.1440093;-13.4474835
61696;Canarias;house;Vacio;69000.0;35.0;1;0.0;27.7611084;-15.6006346
61737;Canarias;house;Vacio;95000.0;35.0;1;0.0;27.7585619;-15.5847172
63033;Canarias;house;Vacio;157500.0;40.0;1;0.0;27.7581147;-15.5903373
63996;Canarias;house;Vacio;65000.0;42.0;1;3.0;28.6219447;-17.9074887
64245;Canarias;house;Vacio;115000.0;43.0;1;0.0;27.7624682;-15.590091
64956;Canarias;house;Vacio;130000.0;45.0;1;0.0;27.7998704;-15.7320872
66942;Canarias;house;Vacio;92000.0;48.0;1;0.0;27.7501535;-15.5820442
66943;Canarias;house;Vacio;95000.0;48.0;1;0.0;27.7674398;-15.5816169
67108;Canarias;house;Vacio;100000.0;48.0;1;0.0;27.7528204;-15.5856973
68006;Canarias;house;Vacio;85000.0;50.0;1;0.0;27.7529822;-15.5785531
69023;Canarias;house;Vacio;79950.0;50.0;1;0.0;27.7614585;-15.6017231
69316;Canarias;house;Vacio;136188.0;50.0;1;0.0;27.9255543;-15.6111362
71039;Canarias;house;Vacio;90000.0;54.0;1;0.0;27.7619619;-15.5840172
71040;Canarias;house;Vacio;120000.0;54.0;1;0.0;27.7578808;-15.5864258
73382;Canarias;house;Vacio;72420.0;57.0;1;0.0;28.09315;-15.4235141
75387;Canarias;house;Vacio;244800.0;60.0;1;2.0;28.1651888;-16.5026079
77928;Canarias;house;Vacio;57438.0;66.0;1;2.0;28.0426757;-16.6801573
78592;Canarias;house;Vacio;119000.0;69.6;1;0.0;27.761477;-15.6029024
78593;Canarias;house;Vacio;115000.0;69.6;1;0.0;27.9222202;-15.5493373
78754;Canarias;house;Vacio;179000.0;70.0;1;0.0;27.7691448;-15.547279
79509;Canarias;house;Vacio;126000.0;72.0;1;0.0;27.7516796;-15.5894071
80325;Canarias;house;Vacio;35000.0;76.0;1;0.0;28.3556736;-16.3726744
80790;Canarias;house;Vacio;189630.0;80.0;1;0.0;27.8859318;-15.5614732
80865;Canarias;house;Vacio;120000.0;80.0;1;0.0;28.0570245;-15.4551832
81147;Canarias;house;Vacio;64000.0;84.0;1;0.0;28.1225381;-15.5338832
81593;Canarias;house;Vacio;64000.0;91.0;1;0.0;28.12152;-15.53615
81936;Canarias;house;Vacio;105000.0;100.0;1;0.0;28.1453414;-16.5235192
81940;Canarias;house;Vacio;86420.0;100.0;1;2.0;28.0094027;-16.6709615
82370;Canarias;house;Vacio;150000.0;120.0;1;0.0;27.758115;-15.5736179
82511;Canarias;house;Vacio;125000.0;130.0;1;0.0;27.758115;-15.5720179
82512;Canarias;house;Vacio;150000.0;130.0;1;0.0;27.7616866;-15.5915434
82600;Canarias;house;Vacio;76420.0;140.0;1;0.0;28.0590447;-15.5489458
82639;Canarias;house;Vacio;299000.0;150.0;1;0.0;28.1088701;-16.5925198
82669;Canarias;house;Vacio;155000.0;156.0;1;0.0;27.7694917;-15.5808435
82685;Canarias;house;Vacio;179000.0;160.0;1;0.0;27.7613619;-15.5880172
82842;Canarias;house;Vacio;90000.0;230.0;1;4.0;28.0816356;-16.6739556
83151;Canarias;house;Vacio;199700.0;30.0;2;0.0;27.758004;-15.5736925
83189;Canarias;house;Vacio;89000.0;33.0;2;0.0;27.753791;-15.569869
83352;Canarias;house;Vacio;186000.0;37.0;2;0.0;27.7528885;-15.6015836
83409;Canarias;house;Vacio;35000.0;39.0;2;0.0;28.1567283;-14.2314205
83462;Canarias;house;Vacio;96000.0;40.0;2;0.0;27.7494698;-15.5768962
83638;Canarias;house;Vacio;41000.0;41.0;2;0.0;28.1750922;-14.2254703
83651;Canarias;house;Vacio;63000.0;41.0;2;0.0;28.3490911;-14.106119
83694;Canarias;house;Vacio;99000.0;42.0;2;2.0;27.7564268;-15.5864299
84051;Canarias;house;Vacio;156000.0;45.0;2;0.0;27.7709346;-15.583978
84127;Canarias;house;Vacio;155000.0;45.0;2;0.0;27.7599648;-15.5857727
84475;Canarias;house;Vacio;95000.0;46.8;2;0.0;27.79847;-15.69856
84602;Canarias;house;Vacio;76000.0;47.0;2;3.0;28.4832254;-16.2646038
