index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
40518;Canarias;land;Vacio;49000.0;0.0;0;0.0;28.4915462;-17.8538998
40521;Canarias;land;Vacio;425000.0;0.0;0;0.0;28.0610128;-15.4532649
40535;Canarias;land;Vacio;80000.0;0.0;0;0.0;28.3687395;-16.7071541
40545;Canarias;land;Vacio;190000.0;0.0;0;0.0;28.37419;-16.71469
41481;Canarias;land;Vacio;180000.0;0.0;0;0.0;28.0934844;-16.7130899
44112;Canarias;land;Vacio;349000.0;0.0;0;0.0;27.7877;-15.6113888
44113;Canarias;land;Vacio;135000.0;0.0;0;0.0;27.7893996;-15.6120267
44145;Canarias;land;Vacio;139000.0;0.0;0;0.0;28.5435978;-16.3520767
44146;Canarias;land;Vacio;40000.0;0.0;0;0.0;28.4380907;-16.3105962
44147;Canarias;land;Vacio;52000.0;0.0;0;0.0;28.4893934;-16.3959614
44148;Canarias;land;Vacio;120000.0;0.0;0;0.0;28.5225148;-16.3454265
44149;Canarias;land;Vacio;361500.0;0.0;0;0.0;28.4187743;-16.5047147
44150;Canarias;land;Vacio;35000.0;0.0;0;0.0;28.509922;-16.307667
44151;Canarias;land;Vacio;50000.0;0.0;0;0.0;28.1429892;-16.4426699
44152;Canarias;land;Vacio;1039000.0;0.0;0;0.0;28.5659729;-16.3240385
44230;Canarias;land;Vacio;450000.0;0.0;0;0.0;28.1427503;-15.6160648
44261;Canarias;land;Vacio;140000.0;0.0;0;0.0;28.1004244;-15.5015418
44262;Canarias;land;Vacio;125000.0;0.0;0;0.0;28.1023795;-15.4990033
44263;Canarias;land;Vacio;135000.0;0.0;0;0.0;28.102657;-15.4987269
44264;Canarias;land;Vacio;125000.0;0.0;0;0.0;28.1013644;-15.5020037
44265;Canarias;land;Vacio;170000.0;0.0;0;0.0;28.1364587;-15.436637
44578;Canarias;land;Vacio;1500000.0;0.0;0;0.0;27.7726144;-15.6441665
44579;Canarias;land;Vacio;10500000.0;0.0;0;0.0;27.8836973;-15.7239836
44580;Canarias;land;Vacio;450000.0;0.0;0;0.0;27.7679137;-15.6849768
44581;Canarias;land;Vacio;387815.0;0.0;0;0.0;27.7703042;-15.6841852
44582;Canarias;land;Vacio;370000.0;0.0;0;0.0;27.7783416;-15.6165504
44583;Canarias;land;Vacio;180000.0;0.0;0;0.0;27.9191698;-15.4387299
44599;Canarias;land;Vacio;3300000.0;0.0;0;0.0;28.1518067;-16.643025
44600;Canarias;land;Vacio;300000.0;0.0;0;0.0;28.1806257;-16.8153183
44601;Canarias;land;Vacio;9800000.0;0.0;0;0.0;28.5204;-16.39544
44602;Canarias;land;Vacio;1150000.0;0.0;0;0.0;28.5226884;-16.4055735
44606;Canarias;land;Vacio;189000.0;0.0;0;0.0;27.7494698;-15.5768962
44637;Canarias;land;Vacio;75000.0;0.0;0;0.0;28.4134093;-16.3405318
44684;Canarias;land;Vacio;150000.0;0.0;0;0.0;27.83332;-15.45208
44715;Canarias;land;Vacio;135000.0;0.0;0;0.0;28.103781;-15.5020358
44729;Canarias;land;Vacio;61800.0;0.0;0;0.0;28.039347;-15.4919468
44730;Canarias;land;Vacio;99000.0;0.0;0;0.0;28.3241706;-14.0475849
44911;Canarias;land;Vacio;800000.0;0.0;0;0.0;27.7533826;-15.5964171
44912;Canarias;land;Vacio;420000.0;0.0;0;0.0;27.7532117;-15.5965244
44924;Canarias;land;Vacio;225000.0;0.0;0;0.0;28.0589155;-15.4476142
44973;Canarias;land;Vacio;300000.0;0.0;0;0.0;28.5028847;-13.8714716
44974;Canarias;land;Vacio;120000.0;0.0;0;0.0;28.5062353;-13.8760104
44975;Canarias;land;Vacio;300000.0;0.0;0;0.0;28.5106409;-13.8722489
45090;Canarias;land;Vacio;130000.0;0.0;0;0.0;27.9928299;-15.3747552
45191;Canarias;land;Vacio;395000.0;0.0;0;0.0;28.9317324;-13.6289857
45646;Canarias;land;Vacio;105000.0;0.0;0;0.0;28.9547124;-13.6628485
45773;Canarias;land;Vacio;50500.0;0.0;0;0.0;29.0111103;-13.4965507
45839;Canarias;land;Vacio;60000.0;0.0;0;0.0;28.610799;-13.9308029
45840;Canarias;land;Vacio;175000.0;0.0;0;0.0;28.680879;-13.9406981
45841;Canarias;land;Vacio;42000.0;0.0;0;0.0;28.6919352;-13.9396011
45842;Canarias;land;Vacio;80000.0;0.0;0;0.0;28.6704597;-13.9338233
45848;Canarias;land;Vacio;125000.0;0.0;0;0.0;28.9501222;-13.5910007
45849;Canarias;land;Vacio;40000.0;0.0;0;0.0;28.9539452;-13.6510272
45850;Canarias;land;Vacio;30000.0;0.0;0;0.0;29.1465119;-13.4976965
46178;Canarias;land;Vacio;128000.0;0.0;0;0.0;28.1322466;-16.754347
46179;Canarias;land;Vacio;270000.0;0.0;0;0.0;28.1207384;-16.7717313
46180;Canarias;land;Vacio;88800.0;0.0;0;0.0;28.4017453;-16.5492155
46181;Canarias;land;Vacio;120000.0;0.0;0;0.0;28.1334286;-16.7775168
46318;Canarias;land;Vacio;90000.0;0.0;0;0.0;28.4187688;-16.3419195
46322;Canarias;land;Vacio;350000.0;0.0;0;0.0;27.7622619;-15.5840172
46326;Canarias;land;Vacio;1300000.0;0.0;0;0.0;28.609099;-13.9308029
46713;Canarias;land;Vacio;100000.0;0.0;0;0.0;28.1041385;-15.6157935
46781;Canarias;land;Vacio;78000.0;0.0;0;0.0;28.5610132;-13.9586333
46782;Canarias;land;Vacio;45000.0;0.0;0;0.0;28.610399;-13.9288029
46783;Canarias;land;Vacio;80000.0;0.0;0;0.0;28.610399;-13.9288029
46784;Canarias;land;Vacio;22000.0;0.0;0;0.0;28.5267363;-13.9906206
46785;Canarias;land;Vacio;126000.0;0.0;0;0.0;28.5387314;-13.8393785
46839;Canarias;land;Vacio;250000.0;0.0;0;0.0;28.6531291;-14.0101181
46840;Canarias;land;Vacio;85000.0;0.0;0;0.0;28.6833888;-13.92853
46841;Canarias;land;Vacio;742000.0;0.0;0;0.0;28.5363303;-13.9882233
46842;Canarias;land;Vacio;95000.0;0.0;0;0.0;28.6098206;-13.87215
46843;Canarias;land;Vacio;140000.0;0.0;0;0.0;28.6523002;-13.9071983
46844;Canarias;land;Vacio;110000.0;0.0;0;2.0;28.6814793;-14.0114073
46845;Canarias;land;Vacio;2900000.0;0.0;0;0.0;28.0691597;-16.5415219
46846;Canarias;land;Vacio;950000.0;0.0;0;0.0;28.5022;-13.86428
46847;Canarias;land;Vacio;876100.0;0.0;0;0.0;28.41891;-16.3162
46848;Canarias;land;Vacio;64235.0;0.0;0;0.0;28.115811;-15.52532
46849;Canarias;land;Vacio;4078800.0;0.0;0;0.0;27.9001076;-15.4464886
46850;Canarias;land;Vacio;1200000.0;0.0;0;0.0;28.002479;-15.41242
46851;Canarias;land;Vacio;1086650.0;0.0;0;0.0;27.9955845;-15.4127321
46852;Canarias;land;Vacio;87500000.0;0.0;0;0.0;28.10982;-15.43111
46853;Canarias;land;Vacio;1400000.0;0.0;0;0.0;27.92043;-15.40211
46854;Canarias;land;Vacio;1250000.0;0.0;0;0.0;28.3843076;-16.5733436
46855;Canarias;land;Vacio;320000.0;0.0;0;0.0;28.3847831;-16.5769405
46856;Canarias;land;Vacio;618000.0;0.0;0;0.0;28.1554372;-15.419922
46857;Canarias;land;Vacio;5974000.0;0.0;0;0.0;28.001379;-15.41642
46858;Canarias;land;Vacio;1462000.0;0.0;0;0.0;28.1092883;-15.4550878
46859;Canarias;land;Vacio;207000.0;0.0;0;0.0;27.8982614;-15.4455873
46860;Canarias;land;Vacio;1233300.0;0.0;0;0.0;28.1183206;-16.5799502
46861;Canarias;land;Vacio;400000.0;0.0;0;0.0;28.4198864;-16.3164991
47068;Canarias;land;Vacio;127000.0;0.0;0;0.0;28.0103697;-15.381361
47091;Canarias;land;Vacio;60000.0;0.0;0;0.0;28.3717952;-16.853016
47092;Canarias;land;Vacio;50000.0;0.0;0;0.0;28.36829;-16.84874
47093;Canarias;land;Vacio;1300000.0;0.0;0;0.0;27.8163357;-15.6181699
47094;Canarias;land;Vacio;82000.0;0.0;0;0.0;28.0965687;-16.7099976
47095;Canarias;land;Vacio;385000.0;0.0;0;0.0;27.7428629;-15.6048002
47096;Canarias;land;Vacio;400000.0;0.0;0;0.0;27.7590619;-15.5880172
47097;Canarias;land;Vacio;479000.0;0.0;0;0.0;27.7587619;-15.5840172
47098;Canarias;land;Vacio;330000.0;0.0;0;0.0;27.7687595;-15.5443082
