index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
27586;Cantabria;countryHouse;Vacio;74000.0;476.0;0;0.0;43.1783593;-3.4976787
30369;Cantabria;countryHouse;Vacio;400000.0;1005.0;0;0.0;43.411856;-4.0182275
163822;Cantabria;countryHouse;Vacio;320000.0;156.0;2;2.0;43.3844277;-4.2940695
232022;Cantabria;countryHouse;Vacio;73000.0;100.0;3;0.0;43.2979404;-3.9677559
232679;Cantabria;countryHouse;Vacio;110000.0;100.0;3;0.0;42.8386998;-3.9445057
244454;Cantabria;countryHouse;Vacio;309000.0;105.0;3;0.0;43.3281876;-4.1160272
278888;Cantabria;countryHouse;Vacio;300000.0;140.0;3;0.0;43.3750142;-3.6818182
282029;Cantabria;countryHouse;Vacio;125000.0;150.0;3;2.0;43.3731;-4.46268
294309;Cantabria;countryHouse;Vacio;121331.0;194.0;3;0.0;43.307577;-3.8516997
296351;Cantabria;countryHouse;Vacio;68000.0;204.0;3;2.0;43.3557138;-4.3536293
296942;Cantabria;countryHouse;Vacio;73000.0;210.0;3;0.0;42.8386998;-3.9445057
304532;Cantabria;countryHouse;Vacio;70000.0;350.0;3;2.0;43.4567375;-3.4941339
306507;Cantabria;countryHouse;Vacio;53000.0;72.0;4;0.0;43.2590442;-4.063354
328424;Cantabria;countryHouse;Vacio;195000.0;130.0;4;0.0;43.381667;-4.250833
350882;Cantabria;countryHouse;Vacio;132000.0;200.0;4;0.0;43.3750142;-3.6818182
353905;Cantabria;countryHouse;Vacio;84000.0;210.0;4;2.0;43.4094662;-3.9013225
364418;Cantabria;countryHouse;Vacio;575000.0;290.0;4;0.0;43.3833069;-4.397658
381804;Cantabria;countryHouse;Vacio;149000.0;228.0;5;2.0;43.2577667;-3.9336667
382674;Cantabria;countryHouse;Vacio;225500.0;240.0;5;2.0;43.3508937;-4.1262284
387812;Cantabria;countryHouse;Vacio;790000.0;320.0;5;2.0;43.4608687;-3.826771
387976;Cantabria;countryHouse;Vacio;790000.0;320.0;5;2.0;43.4601687;-3.830471
389694;Cantabria;countryHouse;Vacio;250000.0;360.0;5;2.0;43.353371;-4.4871265
389836;Cantabria;countryHouse;Vacio;500000.0;360.0;5;0.0;43.4554978;-3.6390776
396376;Cantabria;countryHouse;Vacio;209000.0;185.0;6;0.0;43.4929195;-3.5688358
397731;Cantabria;countryHouse;Vacio;380000.0;260.0;6;0.0;43.0189565;-4.2819858
405309;Cantabria;countryHouse;Vacio;1600000.0;550.0;7;2.0;43.4818886;-3.518243
405329;Cantabria;countryHouse;Vacio;1600000.0;550.0;7;2.0;43.4858313;-3.5216273
408993;Cantabria;countryHouse;Vacio;495000.0;650.0;19;0.0;43.3624087;-4.469555
