index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9338;Cantabria;countryHouse;village house;49900.0;80.0;0;0.0;43.3624087;-4.469555
10661;Cantabria;countryHouse;village house;32000.0;90.0;0;0.0;43.0725819;-3.8647281
25618;Cantabria;countryHouse;village house;29900.0;340.0;0;0.0;43.19316;-3.4499311
27919;Cantabria;countryHouse;village house;84900.0;503.0;0;0.0;43.2590442;-4.065154
81536;Cantabria;countryHouse;village house;46000.0;90.0;1;0.0;43.3373741;-3.6907531
81930;Cantabria;countryHouse;village house;107000.0;100.0;1;2.0;43.3843161;-3.6908978
82191;Cantabria;countryHouse;village house;65000.0;110.0;1;0.0;43.4193817;-3.6817565
82192;Cantabria;countryHouse;village house;33000.0;110.0;1;0.0;43.05894;-3.86497
82400;Cantabria;countryHouse;village house;61000.0;120.0;1;0.0;43.3780508;-3.5898907
82401;Cantabria;countryHouse;village house;42000.0;120.0;1;0.0;43.3504678;-3.7085267
82522;Cantabria;countryHouse;village house;55500.0;130.0;1;2.0;43.3798816;-3.6847001
82523;Cantabria;countryHouse;village house;180000.0;130.0;1;0.0;43.4666698;-3.5987431
82524;Cantabria;countryHouse;village house;42000.0;130.0;1;0.0;43.12482;-3.83372
82596;Cantabria;countryHouse;village house;66000.0;140.0;1;0.0;43.3765816;-3.6815001
82638;Cantabria;countryHouse;village house;130000.0;150.0;1;0.0;43.36731;-3.69912
82762;Cantabria;countryHouse;village house;68000.0;180.0;1;0.0;43.4138;-3.6008
82770;Cantabria;countryHouse;village house;132000.0;184.0;1;0.0;43.381759;-4.2510799
82883;Cantabria;countryHouse;village house;95000.0;270.0;1;0.0;43.40906;-3.66341
82916;Cantabria;countryHouse;village house;34000.0;300.0;1;0.0;43.26616;-3.43159
82925;Cantabria;countryHouse;village house;300000.0;320.0;1;0.0;43.35897;-3.79624
82926;Cantabria;countryHouse;village house;110000.0;320.0;1;0.0;43.36521;-3.69742
82932;Cantabria;countryHouse;village house;432000.0;330.0;1;0.0;43.48384;-3.54233
82937;Cantabria;countryHouse;village house;310000.0;340.0;1;0.0;43.3788816;-3.6807001
82944;Cantabria;countryHouse;village house;210000.0;350.0;1;0.0;43.3436045;-3.7509925
82975;Cantabria;countryHouse;village house;120000.0;400.0;1;0.0;43.39505;-3.76708
83028;Cantabria;countryHouse;village house;230000.0;730.0;1;0.0;43.34289;-3.84296
123895;Cantabria;countryHouse;village house;98100.0;75.0;2;0.0;43.2964469;-3.9638845
145817;Cantabria;countryHouse;village house;179000.0;90.0;2;2.0;43.36521;-3.69892
153582;Cantabria;countryHouse;village house;120000.0;100.0;2;0.0;43.4033058;-3.7996426
159820;Cantabria;countryHouse;village house;120000.0;120.0;2;0.0;43.3403217;-3.3244135
163979;Cantabria;countryHouse;village house;55000.0;160.0;2;0.0;42.9217063;-3.8604712
165166;Cantabria;countryHouse;village house;156000.0;200.0;2;0.0;43.3784508;-3.5898907
165486;Cantabria;countryHouse;village house;115000.0;228.0;2;0.0;43.0417066;-4.225889
165594;Cantabria;countryHouse;village house;257500.0;240.0;2;0.0;43.3841161;-3.6908978
212064;Cantabria;countryHouse;village house;145000.0;90.0;3;0.0;43.341111;-3.169444
213413;Cantabria;countryHouse;village house;111000.0;90.0;3;0.0;43.35897;-3.79684
232148;Cantabria;countryHouse;village house;115000.0;100.0;3;0.0;42.9986496;-4.1315978
250126;Cantabria;countryHouse;village house;55000.0;110.0;3;0.0;43.2518121;-4.6099582
273184;Cantabria;countryHouse;village house;162000.0;130.0;3;0.0;43.4129;-3.5968
286383;Cantabria;countryHouse;village house;49000.0;160.0;3;0.0;42.9880493;-4.1450926
286424;Cantabria;countryHouse;village house;320000.0;160.0;3;0.0;43.144408;-4.6298984
287555;Cantabria;countryHouse;village house;210000.0;162.0;3;0.0;43.4176625;-3.5447167
288384;Cantabria;countryHouse;village house;39000.0;166.0;3;0.0;42.8539604;-4.0090424
291473;Cantabria;countryHouse;village house;83000.0;180.0;3;0.0;43.3624087;-4.469555
