index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
77713;Cantabria;flat;duplex;238000.0;65.0;1;2.0;43.4765317;-3.8032508
78679;Cantabria;flat;duplex;105000.0;70.0;1;4.0;43.4806599;-3.61507
80970;Cantabria;flat;duplex;121451.0;82.0;1;3.0;43.3983318;-3.9487022
80995;Cantabria;flat;duplex;121451.0;82.0;1;3.0;43.4000318;-3.9487022
81873;Cantabria;flat;duplex;158700.0;100.0;1;Vacio;43.443019;-3.4587613
81974;Cantabria;flat;duplex;159000.0;101.0;1;2.0;43.3462797;-4.0508276
86111;Cantabria;flat;duplex;123000.0;50.0;2;5.0;43.4814637;-3.52339
91471;Cantabria;flat;duplex;106000.0;58.0;2;4.0;43.4099283;-3.7673684
92648;Cantabria;flat;duplex;126000.0;60.0;2;5.0;43.4866916;-3.5151988
92651;Cantabria;flat;duplex;95000.0;60.0;2;5.0;43.478287;-3.5183913
92658;Cantabria;flat;duplex;112000.0;60.0;2;4.0;43.4849573;-3.5198761
93442;Cantabria;flat;duplex;97500.0;60.0;2;3.0;43.4238043;-3.9982092
93451;Cantabria;flat;duplex;137000.0;60.0;2;4.0;43.4089158;-3.4344842
97638;Cantabria;flat;duplex;129900.0;62.0;2;4.0;43.3525209;-4.0610036
99032;Cantabria;flat;duplex;150000.0;63.0;2;2.0;43.4728887;-3.5075096
100532;Cantabria;flat;duplex;99000.0;65.0;2;5.0;43.4888318;-3.5275199
100608;Cantabria;flat;duplex;125000.0;65.0;2;0.0;43.4827784;-3.6150484
101783;Cantabria;flat;duplex;157000.0;65.0;2;6.0;43.4691439;-3.8003278
105698;Cantabria;flat;duplex;110000.0;67.0;2;3.0;43.3797565;-4.2909162
106056;Cantabria;flat;duplex;110000.0;67.0;2;3.0;43.3801565;-4.2909162
106916;Cantabria;flat;duplex;161000.0;68.0;2;3.0;43.4949077;-3.5231471
107183;Cantabria;flat;duplex;270000.0;68.0;2;5.0;43.4747921;-3.80573
107332;Cantabria;flat;duplex;156000.0;68.0;2;3.0;43.3879946;-4.3999366
107385;Cantabria;flat;duplex;161000.0;68.0;2;3.0;43.4915077;-3.5243471
108713;Cantabria;flat;duplex;113590.0;69.0;2;3.0;43.4301739;-3.9726357
109249;Cantabria;flat;duplex;141000.0;70.0;2;0.0;43.4471514;-3.4551874
109510;Cantabria;flat;duplex;250000.0;70.0;2;4.0;43.3930237;-4.2894017
109763;Cantabria;flat;duplex;96000.0;70.0;2;4.0;43.3518492;-3.950279
110463;Cantabria;flat;duplex;85000.0;70.0;2;3.0;43.3440959;-4.2508857
111390;Cantabria;flat;duplex;89000.0;70.0;2;0.0;43.3217938;-4.071423
112639;Cantabria;flat;duplex;169000.0;70.0;2;4.0;43.4560145;-3.7411619
112702;Cantabria;flat;duplex;100000.0;70.0;2;5.0;43.4263008;-3.9421477
112822;Cantabria;flat;duplex;128000.0;70.0;2;4.0;43.3953293;-3.5877635
