index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
17238;Cantabria;house;terraced house;38000.0;150.0;0;0.0;43.0034249;-4.1321714
22682;Cantabria;house;terraced house;50000.0;236.0;0;0.0;43.3428323;-3.3190844
70495;Cantabria;house;terraced house;40365.0;53.0;1;2.0;43.1070386;-4.6172878
70496;Cantabria;house;terraced house;39991.0;53.0;1;2.0;43.1085386;-4.6165878
95084;Cantabria;house;terraced house;137000.0;60.0;2;0.0;43.4130104;-4.0133648
97991;Cantabria;house;terraced house;92000.0;62.0;2;2.0;43.2815977;-3.6299721
99305;Cantabria;house;terraced house;125000.0;64.0;2;4.0;43.353571;-4.4831265
101645;Cantabria;house;terraced house;146600.0;65.0;2;5.0;43.1585106;-4.6472177
103566;Cantabria;house;terraced house;68000.0;65.0;2;0.0;42.7950394;-3.9676337
115188;Cantabria;house;terraced house;114000.0;71.0;2;0.0;43.3857193;-4.0119089
116654;Cantabria;house;terraced house;90000.0;72.0;2;3.0;43.2734785;-3.6022547
126401;Cantabria;house;terraced house;106000.0;78.0;2;0.0;43.307686;-3.427635
128231;Cantabria;house;terraced house;148800.0;79.0;2;0.0;43.3237398;-4.0709066
128657;Cantabria;house;terraced house;50000.0;80.0;2;3.0;43.192016;-4.078641
130673;Cantabria;house;terraced house;129900.0;80.0;2;0.0;43.3854208;-4.0090594
140738;Cantabria;house;terraced house;160000.0;86.0;2;0.0;43.3967786;-3.9513169
145372;Cantabria;house;terraced house;110000.0;90.0;2;4.0;43.2740785;-3.5982547
152717;Cantabria;house;terraced house;221000.0;100.0;2;0.0;43.4866544;-3.8061752
152784;Cantabria;house;terraced house;165500.0;100.0;2;0.0;43.4298845;-3.9956951
156763;Cantabria;house;terraced house;130000.0;110.0;2;0.0;43.3759567;-4.0124373
156764;Cantabria;house;terraced house;179000.0;110.0;2;2.0;43.3560608;-3.9516374
156886;Cantabria;house;terraced house;120000.0;110.0;2;0.0;43.3187343;-3.8789204
157097;Cantabria;house;terraced house;87800.0;110.0;2;0.0;43.1484115;-4.0445739
157264;Cantabria;house;terraced house;210000.0;110.0;2;0.0;43.3495556;-3.2116857
