index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
44164;Cantabria;land;Vacio;79000.0;0.0;0;0.0;43.4066064;-4.059298
44165;Cantabria;land;Vacio;90000.0;0.0;0;0.0;43.4094435;-4.0626025
44660;Cantabria;land;Vacio;520000.0;0.0;0;0.0;43.4699582;-3.7189764
44661;Cantabria;land;Vacio;220000.0;0.0;0;0.0;43.4563364;-3.7357231
44744;Cantabria;land;Vacio;75000.0;0.0;0;0.0;43.4105879;-3.4948271
44745;Cantabria;land;Vacio;106000.0;0.0;0;0.0;43.3603626;-3.2280211
44746;Cantabria;land;Vacio;220000.0;0.0;0;0.0;43.4563308;-3.4927157
44747;Cantabria;land;Vacio;132425.0;0.0;0;0.0;43.4563308;-3.4899157
44854;Cantabria;land;Vacio;71000.0;0.0;0;0.0;43.2723585;-3.6017994
44855;Cantabria;land;Vacio;33000.0;0.0;0;0.0;43.3236743;-3.4852352
44856;Cantabria;land;Vacio;54000.0;0.0;0;0.0;43.184501;-3.5663651
44892;Cantabria;land;Vacio;405600.0;0.0;0;0.0;43.3454047;-4.1514587
44893;Cantabria;land;Vacio;108000.0;0.0;0;0.0;43.3993696;-3.9518981
44894;Cantabria;land;Vacio;60000.0;0.0;0;2.0;43.4122743;-3.6975775
44908;Cantabria;land;Vacio;700000.0;0.0;0;0.0;43.4595462;-3.7146314
44952;Cantabria;land;Vacio;12000.0;0.0;0;0.0;43.4716667;-3.594793
44953;Cantabria;land;Vacio;45000.0;0.0;0;0.0;43.4762106;-3.6211277
44954;Cantabria;land;Vacio;60000.0;0.0;0;0.0;43.4742106;-3.6226277
44955;Cantabria;land;Vacio;60000.0;0.0;0;0.0;43.4782106;-3.6227277
45040;Cantabria;land;Vacio;766800.0;0.0;0;0.0;43.4534483;-3.8624779
45042;Cantabria;land;Vacio;766800.0;0.0;0;0.0;43.4534483;-3.8624779
45043;Cantabria;land;Vacio;711606.0;0.0;0;0.0;43.4154518;-3.8581713
45545;Cantabria;land;Vacio;260000.0;0.0;0;0.0;43.4381108;-3.9055537
45546;Cantabria;land;Vacio;280000.0;0.0;0;0.0;43.3521864;-3.9525497
45585;Cantabria;land;Vacio;116000.0;0.0;0;0.0;43.3521081;-3.4958448
45886;Cantabria;land;Vacio;50000.0;0.0;0;0.0;43.3444964;-3.8627583
45898;Cantabria;land;Vacio;107000.0;0.0;0;0.0;43.4303008;-3.9415477
46268;Cantabria;land;Vacio;20000.0;0.0;0;0.0;43.3493595;-4.0447567
46366;Cantabria;land;Vacio;55000.0;0.0;0;0.0;43.431856;-3.9412415
46367;Cantabria;land;Vacio;46000.0;0.0;0;0.0;43.4081865;-3.9273163
46368;Cantabria;land;Vacio;35000.0;0.0;0;0.0;43.4078692;-4.014017
46369;Cantabria;land;Vacio;7500.0;0.0;0;0.0;43.4116848;-4.0112902
46370;Cantabria;land;Vacio;1000000.0;0.0;0;0.0;43.404336;-3.8878033
46371;Cantabria;land;Vacio;30000.0;0.0;0;0.0;43.3281876;-4.1136272
46372;Cantabria;land;Vacio;20000.0;0.0;0;0.0;43.4218697;-4.0109383
46398;Cantabria;land;Vacio;250000.0;0.0;0;0.0;43.42933;-4.03879
46399;Cantabria;land;Vacio;250000.0;0.0;0;0.0;43.43333;-4.03649
46682;Cantabria;land;Vacio;100000.0;0.0;0;0.0;42.9600217;-4.1670606
47032;Cantabria;land;Vacio;87000.0;0.0;0;2.0;43.3631579;-3.8637123
47033;Cantabria;land;Vacio;49900.0;0.0;0;2.0;43.3660549;-3.866854
47136;Cantabria;land;Vacio;98000.0;0.0;0;0.0;43.3869249;-3.9528208
47137;Cantabria;land;Vacio;88000.0;0.0;0;0.0;43.305677;-3.8540997
47138;Cantabria;land;Vacio;100000.0;0.0;0;0.0;43.4116504;-3.8928548
47139;Cantabria;land;Vacio;30000.0;0.0;0;0.0;43.3780428;-3.5881128
47140;Cantabria;land;Vacio;95000.0;0.0;0;0.0;43.4140504;-3.8921548
51307;Cantabria;land;Vacio;1500000.0;0.0;0;0.0;43.4437306;-3.8371062
51362;Cantabria;land;Vacio;700000.0;0.0;0;0.0;43.410313;-3.4168768
51457;Cantabria;land;Vacio;76000.0;0.0;0;0.0;43.3106239;-4.4894289
51458;Cantabria;land;Vacio;110000.0;0.0;0;0.0;43.2866359;-4.2432044
51461;Cantabria;land;Vacio;298000.0;0.0;0;0.0;43.3301876;-4.1155272
51477;Cantabria;land;Vacio;290000.0;0.0;0;2.0;43.4642696;-3.6733563
51540;Cantabria;land;Vacio;600000.0;0.0;0;0.0;43.3066709;-4.2963583
51685;Cantabria;land;Vacio;40000.0;0.0;0;2.0;43.4132665;-3.5782341
51796;Cantabria;land;Vacio;180000.0;0.0;0;0.0;43.3973007;-4.1366452
51797;Cantabria;land;Vacio;104000.0;0.0;0;0.0;42.8764539;-4.1316862
51798;Cantabria;land;Vacio;360000.0;0.0;0;0.0;42.9810215;-4.150755
51800;Cantabria;land;Vacio;41000.0;0.0;0;0.0;42.9545556;-4.1446667
51801;Cantabria;land;Vacio;48000.0;0.0;0;0.0;42.7966195;-3.9761572
51805;Cantabria;land;Vacio;403000.0;0.0;0;0.0;42.9971482;-4.1430077
51806;Cantabria;land;Vacio;45000.0;0.0;0;0.0;42.873478;-4.090881
51807;Cantabria;land;Vacio;23000.0;0.0;0;0.0;42.9540149;-4.1398457
51808;Cantabria;land;Vacio;204500.0;0.0;0;0.0;43.0027071;-4.138354
51810;Cantabria;land;Vacio;96000.0;0.0;0;0.0;43.3658367;-4.1252376
51811;Cantabria;land;Vacio;120000.0;0.0;0;0.0;43.0065413;-4.1357343
51813;Cantabria;land;Vacio;30000.0;0.0;0;0.0;42.9535047;-4.1336659
51815;Cantabria;land;Vacio;18000.0;0.0;0;0.0;42.8972397;-3.9128223
51818;Cantabria;land;Vacio;700000.0;0.0;0;0.0;43.0027071;-4.138154
51819;Cantabria;land;Vacio;27000.0;0.0;0;0.0;42.9217776;-3.8618154
51820;Cantabria;land;Vacio;682635.0;0.0;0;0.0;42.9967173;-4.1553206
51822;Cantabria;land;Vacio;16420.0;0.0;0;0.0;42.8768988;-4.2052497
51981;Cantabria;land;Vacio;65000.0;0.0;0;0.0;43.3505864;-3.9505497
52200;Cantabria;land;Vacio;525000.0;0.0;0;0.0;43.4207415;-3.8353222
52345;Cantabria;land;Vacio;94000.0;0.0;0;0.0;43.4103879;-3.4968271
52356;Cantabria;land;Vacio;49000.0;0.0;0;2.0;43.2062953;-4.2998616
52357;Cantabria;land;Vacio;144000.0;0.0;0;0.0;43.3578018;-3.9782974
52358;Cantabria;land;Vacio;90000.0;0.0;0;2.0;43.2431666;-3.93995
52359;Cantabria;land;Vacio;110000.0;0.0;0;0.0;43.4235431;-3.980008
52360;Cantabria;land;Vacio;1050000.0;0.0;0;0.0;43.3799316;-3.8397662
52361;Cantabria;land;Vacio;45000.0;0.0;0;0.0;43.3589774;-3.9740176
52362;Cantabria;land;Vacio;179500.0;0.0;0;0.0;43.428019;-3.9812929
52363;Cantabria;land;Vacio;66000.0;0.0;0;2.0;43.2438878;-3.9701148
52364;Cantabria;land;Vacio;40000.0;0.0;0;0.0;43.0328471;-3.9581085
52365;Cantabria;land;Vacio;380000.0;0.0;0;0.0;43.4369959;-3.8859459
52366;Cantabria;land;Vacio;240000.0;0.0;0;0.0;43.4293176;-3.8587156
52367;Cantabria;land;Vacio;800000.0;0.0;0;0.0;43.3794509;-4.1823174
52368;Cantabria;land;Vacio;800000.0;0.0;0;2.0;43.401591;-3.9517218
52369;Cantabria;land;Vacio;180000.0;0.0;0;0.0;43.3783782;-4.1773392
