index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
249;Cantabria;office;Vacio;20000.0;20.0;0;2.0;42.9985662;-4.1394772
375;Cantabria;office;Vacio;43000.0;23.0;0;2.0;43.4527844;-3.8224525
1057;Cantabria;office;Vacio;69000.0;30.0;0;2.0;43.4636315;-3.8072628
2062;Cantabria;office;Vacio;145000.0;37.0;0;4.0;43.4616537;-3.8056584
2264;Cantabria;office;Vacio;60000.0;39.0;0;6.0;43.4634478;-3.813895
2938;Cantabria;office;Vacio;80000.0;42.0;0;5.0;43.4614311;-3.8152967
3748;Cantabria;office;Vacio;90000.0;46.0;0;5.0;43.4654311;-3.8182967
3886;Cantabria;office;Vacio;150000.0;48.0;0;5.0;43.4638403;-3.8017016
3887;Cantabria;office;Vacio;150000.0;48.0;0;3.0;43.4638403;-3.8017016
3986;Cantabria;office;Vacio;150000.0;48.0;0;5.0;43.4658751;-3.8000389
3987;Cantabria;office;Vacio;150000.0;48.0;0;5.0;43.4658751;-3.8023389
5761;Cantabria;office;Vacio;220000.0;59.0;0;5.0;43.4626437;-3.8093629
6321;Cantabria;office;Vacio;88000.0;61.0;0;4.0;43.4264245;-3.8409912
7079;Cantabria;office;Vacio;89000.0;67.0;0;3.0;43.4598964;-3.8363372
7134;Cantabria;office;Vacio;89000.0;67.0;0;3.0;43.4617964;-3.8356372
7152;Cantabria;office;Vacio;105000.0;67.0;0;4.0;43.4630856;-3.8401077
7694;Cantabria;office;Vacio;98000.0;70.0;0;4.0;43.4607165;-3.8369717
8612;Cantabria;office;Vacio;135000.0;75.0;0;3.0;43.454798;-3.8132644
8697;Cantabria;office;Vacio;72000.0;76.0;0;3.0;43.3499539;-4.0492877
8723;Cantabria;office;Vacio;350000.0;76.0;0;9.0;43.4601451;-3.809277
9060;Cantabria;office;Vacio;93600.0;79.0;0;0.0;43.3995136;-3.4471251
9251;Cantabria;office;Vacio;210000.0;80.0;0;3.0;43.460611;-3.8180792
9377;Cantabria;office;Vacio;136000.0;80.0;0;3.0;43.4577002;-3.8114549
9413;Cantabria;office;Vacio;80000.0;80.0;0;5.0;43.4616526;-3.8013847
9480;Cantabria;office;Vacio;210000.0;80.0;0;3.0;43.460411;-3.8200792
10294;Cantabria;office;Vacio;150000.0;86.0;0;5.0;43.4637751;-3.8037389
10396;Cantabria;office;Vacio;250000.0;87.0;0;3.0;43.4645751;-3.7997389
12154;Cantabria;office;Vacio;160000.0;100.0;0;3.0;43.4610133;-3.8237973
12350;Cantabria;office;Vacio;156000.0;100.0;0;3.0;43.4614083;-3.8242317
12517;Cantabria;office;Vacio;210000.0;101.0;0;3.0;43.4634553;-3.7905661
12794;Cantabria;office;Vacio;170000.0;105.0;0;5.0;43.4614311;-3.8152967
12921;Cantabria;office;Vacio;160000.0;105.0;0;5.0;43.4654311;-3.8182967
13511;Cantabria;office;Vacio;350000.0;110.0;0;9.0;43.4609451;-3.805477
13524;Cantabria;office;Vacio;360000.0;110.0;0;3.0;43.4616757;-3.8094925
13904;Cantabria;office;Vacio;106000.0;115.0;0;0.0;43.4605836;-3.8313316
14151;Cantabria;office;Vacio;136000.0;118.0;0;3.0;43.4557002;-3.8106549
14177;Cantabria;office;Vacio;136000.0;118.0;0;3.0;43.4597002;-3.8124549
14202;Cantabria;office;Vacio;136000.0;118.0;0;3.0;43.4582002;-3.8134549
14217;Cantabria;office;Vacio;136000.0;118.0;0;3.0;43.4557002;-3.8115549
14225;Cantabria;office;Vacio;136000.0;118.0;0;0.0;43.4577002;-3.8114549
14420;Cantabria;office;Vacio;260000.0;120.0;0;0.0;43.4663545;-3.8011134
15992;Cantabria;office;Vacio;650000.0;135.0;0;9.0;43.4628451;-3.805477
16076;Cantabria;office;Vacio;650000.0;136.0;0;9.0;43.4628451;-3.805477
17355;Cantabria;office;Vacio;199000.0;150.0;0;3.0;43.4626769;-3.8059694
20714;Cantabria;office;Vacio;290000.0;200.0;0;5.0;43.4614311;-3.8152967
20799;Cantabria;office;Vacio;571000.0;200.0;0;0.0;43.4534813;-3.8777913
21570;Cantabria;office;Vacio;318664.0;211.0;0;2.0;43.4502813;-3.8784913
22672;Cantabria;office;Vacio;1000000.0;235.0;0;9.0;43.4604451;-3.809477
23341;Cantabria;office;Vacio;800000.0;250.0;0;3.0;43.4623697;-3.8144233
24240;Cantabria;office;Vacio;850000.0;281.0;0;3.0;43.4587284;-3.8085216
24409;Cantabria;office;Vacio;590000.0;290.0;0;3.0;43.4593772;-3.8093493
24838;Cantabria;office;Vacio;1600000.0;300.0;0;2.0;43.4645571;-3.7989657
