index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
16388;Castilla y León;countryHouse;Vacio;60000.0;140.0;0;0.0;41.6943714;-3.9219274
82303;Castilla y León;countryHouse;Vacio;73000.0;115.0;1;0.0;41.0378755;-5.8423435
108833;Castilla y León;countryHouse;Vacio;30000.0;69.0;2;2.0;41.4185277;-6.2701236
144554;Castilla y León;countryHouse;Vacio;111000.0;90.0;2;0.0;41.709843;-3.9879128
163462;Castilla y León;countryHouse;Vacio;66000.0;150.0;2;5.0;42.6486585;-3.0203811
164597;Castilla y León;countryHouse;Vacio;170000.0;179.0;2;0.0;40.3576643;-5.1767859
192858;Castilla y León;countryHouse;Vacio;114200.0;80.0;3;2.0;41.5494626;-5.7977899
212746;Castilla y León;countryHouse;Vacio;55000.0;90.0;3;0.0;40.9493177;-5.6878439
213824;Castilla y León;countryHouse;Vacio;110000.0;90.0;3;0.0;40.5022868;-5.9034944
220809;Castilla y León;countryHouse;Vacio;70108.0;94.0;3;0.0;40.8721816;-4.3961371
234749;Castilla y León;countryHouse;Vacio;98000.0;100.0;3;0.0;41.6552809;-4.7481888
236296;Castilla y León;countryHouse;Vacio;18000.0;100.0;3;2.0;41.4100634;-5.7543644
236994;Castilla y León;countryHouse;Vacio;107000.0;100.0;3;0.0;41.6704485;-4.7107358
252815;Castilla y León;countryHouse;Vacio;265000.0;110.0;3;0.0;42.7833487;-5.8108813
270101;Castilla y León;countryHouse;Vacio;60000.0;126.0;3;0.0;42.5907989;-5.4923196
282641;Castilla y León;countryHouse;Vacio;105000.0;150.0;3;0.0;41.68163;-3.52342
287046;Castilla y León;countryHouse;Vacio;79500.0;160.0;3;0.0;41.9057787;-4.949001
289219;Castilla y León;countryHouse;Vacio;180000.0;170.0;3;0.0;42.7949128;-4.2608277
290408;Castilla y León;countryHouse;Vacio;54000.0;175.0;3;0.0;42.7165119;-3.7484586
291984;Castilla y León;countryHouse;Vacio;270000.0;180.0;3;0.0;42.6576307;-3.0596892
293001;Castilla y León;countryHouse;Vacio;89500.0;185.0;3;0.0;41.2806751;-3.4812867
295319;Castilla y León;countryHouse;Vacio;150000.0;200.0;3;0.0;42.7897456;-4.2592323
305551;Castilla y León;countryHouse;Vacio;16500.0;482.0;3;0.0;41.8133562;-5.1586752
305961;Castilla y León;countryHouse;Vacio;270000.0;800.0;3;0.0;41.3011659;-3.7494109
307335;Castilla y León;countryHouse;Vacio;87000.0;80.0;4;2.0;40.976677;-5.6119785
323022;Castilla y León;countryHouse;Vacio;240000.0;120.0;4;0.0;41.6563647;-3.8615832
324061;Castilla y León;countryHouse;Vacio;89000.0;120.0;4;0.0;42.6732898;-3.2366778
328658;Castilla y León;countryHouse;Vacio;186000.0;130.0;4;0.0;41.61253;-3.96502
328659;Castilla y León;countryHouse;Vacio;150000.0;130.0;4;0.0;41.7382453;-3.872898
328660;Castilla y León;countryHouse;Vacio;45000.0;130.0;4;0.0;41.6403249;-3.9913836
331923;Castilla y León;countryHouse;Vacio;57200.0;136.0;4;3.0;41.6304278;-5.1842121
333046;Castilla y León;countryHouse;Vacio;145000.0;140.0;4;0.0;41.6447269;-3.6440715
343914;Castilla y León;countryHouse;Vacio;100000.0;170.0;4;0.0;41.7981608;-3.586019
346318;Castilla y León;countryHouse;Vacio;179000.0;180.0;4;0.0;41.3155033;-3.331815
346501;Castilla y León;countryHouse;Vacio;95000.0;180.0;4;0.0;41.7531721;-3.8021299
355359;Castilla y León;countryHouse;Vacio;100000.0;220.0;4;0.0;41.6100737;-3.9629859
356289;Castilla y León;countryHouse;Vacio;60000.0;224.0;4;0.0;41.8168;-4.020053
362288;Castilla y León;countryHouse;Vacio;480000.0;265.0;4;0.0;41.1326422;-3.8131814
367614;Castilla y León;countryHouse;Vacio;250000.0;330.0;4;0.0;41.091743;-5.9991409
368381;Castilla y León;countryHouse;Vacio;180000.0;350.0;4;0.0;42.8370553;-4.289658
370129;Castilla y León;countryHouse;Vacio;365000.0;400.0;4;0.0;41.6939638;-3.5555918
371647;Castilla y León;countryHouse;Vacio;250000.0;482.0;4;2.0;41.9497154;-2.4683522
374670;Castilla y León;countryHouse;Vacio;90000.0;140.0;5;0.0;41.6864591;-3.8721982
376194;Castilla y León;countryHouse;Vacio;65000.0;160.0;5;0.0;42.2054187;-3.9860864
376645;Castilla y León;countryHouse;Vacio;65000.0;166.0;5;0.0;41.7326157;-3.7681357
378200;Castilla y León;countryHouse;Vacio;70000.0;185.0;5;0.0;41.681831;-3.5206802
384708;Castilla y León;countryHouse;Vacio;90000.0;270.0;5;4.0;40.3535522;-5.5609357
389763;Castilla y León;countryHouse;Vacio;95000.0;360.0;5;0.0;41.6883302;-3.8733998
392534;Castilla y León;countryHouse;Vacio;258000.0;450.0;5;2.0;41.4939478;-5.6822283
392898;Castilla y León;countryHouse;Vacio;349000.0;480.0;5;0.0;41.501693;-4.991005
396329;Castilla y León;countryHouse;Vacio;410000.0;180.0;6;2.0;42.0515916;-6.6326477
397977;Castilla y León;countryHouse;Vacio;67815.0;274.0;6;0.0;42.1778148;-4.1515113
400593;Castilla y León;countryHouse;Vacio;379174.0;426.0;6;0.0;42.8649565;-4.4975234
402827;Castilla y León;countryHouse;Vacio;850000.0;750.0;6;0.0;41.531937;-5.297513
402901;Castilla y León;countryHouse;Vacio;220000.0;795.0;6;0.0;42.8540139;-5.5410664
403711;Castilla y León;countryHouse;Vacio;85000.0;220.0;7;0.0;41.7705744;-3.6880414
404913;Castilla y León;countryHouse;Vacio;430000.0;450.0;7;0.0;41.2596744;-3.924412
405588;Castilla y León;countryHouse;Vacio;310000.0;648.0;7;0.0;41.6346157;-4.3681957
405629;Castilla y León;countryHouse;Vacio;60000.0;660.0;7;0.0;42.2904477;-4.1378745
406399;Castilla y León;countryHouse;Vacio;29000.0;230.0;8;0.0;41.6399944;-3.9928498
407407;Castilla y León;countryHouse;Vacio;1000000.0;1000.0;8;0.0;41.7268413;-4.4276409
407740;Castilla y León;countryHouse;Vacio;110000.0;390.0;9;0.0;41.5889007;-3.6405174
407899;Castilla y León;countryHouse;Vacio;300000.0;500.0;9;0.0;41.0625864;-5.8237709
407944;Castilla y León;countryHouse;Vacio;490000.0;550.0;9;0.0;42.8211377;-3.2303428
