index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1278;Castilla y León;flat;Vacio;28000.0;33.0;0;0.0;42.6080235;-5.6098453
5720;Castilla y León;flat;Vacio;26900.0;58.0;0;4.0;40.6039377;-4.3295099
60766;Castilla y León;flat;Vacio;43000.0;19.0;1;5.0;43.0061811;-5.2752
60788;Castilla y León;flat;Vacio;77786.0;20.0;1;3.0;40.9638458;-5.6465972
60848;Castilla y León;flat;Vacio;43000.0;25.0;1;3.0;40.974757;-5.6704679
60860;Castilla y León;flat;Vacio;100000.0;25.0;1;3.0;40.9650447;-5.6580601
60945;Castilla y León;flat;Vacio;39000.0;29.0;1;4.0;42.3409906;-3.7039815
61039;Castilla y León;flat;Vacio;41000.0;30.0;1;12.0;41.5131616;-5.7414461
61248;Castilla y León;flat;Vacio;99167.0;32.0;1;2.0;40.9675608;-5.6461439
61425;Castilla y León;flat;Vacio;65000.0;34.0;1;2.0;43.0035811;-5.2754
61442;Castilla y León;flat;Vacio;66000.0;35.0;1;0.0;42.6080235;-5.6098453
61538;Castilla y León;flat;Vacio;108000.0;35.0;1;3.0;42.3368748;-3.6971347
61583;Castilla y León;flat;Vacio;28000.0;35.0;1;5.0;42.6832275;-2.9520065
61645;Castilla y León;flat;Vacio;57000.0;35.0;1;2.0;40.3693123;-5.7445464
61669;Castilla y León;flat;Vacio;29000.0;35.0;1;0.0;40.6533526;-4.701706
61680;Castilla y León;flat;Vacio;98000.0;35.0;1;3.0;40.975583;-5.6785331
61857;Castilla y León;flat;Vacio;108000.0;36.0;1;3.0;42.3380748;-3.6982347
62007;Castilla y León;flat;Vacio;45000.0;37.0;1;2.0;43.0021811;-5.2725
62008;Castilla y León;flat;Vacio;48000.0;37.0;1;4.0;42.6246128;-5.5682521
62025;Castilla y León;flat;Vacio;52000.0;37.0;1;4.0;41.0150326;-5.5977612
62111;Castilla y León;flat;Vacio;51000.0;38.0;1;2.0;41.7662614;-2.4578584
62112;Castilla y León;flat;Vacio;46000.0;38.0;1;2.0;41.7667614;-2.4604584
62149;Castilla y León;flat;Vacio;35000.0;38.0;1;7.0;42.3313239;-3.7017279
62152;Castilla y León;flat;Vacio;38563.0;38.0;1;2.0;40.7947437;-4.2762718
62163;Castilla y León;flat;Vacio;53000.0;38.0;1;2.0;41.4971771;-5.7556684
62215;Castilla y León;flat;Vacio;133000.0;38.0;1;3.0;41.5109937;-5.7454863
62360;Castilla y León;flat;Vacio;140000.0;39.0;1;4.0;40.970146;-5.6572901
62399;Castilla y León;flat;Vacio;48000.0;40.0;1;8.0;42.3328412;-3.6969714
62415;Castilla y León;flat;Vacio;54000.0;40.0;1;0.0;42.9345005;-3.5739999
62568;Castilla y León;flat;Vacio;125500.0;40.0;1;3.0;40.9699783;-5.6643835
62674;Castilla y León;flat;Vacio;39000.0;40.0;1;0.0;42.3436405;-3.7111691
