index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32687;Castilla y León;garage;Vacio;10500.0;0.0;0;0.0;41.637933;-4.7494661
32703;Castilla y León;garage;Vacio;476000.0;0.0;0;0.0;40.2917847;-4.5771316
32724;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0171715;-5.5917317
32726;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0211715;-5.5897317
32752;Castilla y León;garage;Vacio;16000.0;0.0;0;0.0;42.3446078;-3.6823173
32766;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7325671;-4.6442114
32768;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7300671;-4.6482114
32780;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7326671;-4.6455114
32785;Castilla y León;garage;Vacio;42000.0;0.0;0;0.0;41.651829;-4.7305346
32792;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7326671;-4.6466114
32840;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7312671;-4.6482114
32863;Castilla y León;garage;Vacio;6000.0;0.0;0;0.0;41.0184323;-5.5882583
32876;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7311671;-4.6442114
32878;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7295671;-4.6442114
32879;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7326671;-4.6443114
32895;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7324671;-4.6482114
32918;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7286671;-4.6450114
32921;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7304671;-4.6442114
32944;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0211715;-5.5895317
32998;Castilla y León;garage;Vacio;5000.0;0.0;0;0.0;42.7974932;-5.630047
33018;Castilla y León;garage;Vacio;6000.0;0.0;0;0.0;41.0192323;-5.5882583
33091;Castilla y León;garage;Vacio;5000.0;0.0;0;0.0;41.0211715;-5.5893317
33092;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0201715;-5.5880317
33094;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0179715;-5.5880317
33133;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0178715;-5.5880317
33138;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0171715;-5.5917317
33147;Castilla y León;garage;Vacio;11000.0;0.0;0;0.0;42.3325989;-3.7036018
33176;Castilla y León;garage;Vacio;10000.0;0.0;0;0.0;41.6488582;-5.8034131
33189;Castilla y León;garage;Vacio;30000.0;0.0;0;2.0;40.9494976;-5.627069
33205;Castilla y León;garage;Vacio;3000.0;0.0;0;0.0;41.0192715;-5.5880317
33208;Castilla y León;garage;Vacio;6500.0;0.0;0;0.0;42.3687299;-3.6542
33217;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7312671;-4.6442114
33218;Castilla y León;garage;Vacio;9000.0;0.0;0;0.0;41.2989976;-4.4562308
33229;Castilla y León;garage;Vacio;8000.0;0.0;0;0.0;41.7326671;-4.6468114
33252;Castilla y León;garage;Vacio;6500.0;0.0;0;0.0;42.3677299;-3.6524
33268;Castilla y León;garage;Vacio;12000.0;0.0;0;0.0;40.3871165;-5.7642172
33269;Castilla y León;garage;Vacio;15000.0;0.0;0;0.0;40.3871165;-5.7642172
33456;Castilla y León;garage;Vacio;5000.0;0.0;0;0.0;40.64426;-4.67696
33784;Castilla y León;garage;Vacio;8500.0;0.0;0;0.0;41.7535874;-2.4747593
33785;Castilla y León;garage;Vacio;8500.0;0.0;0;0.0;41.7551874;-2.4737593
34265;Castilla y León;garage;Vacio;3500.0;0.0;0;0.0;42.3679745;-3.6159805
34266;Castilla y León;garage;Vacio;3500.0;0.0;0;0.0;42.3679745;-3.6152805
34267;Castilla y León;garage;Vacio;3500.0;0.0;0;0.0;42.3639745;-3.6145805
34268;Castilla y León;garage;Vacio;3500.0;0.0;0;0.0;42.3679745;-3.6132805
