index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
12003;Castilla y León;house;terraced house;50000.0;100.0;0;0.0;43.0977403;-3.2823733
18138;Castilla y León;house;terraced house;50000.0;160.0;0;0.0;43.0976865;-3.2845487
66169;Castilla y León;house;terraced house;28500.0;46.0;1;0.0;42.5375463;-6.7518162
82304;Castilla y León;house;terraced house;12200.0;115.0;1;0.0;42.4077962;-4.2405423
82641;Castilla y León;house;terraced house;129000.0;150.0;1;0.0;42.3858825;-3.7315773
83788;Castilla y León;house;terraced house;54400.0;43.0;2;3.0;40.9503927;-5.6856213
89624;Castilla y León;house;terraced house;25000.0;55.0;2;0.0;41.6276363;-4.3667758
90096;Castilla y León;house;terraced house;113000.0;56.0;2;0.0;40.3593326;-5.1356227
95143;Castilla y León;house;terraced house;99000.0;60.0;2;2.0;42.7344379;-2.7486041
96989;Castilla y León;house;terraced house;100000.0;61.0;2;0.0;40.43063;-5.15156
99839;Castilla y León;house;terraced house;120000.0;64.0;2;0.0;40.7974089;-4.3773195
102316;Castilla y León;house;terraced house;59000.0;65.0;2;0.0;41.4936969;-5.7398757
112124;Castilla y León;house;terraced house;70000.0;70.0;2;0.0;42.3270316;-3.6174298
113133;Castilla y León;house;terraced house;100000.0;70.0;2;0.0;40.6456101;-5.5743884
116717;Castilla y León;house;terraced house;111000.0;72.0;2;0.0;40.4269673;-5.1560321
122013;Castilla y León;house;terraced house;50000.0;75.0;2;0.0;40.3702301;-5.4859401
131433;Castilla y León;house;terraced house;50000.0;80.0;2;0.0;41.6615879;-4.7427497
131951;Castilla y León;house;terraced house;140000.0;80.0;2;2.0;42.72096;-2.59417
133383;Castilla y León;house;terraced house;73577.0;80.0;2;0.0;40.8062765;-5.6967935
137227;Castilla y León;house;terraced house;75671.0;84.0;2;0.0;40.3239538;-4.4590536
142385;Castilla y León;house;terraced house;112400.0;88.0;2;2.0;41.613298;-4.6890072
142551;Castilla y León;house;terraced house;222375.0;88.0;2;0.0;42.6830414;-2.9109856
143926;Castilla y León;house;terraced house;96000.0;90.0;2;0.0;42.4969465;-5.4182096
145409;Castilla y León;house;terraced house;80000.0;90.0;2;0.0;43.0386275;-3.4922113
147647;Castilla y León;house;terraced house;109434.0;92.0;2;0.0;40.9652404;-4.1326652
148203;Castilla y León;house;terraced house;57800.0;93.0;2;0.0;41.2497457;-4.5777424
148823;Castilla y León;house;terraced house;48000.0;94.0;2;0.0;40.832839;-6.7943455
150368;Castilla y León;house;terraced house;50000.0;96.0;2;0.0;41.4974718;-5.0035912
150486;Castilla y León;house;terraced house;86471.0;96.0;2;0.0;41.026704;-4.183455
151839;Castilla y León;house;terraced house;74087.0;99.0;2;2.0;41.0272485;-4.1814319
152855;Castilla y León;house;terraced house;110000.0;100.0;2;0.0;42.4326813;-3.6813435
153059;Castilla y León;house;terraced house;130000.0;100.0;2;2.0;41.6715547;-3.6896483
155758;Castilla y León;house;terraced house;117500.0;106.0;2;0.0;41.5070267;-4.908039
156179;Castilla y León;house;terraced house;48000.0;108.0;2;0.0;42.13017;-3.97402
156892;Castilla y León;house;terraced house;140000.0;110.0;2;0.0;42.3828686;-3.731924
158268;Castilla y León;house;terraced house;84500.0;115.0;2;2.0;41.4531821;-4.6696519
158960;Castilla y León;house;terraced house;350000.0;118.0;2;0.0;40.9553386;-4.1254747
160382;Castilla y León;house;terraced house;101549.0;123.0;2;0.0;41.3836351;-4.1884556
160530;Castilla y León;house;terraced house;62260.0;124.0;2;0.0;42.583234;-3.778729
160823;Castilla y León;house;terraced house;69000.0;126.0;2;0.0;41.5733572;-3.6993317
161036;Castilla y León;house;terraced house;115000.0;128.0;2;0.0;42.7941916;-4.8458075
161644;Castilla y León;house;terraced house;180000.0;131.0;2;0.0;41.5084212;-5.756169
162111;Castilla y León;house;terraced house;132300.0;136.0;2;0.0;40.9548435;-5.697226
162297;Castilla y León;house;terraced house;100000.0;138.0;2;0.0;40.3718075;-5.0567112
162571;Castilla y León;house;terraced house;33900.0;140.0;2;0.0;42.4738578;-5.3546681
162734;Castilla y León;house;terraced house;31200.0;141.0;2;3.0;40.74933;-5.62955
162766;Castilla y León;house;terraced house;96132.0;141.0;2;0.0;40.3573326;-5.1341227
162774;Castilla y León;house;terraced house;84000.0;141.0;2;0.0;41.4376091;-5.7361211
162818;Castilla y León;house;terraced house;175000.0;142.0;2;0.0;40.9476034;-5.6702294
163509;Castilla y León;house;terraced house;141000.0;150.0;2;2.0;42.3253533;-3.6624787
163573;Castilla y León;house;terraced house;176171.0;150.0;2;4.0;41.5723466;-4.8411107
164159;Castilla y León;house;terraced house;142370.0;163.0;2;0.0;41.6101982;-4.7977132
164503;Castilla y León;house;terraced house;149500.0;174.0;2;0.0;40.9531774;-4.0757338
164713;Castilla y León;house;terraced house;92000.0;180.0;2;0.0;41.4140434;-4.7886031
164891;Castilla y León;house;terraced house;187300.0;189.0;2;0.0;41.7418684;-4.7612614
165248;Castilla y León;house;terraced house;190000.0;207.0;2;0.0;42.7856685;-4.3503383
165291;Castilla y León;house;terraced house;100000.0;210.0;2;0.0;42.6036487;-5.5743899
165997;Castilla y León;house;terraced house;160000.0;366.0;2;0.0;42.3480314;-3.7406835
166264;Castilla y León;house;terraced house;57800.0;46.0;3;0.0;42.3537298;-3.6676948
167056;Castilla y León;house;terraced house;150000.0;55.0;3;0.0;42.7390467;-2.773788
169053;Castilla y León;house;terraced house;105000.0;60.0;3;0.0;41.6545354;-4.7443517
172713;Castilla y León;house;terraced house;165000.0;67.0;3;0.0;42.3492596;-3.7389983
173216;Castilla y León;house;terraced house;40000.0;68.0;3;0.0;42.7148122;-3.7516585
174598;Castilla y León;house;terraced house;60000.0;70.0;3;0.0;42.3542337;-3.6667783
175192;Castilla y León;house;terraced house;110000.0;70.0;3;0.0;40.5955533;-6.5325003
175310;Castilla y León;house;terraced house;39500.0;70.0;3;0.0;41.739417;-4.6407725
181088;Castilla y León;house;terraced house;36000.0;75.0;3;0.0;41.9192943;-4.4956351
181846;Castilla y León;house;terraced house;69000.0;75.0;3;0.0;41.6473071;-4.7000266
184098;Castilla y León;house;terraced house;96000.0;75.0;3;0.0;40.9756983;-5.7615141
188597;Castilla y León;house;terraced house;78000.0;80.0;3;0.0;40.9041986;-5.2008673
191520;Castilla y León;house;terraced house;60000.0;80.0;3;0.0;41.6677248;-4.7081656
194008;Castilla y León;house;terraced house;53000.0;81.0;3;3.0;41.9955;-5.68117
200417;Castilla y León;house;terraced house;42000.0;85.0;3;0.0;41.29447;-4.1084309
200833;Castilla y León;house;terraced house;70000.0;85.0;3;0.0;41.9192122;-4.4932722
204372;Castilla y León;house;terraced house;99900.0;86.0;3;2.0;40.9639873;-5.7417805
206729;Castilla y León;house;terraced house;78000.0;88.0;3;2.0;41.7002956;-4.8403814
209450;Castilla y León;house;terraced house;58000.0;90.0;3;0.0;40.76382;-4.3286
215522;Castilla y León;house;terraced house;162000.0;90.0;3;0.0;41.6987399;-4.830463
219332;Castilla y León;house;terraced house;105000.0;93.0;3;0.0;40.5330549;-5.4476259
222596;Castilla y León;house;terraced house;233000.0;95.0;3;0.0;40.876253;-4.024112
224966;Castilla y León;house;terraced house;170000.0;95.0;3;0.0;41.6695234;-4.7088935
225747;Castilla y León;house;terraced house;118500.0;96.0;3;0.0;41.0155926;-4.1568254
