index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32676;Castilla y León;land;Vacio;86000.0;0.0;0;0.0;40.4099213;-4.4171353
32677;Castilla y León;land;Vacio;126000.0;0.0;0;0.0;40.4082195;-4.4199959
32678;Castilla y León;land;Vacio;36000.0;0.0;0;0.0;40.3243656;-4.4577894
40523;Castilla y León;land;Vacio;1500000.0;0.0;0;0.0;40.9276073;-4.0721485
40529;Castilla y León;land;Vacio;55000.0;0.0;0;0.0;42.6140918;-6.6385036
40530;Castilla y León;land;Vacio;49000.0;0.0;0;0.0;42.6140918;-6.6385036
40532;Castilla y León;land;Vacio;49000.0;0.0;0;0.0;42.6140918;-6.6385036
40533;Castilla y León;land;Vacio;49000.0;0.0;0;0.0;42.6140918;-6.6385036
40534;Castilla y León;land;Vacio;49000.0;0.0;0;0.0;42.6140918;-6.6385036
44144;Castilla y León;land;Vacio;550000.0;0.0;0;0.0;41.6521349;-4.6271521
44183;Castilla y León;land;Vacio;2550000.0;0.0;0;0.0;40.8997587;-5.2003806
44561;Castilla y León;land;Vacio;89900.0;0.0;0;0.0;42.5857316;-5.5832542
44611;Castilla y León;land;Vacio;200000.0;0.0;0;0.0;42.562332;-6.603119
44758;Castilla y León;land;Vacio;8000.0;0.0;0;0.0;42.0753468;-6.0129864
44813;Castilla y León;land;Vacio;1800000.0;0.0;0;0.0;42.6967145;-2.916252
44849;Castilla y León;land;Vacio;60000.0;0.0;0;0.0;40.2830743;-4.7668724
44850;Castilla y León;land;Vacio;60000.0;0.0;0;0.0;40.2937119;-4.757897
44862;Castilla y León;land;Vacio;98000.0;0.0;0;0.0;40.7156836;-4.1898817
44977;Castilla y León;land;Vacio;96000.0;0.0;0;0.0;40.9346869;-5.6456867
45033;Castilla y León;land;Vacio;300000.0;0.0;0;0.0;41.2909845;-4.6886342
45047;Castilla y León;land;Vacio;3236900.0;0.0;0;0.0;41.6535581;-4.7275585
45483;Castilla y León;land;Vacio;139900.0;0.0;0;0.0;42.6384948;-5.5438515
45503;Castilla y León;land;Vacio;1550000.0;0.0;0;0.0;40.6453517;-4.7047632
45524;Castilla y León;land;Vacio;43000.0;0.0;0;0.0;41.0556135;-3.8188095
45540;Castilla y León;land;Vacio;1100000.0;0.0;0;0.0;42.9350056;-3.5710246
45570;Castilla y León;land;Vacio;180000.0;0.0;0;0.0;40.9623824;-5.6714352
45571;Castilla y León;land;Vacio;75000.0;0.0;0;0.0;40.9314352;-5.6326298
45572;Castilla y León;land;Vacio;331380.0;0.0;0;0.0;40.9816301;-5.6461204
45573;Castilla y León;land;Vacio;66100.0;0.0;0;0.0;41.0103997;-5.6460435
45645;Castilla y León;land;Vacio;125000.0;0.0;0;0.0;40.6566229;-4.7053182
45930;Castilla y León;land;Vacio;160000.0;0.0;0;0.0;40.5903813;-4.4946154
45931;Castilla y León;land;Vacio;335000.0;0.0;0;0.0;40.6585233;-4.6943822
45932;Castilla y León;land;Vacio;100000.0;0.0;0;0.0;40.661279;-4.657354
45933;Castilla y León;land;Vacio;10000.0;0.0;0;0.0;40.7393141;-4.7432775
