index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
13;Castilla y León;premise;Vacio;33000.0;7.0;0;2.0;40.9719768;-5.673285
15;Castilla y León;premise;Vacio;10000.0;10.0;0;2.0;42.3508008;-3.6621853
17;Castilla y León;premise;Vacio;8500.0;10.0;0;2.0;40.9693279;-5.6713067
35;Castilla y León;premise;Vacio;10600.0;11.0;0;3.0;41.6329202;-4.7356528
52;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6369202;-4.7377528
53;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6335202;-4.7392528
54;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6329202;-4.7366528
55;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6341202;-4.7392528
56;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6337202;-4.7392528
57;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6339202;-4.7392528
58;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6329202;-4.7375528
59;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6329202;-4.7388528
60;Castilla y León;premise;Vacio;11600.0;12.0;0;3.0;41.6350202;-4.7392528
83;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6369202;-4.7380528
84;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6329202;-4.7381528
85;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6354202;-4.7392528
86;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6329202;-4.7361528
87;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6369202;-4.7374528
88;Castilla y León;premise;Vacio;13500.0;14.0;0;3.0;41.6369202;-4.7371528
97;Castilla y León;premise;Vacio;20000.0;14.0;0;2.0;41.7617736;-2.4663771
119;Castilla y León;premise;Vacio;15000.0;15.0;0;2.0;41.6664494;-4.7381293
138;Castilla y León;premise;Vacio;15500.0;16.0;0;3.0;41.6334202;-4.7392528
140;Castilla y León;premise;Vacio;15500.0;16.0;0;3.0;41.6369202;-4.7361528
159;Castilla y León;premise;Vacio;16400.0;17.0;0;3.0;41.6329202;-4.7358528
160;Castilla y León;premise;Vacio;8700.0;17.0;0;3.0;41.6369202;-4.7386528
174;Castilla y León;premise;Vacio;45000.0;17.0;0;2.0;41.5009665;-5.7445757
184;Castilla y León;premise;Vacio;13397.0;18.0;0;2.0;42.9307374;-3.4865516
191;Castilla y León;premise;Vacio;7100.0;18.0;0;3.0;42.765976;-6.6253107
196;Castilla y León;premise;Vacio;23000.0;18.0;0;2.0;41.6533096;-4.7253328
215;Castilla y León;premise;Vacio;18400.0;19.0;0;3.0;41.6367202;-4.7392528
216;Castilla y León;premise;Vacio;9700.0;19.0;0;3.0;41.6367202;-4.7352528
219;Castilla y León;premise;Vacio;18600.0;19.0;0;3.0;41.6369202;-4.7388528
244;Castilla y León;premise;Vacio;19300.0;20.0;0;3.0;41.6335202;-4.7392528
320;Castilla y León;premise;Vacio;11758.0;21.0;0;2.0;42.6811913;-2.9696009
344;Castilla y León;premise;Vacio;20000.0;22.0;0;2.0;41.6484006;-4.713799
348;Castilla y León;premise;Vacio;38000.0;22.0;0;2.0;41.5043136;-5.7436253
377;Castilla y León;premise;Vacio;50000.0;23.0;0;2.0;42.3563074;-3.6674837
407;Castilla y León;premise;Vacio;18000.0;24.0;0;2.0;42.9427023;-3.5700407
410;Castilla y León;premise;Vacio;23200.0;24.0;0;3.0;41.6342202;-4.7392528
412;Castilla y León;premise;Vacio;25300.0;24.0;0;3.0;41.6358202;-4.7352528
454;Castilla y León;premise;Vacio;29000.0;24.0;0;2.0;41.6434477;-4.7218289
488;Castilla y León;premise;Vacio;24200.0;25.0;0;3.0;41.6369202;-4.7365528
489;Castilla y León;premise;Vacio;24200.0;25.0;0;3.0;41.6369202;-4.7384528
490;Castilla y León;premise;Vacio;24200.0;25.0;0;3.0;41.6329202;-4.7359528
542;Castilla y León;premise;Vacio;60000.0;25.0;0;2.0;40.9691005;-5.6574598
564;Castilla y León;premise;Vacio;30051.0;25.0;0;2.0;41.5094792;-5.7463465
608;Castilla y León;premise;Vacio;25100.0;26.0;0;3.0;41.6369202;-4.7369528
610;Castilla y León;premise;Vacio;25100.0;26.0;0;3.0;41.6345202;-4.7392528
670;Castilla y León;premise;Vacio;24000.0;27.0;0;2.0;40.5983415;-6.5259987
715;Castilla y León;premise;Vacio;7100.0;28.0;0;3.0;40.971809;-5.6543621
724;Castilla y León;premise;Vacio;34700.0;28.0;0;2.0;42.33586;-3.71631
725;Castilla y León;premise;Vacio;26600.0;28.0;0;2.0;42.3309183;-3.7011137
753;Castilla y León;premise;Vacio;51000.0;28.0;0;2.0;42.0066261;-4.5309927
844;Castilla y León;premise;Vacio;19500.0;30.0;0;2.0;42.3398326;-3.7376024
884;Castilla y León;premise;Vacio;29000.0;30.0;0;3.0;41.6369202;-4.7357528
887;Castilla y León;premise;Vacio;29000.0;30.0;0;3.0;41.6329202;-4.7382528
888;Castilla y León;premise;Vacio;29000.0;30.0;0;3.0;41.6329202;-4.7357528
931;Castilla y León;premise;Vacio;18000.0;30.0;0;2.0;40.60373;-6.5265765
940;Castilla y León;premise;Vacio;25000.0;30.0;0;2.0;42.3416197;-3.7331679
1012;Castilla y León;premise;Vacio;65000.0;30.0;0;2.0;40.9724997;-5.6680627
1042;Castilla y León;premise;Vacio;42000.0;30.0;0;2.0;40.975035;-5.6661197
1081;Castilla y León;premise;Vacio;30952.0;30.0;0;2.0;42.03505;-4.53466
1140;Castilla y León;premise;Vacio;45700.0;31.0;0;2.0;42.3317648;-3.7010217
1165;Castilla y León;premise;Vacio;25000.0;31.0;0;2.0;41.4449239;-5.728482
1182;Castilla y León;premise;Vacio;34700.0;32.0;0;2.0;42.3365471;-3.7207021
1210;Castilla y León;premise;Vacio;60000.0;32.0;0;0.0;42.3489755;-3.6668085
1239;Castilla y León;premise;Vacio;65000.0;32.0;0;1.0;40.9675859;-5.6645917
1316;Castilla y León;premise;Vacio;30900.0;33.0;0;3.0;41.6346202;-4.7352528
1317;Castilla y León;premise;Vacio;30900.0;33.0;0;3.0;41.6363202;-4.7392528
1470;Castilla y León;premise;Vacio;116000.0;34.0;0;2.0;41.5038758;-5.743257
1554;Castilla y León;premise;Vacio;25600.0;35.0;0;2.0;41.6477569;-4.7174074
1572;Castilla y León;premise;Vacio;33900.0;35.0;0;3.0;41.6329202;-4.7354528
1624;Castilla y León;premise;Vacio;83000.0;35.0;0;2.0;41.6447196;-4.7182677
1685;Castilla y León;premise;Vacio;25000.0;35.0;0;2.0;40.7107513;-4.1727274
1760;Castilla y León;premise;Vacio;58000.0;35.0;0;2.0;42.0052349;-4.5328886
1801;Castilla y León;premise;Vacio;43000.0;35.0;0;2.0;41.6525186;-4.7131571
1824;Castilla y León;premise;Vacio;72541.0;35.0;0;2.0;41.6641953;-4.7157145
1873;Castilla y León;premise;Vacio;34800.0;36.0;0;3.0;41.6369202;-4.7364528
1950;Castilla y León;premise;Vacio;30000.0;36.0;0;0.0;42.3402255;-3.7016886
1959;Castilla y León;premise;Vacio;35000.0;36.0;0;2.0;41.6449477;-4.7237289
2025;Castilla y León;premise;Vacio;75000.0;37.0;0;2.0;40.6573953;-4.6930418
2067;Castilla y León;premise;Vacio;95000.0;37.0;0;2.0;42.0081261;-4.5342927
2139;Castilla y León;premise;Vacio;120000.0;38.0;0;2.0;42.3646927;-3.6561316
2210;Castilla y León;premise;Vacio;60000.0;38.0;0;2.0;41.647258;-4.7068945
2259;Castilla y León;premise;Vacio;35000.0;39.0;0;3.0;41.8810627;-5.0402948
2450;Castilla y León;premise;Vacio;54000.0;40.0;0;2.0;40.9476244;-4.1209836
2457;Castilla y León;premise;Vacio;25000.0;40.0;0;2.0;41.6302891;-4.7240373
2480;Castilla y León;premise;Vacio;49000.0;40.0;0;2.0;41.6611254;-4.7295303
2486;Castilla y León;premise;Vacio;39000.0;40.0;0;2.0;42.3434559;-3.7120207
