index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
30738;Castilla-La Mancha;countryHouse;Vacio;420000.0;1200.0;0;0.0;40.6875773;-2.8869253
163439;Castilla-La Mancha;countryHouse;Vacio;75000.0;150.0;2;0.0;38.7412377;-3.3991245
176111;Castilla-La Mancha;countryHouse;Vacio;60000.0;70.0;3;0.0;40.1526287;-3.9121509
265486;Castilla-La Mancha;countryHouse;Vacio;103000.0;120.0;3;0.0;40.759317;-2.86792
276664;Castilla-La Mancha;countryHouse;Vacio;59000.0;137.0;3;0.0;38.70174;-0.98955
283839;Castilla-La Mancha;countryHouse;Vacio;75000.0;150.0;3;0.0;40.73537;-2.30635
297923;Castilla-La Mancha;countryHouse;Vacio;75000.0;220.0;3;2.0;39.1517705;-3.0237833
303270;Castilla-La Mancha;countryHouse;Vacio;90000.0;300.0;3;0.0;39.7198213;-2.573143
326247;Castilla-La Mancha;countryHouse;Vacio;95000.0;124.0;4;0.0;40.567382;-3.0609067
359919;Castilla-La Mancha;countryHouse;Vacio;150000.0;250.0;4;0.0;39.0126948;-3.7494584
371928;Castilla-La Mancha;countryHouse;Vacio;98500.0;500.0;4;0.0;40.9219553;-3.0980599
381613;Castilla-La Mancha;countryHouse;Vacio;150000.0;225.0;5;0.0;38.9762256;-3.9555073
387677;Castilla-La Mancha;countryHouse;Vacio;240000.0;315.0;5;0.0;40.3767223;-2.8550352
403260;Castilla-La Mancha;countryHouse;Vacio;150300.0;1096.0;6;0.0;39.7815422;-4.6356622
404081;Castilla-La Mancha;countryHouse;Vacio;146000.0;296.0;7;0.0;40.558284;-2.6467989
