index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3411;Castilla-La Mancha;flat;duplex;65000.0;45.0;0;Vacio;38.9953289;-3.9288192
67179;Castilla-La Mancha;flat;duplex;50000.0;49.0;1;0.0;38.7602602;-3.3910803
68832;Castilla-La Mancha;flat;duplex;40500.0;50.0;1;2.0;39.9768014;-4.2856532
69701;Castilla-La Mancha;flat;duplex;23400.0;51.0;1;3.0;40.1071879;-4.3235487
70720;Castilla-La Mancha;flat;duplex;56900.0;53.0;1;3.0;40.5977819;-3.244972
72964;Castilla-La Mancha;flat;duplex;50700.0;56.0;1;4.0;40.0165462;-3.7933077
73952;Castilla-La Mancha;flat;duplex;40000.0;59.0;1;3.0;40.2416742;-4.1900772
74181;Castilla-La Mancha;flat;duplex;39000.0;59.0;1;0.0;40.1831204;-4.0386812
74685;Castilla-La Mancha;flat;duplex;34000.0;60.0;1;3.0;40.14558;-3.91973
75081;Castilla-La Mancha;flat;duplex;69000.0;60.0;1;3.0;40.7616896;-2.8694178
75375;Castilla-La Mancha;flat;duplex;39000.0;60.0;1;3.0;40.5708129;-3.163285
75837;Castilla-La Mancha;flat;duplex;48185.0;61.0;1;3.0;40.2366722;-4.1966018
76256;Castilla-La Mancha;flat;duplex;69500.0;62.0;1;4.0;39.9372754;-4.0195265
76482;Castilla-La Mancha;flat;duplex;147890.0;63.0;1;3.0;40.563538;-3.2607222
77187;Castilla-La Mancha;flat;duplex;37720.0;65.0;1;4.0;40.2401703;-4.1895856
77450;Castilla-La Mancha;flat;duplex;64000.0;65.0;1;4.0;40.5724253;-3.2634644
78537;Castilla-La Mancha;flat;duplex;148000.0;69.0;1;3.0;39.8518224;-4.0252742
78952;Castilla-La Mancha;flat;duplex;65000.0;70.0;1;3.0;40.571172;-3.2600615
79361;Castilla-La Mancha;flat;duplex;97000.0;71.0;1;3.0;38.9932688;-3.9255546
79592;Castilla-La Mancha;flat;duplex;38880.0;72.0;1;3.0;40.143331;-3.9202683
79664;Castilla-La Mancha;flat;duplex;130900.0;73.0;1;4.0;39.8736796;-4.021924
