index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
17723;Castilla-La Mancha;house;terraced house;76090.0;154.0;0;0.0;38.9927775;-1.8784629
62248;Castilla-La Mancha;house;terraced house;39000.0;39.0;1;3.0;40.3065;-2.8442
82229;Castilla-La Mancha;house;terraced house;43132.0;112.0;1;2.0;39.8425699;-2.9899822
82614;Castilla-La Mancha;house;terraced house;27000.0;144.0;1;2.0;39.7994582;-3.946365
87751;Castilla-La Mancha;house;terraced house;90000.0;54.0;2;0.0;39.75887;-3.165458
102217;Castilla-La Mancha;house;terraced house;60000.0;65.0;2;0.0;40.7932091;-2.95762
108806;Castilla-La Mancha;house;terraced house;55000.0;69.0;2;0.0;38.9138443;-3.8410207
112721;Castilla-La Mancha;house;terraced house;55000.0;70.0;2;0.0;39.9683839;-4.8320991
115529;Castilla-La Mancha;house;terraced house;54000.0;71.0;2;0.0;40.0804211;-3.8577936
119192;Castilla-La Mancha;house;terraced house;100000.0;74.0;2;0.0;38.9850822;-3.9350077
128658;Castilla-La Mancha;house;terraced house;47000.0;80.0;2;3.0;39.7878;-3.47352
131150;Castilla-La Mancha;house;terraced house;103000.0;80.0;2;0.0;40.0809119;-2.1319946
131834;Castilla-La Mancha;house;terraced house;25400.0;80.0;2;0.0;38.902675;-1.5256936
134112;Castilla-La Mancha;house;terraced house;48000.0;81.0;2;0.0;40.46035;-3.16056
134121;Castilla-La Mancha;house;terraced house;48000.0;81.0;2;2.0;40.46335;-3.16036
135296;Castilla-La Mancha;house;terraced house;107700.0;82.0;2;0.0;40.4865783;-3.1821848
135612;Castilla-La Mancha;house;terraced house;64000.0;83.0;2;3.0;39.9536;-4.40069
137661;Castilla-La Mancha;house;terraced house;27000.0;85.0;2;3.0;40.9482993;-3.0864462
143955;Castilla-La Mancha;house;terraced house;45000.0;90.0;2;0.0;40.0154181;-3.1316648
144637;Castilla-La Mancha;house;terraced house;55000.0;90.0;2;0.0;39.9691839;-4.8297991
147162;Castilla-La Mancha;house;terraced house;41000.0;91.0;2;0.0;39.901041;-5.2796339
147419;Castilla-La Mancha;house;terraced house;29400.0;92.0;2;0.0;38.7611697;-3.3776753
149348;Castilla-La Mancha;house;terraced house;148000.0;95.0;2;0.0;40.1340417;-3.8468509
149678;Castilla-La Mancha;house;terraced house;70000.0;95.0;2;0.0;40.0567584;-2.1375472
