index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
495;Castilla-La Mancha;office;Vacio;34000.0;25.0;0;0.0;38.5124246;-1.7037242
1118;Castilla-La Mancha;office;Vacio;16000.0;31.0;0;4.0;39.9398711;-4.0201169
1715;Castilla-La Mancha;office;Vacio;24000.0;35.0;0;4.0;39.9609213;-4.8298199
1839;Castilla-La Mancha;office;Vacio;18500.0;36.0;0;4.0;39.9398711;-4.0201169
1840;Castilla-La Mancha;office;Vacio;18500.0;36.0;0;3.0;39.9398711;-4.0201169
1856;Castilla-La Mancha;office;Vacio;54655.0;36.0;0;3.0;40.631157;-3.1943251
2222;Castilla-La Mancha;office;Vacio;20100.0;39.0;0;4.0;39.9398711;-4.0201169
2223;Castilla-La Mancha;office;Vacio;20100.0;39.0;0;3.0;39.9398711;-4.0201169
2262;Castilla-La Mancha;office;Vacio;53000.0;39.0;0;3.0;39.953845;-3.505434
2423;Castilla-La Mancha;office;Vacio;53500.0;40.0;0;3.0;39.954245;-3.507234
2978;Castilla-La Mancha;office;Vacio;53500.0;42.0;0;3.0;39.957745;-3.503234
3208;Castilla-La Mancha;office;Vacio;39426.0;44.0;0;0.0;39.952099;-4.77222
3326;Castilla-La Mancha;office;Vacio;42315.0;45.0;0;0.0;39.952099;-4.77222
3403;Castilla-La Mancha;office;Vacio;37000.0;45.0;0;3.0;39.9598206;-3.9336624
3464;Castilla-La Mancha;office;Vacio;43300.0;45.0;0;5.0;39.8668265;-4.0208871
3844;Castilla-La Mancha;office;Vacio;51700.0;47.0;0;0.0;40.6264098;-3.1978237
3845;Castilla-La Mancha;office;Vacio;31000.0;47.0;0;0.0;40.6274098;-3.1945237
3879;Castilla-La Mancha;office;Vacio;49366.0;48.0;0;0.0;39.952099;-4.77222
3926;Castilla-La Mancha;office;Vacio;50000.0;48.0;0;2.0;38.997238;-1.8734429
3927;Castilla-La Mancha;office;Vacio;59500.0;48.0;0;3.0;40.6264098;-3.1983237
4457;Castilla-La Mancha;office;Vacio;37000.0;50.0;0;0.0;39.9608222;-3.9336623
4527;Castilla-La Mancha;office;Vacio;95000.0;50.0;0;0.0;40.635118;-3.176445
4782;Castilla-La Mancha;office;Vacio;29000.0;52.0;0;2.0;40.6168474;-3.2035223
4802;Castilla-La Mancha;office;Vacio;29000.0;52.0;0;3.0;40.6195474;-3.2035223
4907;Castilla-La Mancha;office;Vacio;29000.0;53.0;0;3.0;40.6141618;-3.2106515
4912;Castilla-La Mancha;office;Vacio;29000.0;53.0;0;3.0;40.6172361;-3.2062719
4937;Castilla-La Mancha;office;Vacio;30000.0;53.0;0;0.0;40.6160474;-3.2035223
5043;Castilla-La Mancha;office;Vacio;85000.0;54.0;0;2.0;38.9858564;-3.9316916
5252;Castilla-La Mancha;office;Vacio;99000.0;55.0;0;4.0;39.8612934;-4.0227779
5260;Castilla-La Mancha;office;Vacio;90000.0;55.0;0;3.0;38.9881717;-3.9262666
6269;Castilla-La Mancha;office;Vacio;20000.0;61.0;0;0.0;39.1610002;-3.0233352
6273;Castilla-La Mancha;office;Vacio;56839.0;61.0;0;0.0;39.952099;-4.77222
6274;Castilla-La Mancha;office;Vacio;54409.0;61.0;0;0.0;39.952099;-4.77222
6466;Castilla-La Mancha;office;Vacio;32400.0;63.0;0;4.0;39.9398711;-4.0201169
6467;Castilla-La Mancha;office;Vacio;57763.0;63.0;0;0.0;39.952099;-4.77222
6526;Castilla-La Mancha;office;Vacio;43500.0;63.0;0;2.0;39.8561256;-4.0238606
6834;Castilla-La Mancha;office;Vacio;90000.0;65.0;0;5.0;38.9960738;-1.8566747
7618;Castilla-La Mancha;office;Vacio;120000.0;70.0;0;2.0;38.9884522;-1.8646627
8205;Castilla-La Mancha;office;Vacio;95000.0;74.0;0;0.0;39.88058;-4.0259299
8273;Castilla-La Mancha;office;Vacio;81499.0;74.0;0;2.0;38.9876416;-4.1181927
8299;Castilla-La Mancha;office;Vacio;60000.0;74.0;0;4.0;39.8574515;-4.0255944
8662;Castilla-La Mancha;office;Vacio;150000.0;76.0;0;3.0;39.8734024;-4.038662
8756;Castilla-La Mancha;office;Vacio;39600.0;77.0;0;3.0;39.9398711;-4.0201169
8882;Castilla-La Mancha;office;Vacio;120000.0;78.0;0;3.0;38.9822568;-3.9320895
9892;Castilla-La Mancha;office;Vacio;210000.0;84.0;0;3.0;40.6305796;-3.1639661
10388;Castilla-La Mancha;office;Vacio;195000.0;87.0;0;2.0;38.9903687;-1.856799
10820;Castilla-La Mancha;office;Vacio;140000.0;90.0;0;4.0;39.8824806;-4.0261066
10869;Castilla-La Mancha;office;Vacio;300000.0;90.0;0;3.0;38.9951937;-1.8521212
11404;Castilla-La Mancha;office;Vacio;65100.0;95.0;0;2.0;39.1248579;-3.899529
11858;Castilla-La Mancha;office;Vacio;130305.0;99.0;0;3.0;40.631157;-3.1943251
11893;Castilla-La Mancha;office;Vacio;115000.0;99.0;0;2.0;38.9941889;-1.8528242
12250;Castilla-La Mancha;office;Vacio;120000.0;100.0;0;2.0;38.6881217;-4.1087687
12537;Castilla-La Mancha;office;Vacio;134810.0;102.0;0;3.0;40.631157;-3.1943251
12911;Castilla-La Mancha;office;Vacio;110000.0;105.0;0;9.0;38.9942264;-1.855096
12916;Castilla-La Mancha;office;Vacio;94800.0;105.0;0;0.0;40.6304098;-3.1979237
13417;Castilla-La Mancha;office;Vacio;120000.0;110.0;0;2.0;40.6250226;-3.1676768
13499;Castilla-La Mancha;office;Vacio;150000.0;110.0;0;4.0;38.9949333;-1.8534582
13571;Castilla-La Mancha;office;Vacio;39000.0;111.0;0;3.0;40.5656253;-3.2567888
13846;Castilla-La Mancha;office;Vacio;322575.0;115.0;0;2.0;40.6191962;-3.1599233
13891;Castilla-La Mancha;office;Vacio;86160.0;115.0;0;2.0;40.1212246;-3.8501088
14056;Castilla-La Mancha;office;Vacio;54600.0;116.0;0;3.0;40.6423255;-3.1442854
14334;Castilla-La Mancha;office;Vacio;90000.0;120.0;0;5.0;40.6217892;-3.2016974
14378;Castilla-La Mancha;office;Vacio;80000.0;120.0;0;2.0;39.8589545;-4.0195538
14433;Castilla-La Mancha;office;Vacio;46000.0;120.0;0;3.0;40.1644967;-4.4055897
14523;Castilla-La Mancha;office;Vacio;132300.0;120.0;0;4.0;38.9839338;-3.9317095
14740;Castilla-La Mancha;office;Vacio;160000.0;122.0;0;2.0;39.9601977;-4.8255283
15897;Castilla-La Mancha;office;Vacio;193333.0;135.0;0;3.0;40.631157;-3.1943251
16057;Castilla-La Mancha;office;Vacio;150000.0;136.0;0;2.0;40.634323;-3.16368
16066;Castilla-La Mancha;office;Vacio;75000.0;136.0;0;2.0;39.0062245;-1.8581018
17137;Castilla-La Mancha;office;Vacio;120000.0;149.0;0;3.0;38.9982721;-1.8486525
17607;Castilla-La Mancha;office;Vacio;217800.0;152.0;0;4.0;38.9880161;-3.9294503
17898;Castilla-La Mancha;office;Vacio;160000.0;156.0;0;3.0;38.9956497;-1.8526826
18213;Castilla-La Mancha;office;Vacio;85000.0;160.0;0;3.0;40.0716637;-2.1393315
18307;Castilla-La Mancha;office;Vacio;125000.0;160.0;0;0.0;40.6198857;-3.204118
18593;Castilla-La Mancha;office;Vacio;199650.0;165.0;0;2.0;39.9890116;-3.768305
18989;Castilla-La Mancha;office;Vacio;337319.0;170.0;0;2.0;38.9917469;-1.8546655
19039;Castilla-La Mancha;office;Vacio;200000.0;170.0;0;2.0;40.6338776;-3.1650079
19433;Castilla-La Mancha;office;Vacio;161054.0;177.0;0;3.0;38.9853335;-1.8517522
19633;Castilla-La Mancha;office;Vacio;200000.0;180.0;0;4.0;39.8615605;-4.0231939
20431;Castilla-La Mancha;office;Vacio;244743.0;194.0;0;2.0;38.5090958;-1.7028004
21623;Castilla-La Mancha;office;Vacio;295000.0;212.0;0;4.0;39.8718444;-4.0305706
21624;Castilla-La Mancha;office;Vacio;520000.0;212.0;0;4.0;39.8735704;-4.0230477
21949;Castilla-La Mancha;office;Vacio;290400.0;220.0;0;2.0;40.6410434;-3.148829
23106;Castilla-La Mancha;office;Vacio;180000.0;248.0;0;4.0;39.8643851;-4.0193591
23337;Castilla-La Mancha;office;Vacio;189000.0;250.0;0;3.0;40.1235234;-3.8486019
23942;Castilla-La Mancha;office;Vacio;280000.0;270.0;0;3.0;38.9829833;-3.9279543
25272;Castilla-La Mancha;office;Vacio;540000.0;320.0;0;2.0;39.8720987;-4.0328763
25946;Castilla-La Mancha;office;Vacio;342000.0;355.0;0;5.0;39.8591633;-4.0232553
26898;Castilla-La Mancha;office;Vacio;425458.0;412.0;0;5.0;38.99713;-1.85378
27048;Castilla-La Mancha;office;Vacio;231990.0;425.0;0;2.0;39.0691635;-3.6116188
28201;Castilla-La Mancha;office;Vacio;959900.0;540.0;0;2.0;38.9887696;-3.9283686
28407;Castilla-La Mancha;office;Vacio;550000.0;565.0;0;0.0;39.8611404;-4.0204809
29412;Castilla-La Mancha;office;Vacio;2750000.0;743.0;0;6.0;39.1456884;-2.7201253
31590;Castilla-La Mancha;office;Vacio;1800000.0;2100.0;0;2.0;38.9787468;-3.9418935
31591;Castilla-La Mancha;office;Vacio;1100000.0;2100.0;0;2.0;38.9861857;-3.9087659
