index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
6901;Cataluña;flat;duplex;140000.0;65.0;0;Vacio;41.3792733;2.1869853
7676;Cataluña;flat;duplex;135000.0;70.0;0;Vacio;41.3798174;2.1290722
7729;Cataluña;flat;duplex;259000.0;70.0;0;Vacio;41.3941253;2.125419
7739;Cataluña;flat;duplex;65000.0;70.0;0;Vacio;42.4081127;1.9530357
9391;Cataluña;flat;duplex;150150.0;80.0;0;Vacio;41.3555132;2.1447032
12483;Cataluña;flat;duplex;450000.0;101.0;0;Vacio;41.4097549;2.1426296
12695;Cataluña;flat;duplex;399000.0;104.0;0;Vacio;41.3835564;2.1729386
30766;Cataluña;flat;duplex;2750000.0;1200.0;0;Vacio;41.6254818;2.6919005
61701;Cataluña;flat;duplex;210000.0;35.0;1;5.0;41.3823319;2.1855061
63264;Cataluña;flat;duplex;245000.0;40.0;1;4.0;41.3796064;2.1907699
64518;Cataluña;flat;duplex;78800.0;44.0;1;4.0;41.5804144;1.6213486
64714;Cataluña;flat;duplex;120000.0;45.0;1;0.0;42.2689994;3.1403401
64799;Cataluña;flat;duplex;125000.0;45.0;1;5.0;41.5558812;2.0069618
65794;Cataluña;flat;duplex;95000.0;45.0;1;Vacio;41.9843085;2.8246825
67030;Cataluña;flat;duplex;81700.0;48.0;1;4.0;41.5800144;1.6176486
68133;Cataluña;flat;duplex;160000.0;50.0;1;4.0;41.5366098;2.4463834
68244;Cataluña;flat;duplex;90000.0;50.0;1;Vacio;40.8158106;0.5238014
68799;Cataluña;flat;duplex;149100.0;50.0;1;4.0;42.375257;2.302871
69022;Cataluña;flat;duplex;129000.0;50.0;1;2.0;41.3762091;2.1714031
69291;Cataluña;flat;duplex;115000.0;50.0;1;4.0;41.3719747;2.1603145
70246;Cataluña;flat;duplex;130000.0;52.0;1;0.0;41.5383491;2.4526983
70247;Cataluña;flat;duplex;79000.0;52.0;1;0.0;41.5431789;2.4245947
72194;Cataluña;flat;duplex;148400.0;55.0;1;3.0;42.3471427;2.4035849
72196;Cataluña;flat;duplex;96500.0;55.0;1;4.0;41.5500874;2.4368256
76257;Cataluña;flat;duplex;51095.0;62.0;1;2.0;41.971314;1.881714
76286;Cataluña;flat;duplex;135000.0;62.0;1;0.0;42.2723574;2.9596879
76948;Cataluña;flat;duplex;280000.0;65.0;1;2.0;41.4040709;2.1556669
77690;Cataluña;flat;duplex;150000.0;65.0;1;Vacio;41.5402294;2.4415373
77781;Cataluña;flat;duplex;130000.0;66.0;1;4.0;41.9221088;3.1677818
77790;Cataluña;flat;duplex;239500.0;66.0;1;3.0;41.4047514;2.2057982
77853;Cataluña;flat;duplex;260000.0;66.0;1;2.0;41.4047514;2.2097982
77859;Cataluña;flat;duplex;239500.0;66.0;1;3.0;41.4010651;2.2094202
78234;Cataluña;flat;duplex;130000.0;68.0;1;4.0;41.9204088;3.1679818
78627;Cataluña;flat;duplex;120200.0;70.0;1;4.0;41.64783;2.3123
78961;Cataluña;flat;duplex;280000.0;70.0;1;2.0;41.4000709;2.1569669
79406;Cataluña;flat;duplex;81100.0;71.0;1;4.0;41.6683615;1.8625007
79408;Cataluña;flat;duplex;89600.0;71.0;1;5.0;41.6200575;2.6739628
79428;Cataluña;flat;duplex;280000.0;71.0;1;2.0;41.4004709;2.1593669
79474;Cataluña;flat;duplex;290556.0;72.0;1;2.0;41.4012709;2.1593669
79576;Cataluña;flat;duplex;105000.0;72.0;1;Vacio;41.8087882;2.0986879
79599;Cataluña;flat;duplex;350000.0;72.0;1;4.0;41.3783103;2.1753552
80034;Cataluña;flat;duplex;72800.0;75.0;1;5.0;41.5540023;2.0129243
80122;Cataluña;flat;duplex;165000.0;75.0;1;2.0;41.37295;2.1704725
80341;Cataluña;flat;duplex;179550.0;77.0;1;4.0;41.6739767;2.7515838
80362;Cataluña;flat;duplex;133000.0;77.0;1;3.0;41.4987738;2.3221314
80417;Cataluña;flat;duplex;150000.0;78.0;1;2.0;41.7053558;2.8604631
80483;Cataluña;flat;duplex;150000.0;78.0;1;4.0;41.5563741;2.0111023
80492;Cataluña;flat;duplex;215000.0;78.0;1;2.0;41.4760138;2.0857672
80611;Cataluña;flat;duplex;65500.0;79.0;1;4.0;41.7525796;1.9062884
80827;Cataluña;flat;duplex;350000.0;80.0;1;3.0;41.3823954;2.1812902
81034;Cataluña;flat;duplex;119400.0;83.0;1;0.0;41.6404283;2.3629793
