index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60917;Cataluña;flat;penthouse;54000.0;28.0;1;5.0;41.449643;2.1774112
61091;Cataluña;flat;penthouse;48000.0;30.0;1;6.0;41.3725467;2.1655154
61165;Cataluña;flat;penthouse;99000.0;31.0;1;7.0;41.3743296;2.1330269
61254;Cataluña;flat;penthouse;95000.0;33.0;1;5.0;41.2384121;1.809635
61335;Cataluña;flat;penthouse;65000.0;33.0;1;8.0;41.4046541;2.1828831
61357;Cataluña;flat;penthouse;298000.0;34.0;1;7.0;41.3810822;2.1905121
61441;Cataluña;flat;penthouse;199000.0;35.0;1;2.0;41.5547226;2.4469765
61604;Cataluña;flat;penthouse;55320.0;35.0;1;4.0;41.9198167;3.1603478
62087;Cataluña;flat;penthouse;135000.0;38.0;1;5.0;41.3731696;2.1405705
62407;Cataluña;flat;penthouse;58000.0;40.0;1;3.0;41.7014408;2.846914
62716;Cataluña;flat;penthouse;55000.0;40.0;1;7.0;40.6248388;0.5862048
62803;Cataluña;flat;penthouse;82000.0;40.0;1;5.0;41.7051109;2.7306797
62895;Cataluña;flat;penthouse;147000.0;40.0;1;7.0;41.376868;2.1232175
63031;Cataluña;flat;penthouse;169000.0;40.0;1;6.0;41.4745354;2.0850686
63142;Cataluña;flat;penthouse;250000.0;40.0;1;7.0;41.3855022;2.1816594
63175;Cataluña;flat;penthouse;164900.0;40.0;1;4.0;41.3998112;2.2081269
63284;Cataluña;flat;penthouse;79000.0;40.0;1;5.0;41.4411993;2.218155
63290;Cataluña;flat;penthouse;110000.0;40.0;1;6.0;41.4187147;2.1754604
63313;Cataluña;flat;penthouse;260000.0;40.0;1;4.0;41.3796357;2.1884158
63775;Cataluña;flat;penthouse;150000.0;42.0;1;7.0;41.4016884;2.1964718
63941;Cataluña;flat;penthouse;133000.0;42.0;1;0.0;42.26724;3.139711
64729;Cataluña;flat;penthouse;155000.0;45.0;1;9.0;41.9737843;2.8193628
64962;Cataluña;flat;penthouse;62400.0;45.0;1;7.0;40.6280829;0.5938168
65195;Cataluña;flat;penthouse;295000.0;45.0;1;6.0;41.3823569;2.1929657
65263;Cataluña;flat;penthouse;42900.0;45.0;1;4.0;41.3170424;1.6618077
65273;Cataluña;flat;penthouse;75000.0;45.0;1;5.0;41.690699;2.796082
65497;Cataluña;flat;penthouse;128000.0;45.0;1;0.0;42.384054;3.151312
65796;Cataluña;flat;penthouse;295000.0;45.0;1;2.0;41.4037928;2.1651142
65948;Cataluña;flat;penthouse;149000.0;46.0;1;7.0;41.4017871;2.2004719
66090;Cataluña;flat;penthouse;125000.0;46.0;1;4.0;41.4727054;2.0903695
66335;Cataluña;flat;penthouse;380000.0;47.0;1;9.0;41.3839467;2.1738989
66747;Cataluña;flat;penthouse;49900.0;48.0;1;5.0;41.8091148;2.1025418
67563;Cataluña;flat;penthouse;150000.0;50.0;1;0.0;41.4485617;2.174179
67570;Cataluña;flat;penthouse;200000.0;50.0;1;11.0;41.1199412;1.2457804
67589;Cataluña;flat;penthouse;165000.0;50.0;1;5.0;41.2620298;1.7802156
67832;Cataluña;flat;penthouse;260000.0;50.0;1;4.0;41.4005987;2.1338685
68670;Cataluña;flat;penthouse;180000.0;50.0;1;5.0;41.3979938;2.1478502
69312;Cataluña;flat;penthouse;110000.0;50.0;1;6.0;41.4131898;2.1626127
70186;Cataluña;flat;penthouse;129500.0;52.0;1;7.0;41.4360366;2.1897115
70440;Cataluña;flat;penthouse;129500.0;52.0;1;7.0;41.4319167;2.1877247
70606;Cataluña;flat;penthouse;220000.0;53.0;1;6.0;41.4016428;2.1961135
70771;Cataluña;flat;penthouse;79000.0;53.0;1;6.0;41.2196285;1.5253987
71299;Cataluña;flat;penthouse;129500.0;54.0;1;10.0;41.440496;2.1901569
71674;Cataluña;flat;penthouse;110000.0;55.0;1;6.0;41.0718994;1.0498786
71825;Cataluña;flat;penthouse;270000.0;55.0;1;7.0;41.3783215;2.1779679
71921;Cataluña;flat;penthouse;437750.0;55.0;1;11.0;41.3905674;2.1616946
72238;Cataluña;flat;penthouse;60000.0;55.0;1;6.0;41.4371493;2.2067333
72295;Cataluña;flat;penthouse;70000.0;55.0;1;0.0;42.2572545;3.1823132
72659;Cataluña;flat;penthouse;86000.0;55.0;1;5.0;41.2269292;1.7273543
72827;Cataluña;flat;penthouse;99000.0;56.0;1;7.0;41.4211976;2.1734204
73207;Cataluña;flat;penthouse;77260.0;57.0;1;6.0;41.1999207;1.6442437
73689;Cataluña;flat;penthouse;275500.0;58.0;1;6.0;41.3888554;2.1777975
74238;Cataluña;flat;penthouse;80000.0;59.0;1;5.0;41.8623347;2.6653504
74377;Cataluña;flat;penthouse;475000.0;60.0;1;6.0;41.2358233;1.8076773
74914;Cataluña;flat;penthouse;99900.0;60.0;1;6.0;41.4932993;2.1487863
75102;Cataluña;flat;penthouse;190000.0;60.0;1;5.0;41.5516661;2.1103212
75186;Cataluña;flat;penthouse;97000.0;60.0;1;5.0;41.3786801;1.9167049
75272;Cataluña;flat;penthouse;106000.0;60.0;1;5.0;41.5449378;2.4287393
75693;Cataluña;flat;penthouse;262500.0;60.0;1;7.0;41.3774049;2.1612569
75842;Cataluña;flat;penthouse;515000.0;61.0;1;6.0;41.4001443;2.1484002
75845;Cataluña;flat;penthouse;443000.0;61.0;1;9.0;41.3839467;2.1738989
75888;Cataluña;flat;penthouse;63000.0;61.0;1;4.0;40.6596947;0.7805687
76287;Cataluña;flat;penthouse;110000.0;62.0;1;0.0;42.261977;3.176187
76583;Cataluña;flat;penthouse;105000.0;63.0;1;0.0;42.3664167;3.1620036
76664;Cataluña;flat;penthouse;65000.0;64.0;1;4.0;41.1432096;1.3986195
76703;Cataluña;flat;penthouse;457000.0;64.0;1;9.0;41.3839467;2.1738989
76933;Cataluña;flat;penthouse;149000.0;65.0;1;0.0;41.4173416;2.1759807
77162;Cataluña;flat;penthouse;130000.0;65.0;1;7.0;41.3797234;2.0526071
77292;Cataluña;flat;penthouse;210000.0;65.0;1;5.0;41.2381156;1.8068097
77395;Cataluña;flat;penthouse;375000.0;65.0;1;10.0;41.4150472;2.1365689
