index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32462;Cataluña;land;Vacio;7000000.0;0.0;0;0.0;41.3948041;2.1087079
32463;Cataluña;land;Vacio;2800000.0;0.0;0;0.0;41.4135991;2.134866
32464;Cataluña;land;Vacio;240000.0;0.0;0;0.0;41.5268832;2.3684283
32465;Cataluña;land;Vacio;280000.0;0.0;0;0.0;41.4185815;2.1523843
32466;Cataluña;land;Vacio;1700000.0;0.0;0;0.0;41.4104086;2.1226307
32467;Cataluña;land;Vacio;780000.0;0.0;0;0.0;41.0107022;0.941632
32468;Cataluña;land;Vacio;525000.0;0.0;0;2.0;41.2448888;1.8289146
32469;Cataluña;land;Vacio;95000.0;0.0;0;2.0;41.2479833;1.8278712
32470;Cataluña;land;Vacio;600000.0;0.0;0;2.0;41.2304096;1.7691909
32471;Cataluña;land;Vacio;150000.0;0.0;0;2.0;41.248319;1.8222871
32472;Cataluña;land;Vacio;650000.0;0.0;0;2.0;41.2307382;1.7727776
32473;Cataluña;land;Vacio;140000.0;0.0;0;2.0;41.2442242;1.808753
32476;Cataluña;land;Vacio;480000.0;0.0;0;0.0;41.3956053;2.0779703
32486;Cataluña;land;Vacio;825000.0;0.0;0;0.0;41.2326512;1.7749697
32487;Cataluña;land;Vacio;800000.0;0.0;0;0.0;41.228106;1.7707973
32488;Cataluña;land;Vacio;690000.0;0.0;0;0.0;41.2291888;1.7733607
32513;Cataluña;land;Vacio;122260.0;0.0;0;0.0;41.3556697;2.0720338
32519;Cataluña;land;Vacio;75000.0;0.0;0;0.0;41.133392;0.991341
32520;Cataluña;land;Vacio;43750.0;0.0;0;0.0;41.2406571;1.2463614
32521;Cataluña;land;Vacio;43725.0;0.0;0;0.0;41.2390571;1.2493614
32524;Cataluña;land;Vacio;595000.0;0.0;0;0.0;41.2498878;1.8005463
32525;Cataluña;land;Vacio;335000.0;0.0;0;0.0;41.2784732;1.9609063
32526;Cataluña;land;Vacio;315000.0;0.0;0;0.0;41.2697749;1.9469574
32527;Cataluña;land;Vacio;275000.0;0.0;0;0.0;41.2776918;1.964505
32544;Cataluña;land;Vacio;200000.0;0.0;0;0.0;41.4253093;2.0963938
32588;Cataluña;land;Vacio;75000.0;0.0;0;0.0;41.6681599;1.8646252
32589;Cataluña;land;Vacio;45000.0;0.0;0;0.0;41.7292096;2.5426245
32649;Cataluña;land;Vacio;5100000.0;0.0;0;0.0;41.3485638;2.1248394
32666;Cataluña;land;Vacio;85000.0;0.0;0;0.0;41.7965494;3.0191507
32690;Cataluña;land;Vacio;450000.0;0.0;0;0.0;41.5533567;2.4754912
32691;Cataluña;land;Vacio;325000.0;0.0;0;0.0;41.5381409;2.4509608
33357;Cataluña;land;Vacio;105000.0;0.0;0;0.0;41.54969;2.31319
33359;Cataluña;land;Vacio;700000.0;0.0;0;0.0;41.4207072;2.17817
33371;Cataluña;land;Vacio;30000.0;0.0;0;0.0;41.30878;1.77407
33372;Cataluña;land;Vacio;68000.0;0.0;0;0.0;41.28543;1.75831
33373;Cataluña;land;Vacio;70000.0;0.0;0;0.0;41.2906442;1.803529
