index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
178;Cataluña;office;Vacio;32672.0;18.0;0;0.0;41.6148559;2.662736
248;Cataluña;office;Vacio;25000.0;20.0;0;3.0;41.9182845;3.1574917
271;Cataluña;office;Vacio;59000.0;20.0;0;2.0;41.4151384;2.1610195
321;Cataluña;office;Vacio;32000.0;21.0;0;7.0;41.6073617;2.2876714
340;Cataluña;office;Vacio;29000.0;22.0;0;2.0;41.4259261;2.17258
462;Cataluña;office;Vacio;67000.0;24.85;0;2.0;41.4352853;2.1760652
559;Cataluña;office;Vacio;60000.0;25.0;0;0.0;41.3914396;2.1575852
614;Cataluña;office;Vacio;55700.0;26.0;0;3.0;41.3813645;2.1649618
648;Cataluña;office;Vacio;68000.0;27.0;0;2.0;41.4352853;2.1760652
693;Cataluña;office;Vacio;70000.0;27.6;0;2.0;41.4352853;2.1760652
695;Cataluña;office;Vacio;69000.0;27.7;0;2.0;41.4352853;2.1760652
761;Cataluña;office;Vacio;70000.0;28.01;0;2.0;41.4352853;2.1760652
803;Cataluña;office;Vacio;75000.0;29.05;0;2.0;41.4352853;2.1760652
1114;Cataluña;office;Vacio;40000.0;30.0;0;2.0;41.6217832;0.6317766
1252;Cataluña;office;Vacio;105000.0;32.0;0;2.0;41.3987848;2.1211044
1399;Cataluña;office;Vacio;90000.0;33.45;0;2.0;41.4352853;2.1760652
1476;Cataluña;office;Vacio;100000.0;34.0;0;3.0;41.3999422;2.15072
1487;Cataluña;office;Vacio;90000.0;34.4;0;2.0;41.4352853;2.1760652
1488;Cataluña;office;Vacio;90000.0;34.75;0;2.0;41.4352853;2.1760652
1528;Cataluña;office;Vacio;32000.0;35.0;0;3.0;41.541146;2.4462284
1580;Cataluña;office;Vacio;69500.0;35.0;0;3.0;41.4191389;2.223207
1846;Cataluña;office;Vacio;39500.0;36.0;0;2.0;41.41539;2.20887
2123;Cataluña;office;Vacio;42000.0;38.0;0;11.0;41.559161;2.0247535
2187;Cataluña;office;Vacio;77000.0;38.0;0;3.0;41.3801629;2.1451312
2212;Cataluña;office;Vacio;95000.0;38.4;0;2.0;41.4352853;2.1760652
2214;Cataluña;office;Vacio;95000.0;38.5;0;2.0;41.4352853;2.1760652
2418;Cataluña;office;Vacio;46713.0;40.0;0;2.0;41.982327;2.8124977
2468;Cataluña;office;Vacio;160000.0;40.0;0;10.0;41.3892676;2.1719026
2527;Cataluña;office;Vacio;138864.0;40.0;0;6.0;41.3970392;2.1993151
2548;Cataluña;office;Vacio;130000.0;40.0;0;3.0;41.3893508;2.1530384
2683;Cataluña;office;Vacio;77000.0;40.0;0;2.0;41.3785223;2.143256
2696;Cataluña;office;Vacio;77000.0;40.0;0;3.0;41.3810145;2.1477909
2722;Cataluña;office;Vacio;65000.0;40.0;0;5.0;41.9780479;2.8027031
2742;Cataluña;office;Vacio;110000.0;40.0;0;2.0;41.1175803;1.2479347
2792;Cataluña;office;Vacio;90000.0;40.0;0;2.0;41.3935415;2.164599
2801;Cataluña;office;Vacio;98000.0;40.15;0;2.0;41.4352853;2.1760652
2802;Cataluña;office;Vacio;100000.0;40.25;0;2.0;41.4319402;2.1940101
2803;Cataluña;office;Vacio;100000.0;40.35;0;2.0;41.4319402;2.1940101
2895;Cataluña;office;Vacio;80000.0;41.0;0;2.0;41.3837516;2.1554856
2905;Cataluña;office;Vacio;50000.0;41.0;0;3.0;41.4076462;2.1718246
2912;Cataluña;office;Vacio;98000.0;41.7;0;2.0;41.4352853;2.1760652
3022;Cataluña;office;Vacio;100000.0;42.0;0;2.0;41.3959142;2.1330123
3096;Cataluña;office;Vacio;100000.0;42.05;0;2.0;41.4352853;2.1760652
3123;Cataluña;office;Vacio;195000.0;43.0;0;2.0;41.3780409;2.1433136
3413;Cataluña;office;Vacio;140000.0;45.0;0;2.0;41.399135;2.1790149
3420;Cataluña;office;Vacio;130000.0;45.0;0;3.0;41.3872792;2.1542444
3496;Cataluña;office;Vacio;130000.0;45.0;0;3.0;41.3872792;2.1542444
3545;Cataluña;office;Vacio;60000.0;45.0;0;0.0;41.9800624;2.8190311
3602;Cataluña;office;Vacio;126000.0;45.0;0;3.0;41.2825293;1.9756112
3651;Cataluña;office;Vacio;105000.0;45.45;0;2.0;41.4319402;2.1940101
3705;Cataluña;office;Vacio;107352.0;46.0;0;2.0;41.4475805;2.176548
3724;Cataluña;office;Vacio;95000.0;46.0;0;2.0;41.3987835;2.1519287
3775;Cataluña;office;Vacio;85000.0;47.0;0;4.0;41.3801657;2.1489399
3859;Cataluña;office;Vacio;115000.0;47.45;0;2.0;41.4319402;2.1940101
