index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
161993;Comunidad Foral de Navarra;countryHouse;village house;78000.0;135.0;2;0.0;42.7610241;-1.9484609
164870;Comunidad Foral de Navarra;countryHouse;village house;119500.0;188.0;2;0.0;42.4825402;-1.6517785
188631;Comunidad Foral de Navarra;countryHouse;village house;33000.0;80.0;3;0.0;42.5051588;-1.4976745
209355;Comunidad Foral de Navarra;countryHouse;village house;75000.0;90.0;3;0.0;42.2437238;-1.7704155
209743;Comunidad Foral de Navarra;countryHouse;village house;120000.0;90.0;3;0.0;42.6712398;-1.8164638
221897;Comunidad Foral de Navarra;countryHouse;village house;45000.0;95.0;3;0.0;42.0812581;-1.8078821
221898;Comunidad Foral de Navarra;countryHouse;village house;60000.0;95.0;3;0.0;42.0811681;-1.8080643
280644;Comunidad Foral de Navarra;countryHouse;village house;80000.0;145.0;3;0.0;42.6190986;-1.9508228
302051;Comunidad Foral de Navarra;countryHouse;village house;49900.0;267.0;3;0.0;42.7635074;-2.1323377
305400;Comunidad Foral de Navarra;countryHouse;village house;340000.0;450.0;3;0.0;43.1601985;-1.6700813
329815;Comunidad Foral de Navarra;countryHouse;village house;65000.0;130.0;4;0.0;42.5611946;-1.8478183
338890;Comunidad Foral de Navarra;countryHouse;village house;95000.0;150.0;4;0.0;42.9072625;-2.0667573
344363;Comunidad Foral de Navarra;countryHouse;village house;150000.0;170.0;4;0.0;42.9220933;-1.9433451
344914;Comunidad Foral de Navarra;countryHouse;village house;180000.0;172.0;4;0.0;42.7684575;-1.8079178
347788;Comunidad Foral de Navarra;countryHouse;village house;38000.0;182.0;4;0.0;42.7743721;-1.0927571
348674;Comunidad Foral de Navarra;countryHouse;village house;261000.0;188.0;4;0.0;42.8369902;-1.7289506
350222;Comunidad Foral de Navarra;countryHouse;village house;127100.0;196.0;4;0.0;42.795843;-1.4669018
353984;Comunidad Foral de Navarra;countryHouse;village house;60000.0;210.0;4;0.0;42.3316622;-1.7363617
356182;Comunidad Foral de Navarra;countryHouse;village house;85000.0;223.0;4;0.0;42.4766107;-2.0833974
360319;Comunidad Foral de Navarra;countryHouse;village house;180000.0;250.0;4;0.0;42.7676202;-1.3508892
362053;Comunidad Foral de Navarra;countryHouse;village house;80000.0;261.0;4;0.0;42.7769597;-1.9109636
372540;Comunidad Foral de Navarra;countryHouse;village house;200000.0;625.0;4;0.0;42.8757396;-2.197416
373318;Comunidad Foral de Navarra;countryHouse;village house;100000.0;103.0;5;0.0;42.5653176;-1.6480144
381759;Comunidad Foral de Navarra;countryHouse;village house;115000.0;227.0;5;0.0;42.6766787;-2.0652876
383350;Comunidad Foral de Navarra;countryHouse;village house;128470.0;250.0;5;0.0;42.4808901;-1.6507027
391730;Comunidad Foral de Navarra;countryHouse;village house;230000.0;420.0;5;0.0;42.7588311;-1.2572787
392938;Comunidad Foral de Navarra;countryHouse;village house;110000.0;480.0;5;0.0;42.6082505;-2.0438184
393982;Comunidad Foral de Navarra;countryHouse;village house;200000.0;550.0;5;0.0;42.7339911;-1.5977228
394033;Comunidad Foral de Navarra;countryHouse;village house;250000.0;552.0;5;0.0;42.7356911;-1.5953228
395027;Comunidad Foral de Navarra;countryHouse;village house;680000.0;748.0;5;0.0;42.8693657;-2.2296514
395393;Comunidad Foral de Navarra;countryHouse;village house;72000.0;960.0;5;0.0;42.7750457;-1.9569829
396735;Comunidad Foral de Navarra;countryHouse;village house;85123.0;201.0;6;0.0;42.6206675;-1.9539419
397485;Comunidad Foral de Navarra;countryHouse;village house;180000.0;250.0;6;0.0;42.5915397;-1.3613169
400325;Comunidad Foral de Navarra;countryHouse;village house;150000.0;400.0;6;0.0;43.1824737;-1.4541896
401212;Comunidad Foral de Navarra;countryHouse;village house;234000.0;478.0;6;0.0;43.0235519;-1.9804251
402208;Comunidad Foral de Navarra;countryHouse;village house;82000.0;600.0;6;0.0;42.7430813;-1.9950976
403843;Comunidad Foral de Navarra;countryHouse;village house;50000.0;250.0;7;0.0;42.5682561;-2.0194837
407031;Comunidad Foral de Navarra;countryHouse;village house;165000.0;556.0;8;0.0;42.7128518;-1.3253511
407686;Comunidad Foral de Navarra;countryHouse;village house;70000.0;330.0;9;0.0;41.9629144;-1.6893361
