index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10272;Comunidad Foral de Navarra;flat;penthouse;40000.0;86.0;0;5.0;42.6703909;-1.8153807
16634;Comunidad Foral de Navarra;flat;penthouse;342000.0;142.0;0;7.0;42.8170321;-1.6436348
65368;Comunidad Foral de Navarra;flat;penthouse;90000.0;45.0;1;8.0;42.8187694;-1.6410567
67122;Comunidad Foral de Navarra;flat;penthouse;105000.0;48.0;1;7.0;42.8274109;-1.6644601
68788;Comunidad Foral de Navarra;flat;penthouse;145000.0;50.0;1;7.0;42.8342809;-1.6625078
74722;Comunidad Foral de Navarra;flat;penthouse;130000.0;60.0;1;7.0;42.7998013;-1.6957561
74925;Comunidad Foral de Navarra;flat;penthouse;130500.0;60.0;1;7.0;42.8342809;-1.6625078
78535;Comunidad Foral de Navarra;flat;penthouse;150000.0;69.0;1;8.0;42.8048425;-1.6836048
79585;Comunidad Foral de Navarra;flat;penthouse;250000.0;72.0;1;9.0;42.8087065;-1.662234
79959;Comunidad Foral de Navarra;flat;penthouse;250000.0;75.0;1;9.0;42.8059065;-1.659034
80747;Comunidad Foral de Navarra;flat;penthouse;250000.0;80.0;1;9.0;42.8060065;-1.658234
84367;Comunidad Foral de Navarra;flat;penthouse;100000.0;46.0;2;0.0;42.06483;-1.612827
84368;Comunidad Foral de Navarra;flat;penthouse;110000.0;46.0;2;0.0;42.06388;-1.60572
90708;Comunidad Foral de Navarra;flat;penthouse;150000.0;57.0;2;7.0;42.8195946;-1.6414018
91825;Comunidad Foral de Navarra;flat;penthouse;299900.0;59.0;2;7.0;42.8090479;-1.6423507
94161;Comunidad Foral de Navarra;flat;penthouse;180000.0;60.0;2;6.0;42.7942037;-1.7005729
94492;Comunidad Foral de Navarra;flat;penthouse;132000.0;60.0;2;8.0;42.8129726;-1.6346865
95072;Comunidad Foral de Navarra;flat;penthouse;150000.0;60.0;2;7.0;42.8182946;-1.6442018
95639;Comunidad Foral de Navarra;flat;penthouse;130000.0;60.0;2;7.0;42.8347752;-1.5926624
99094;Comunidad Foral de Navarra;flat;penthouse;121426.0;63.0;2;7.0;42.8075747;-1.5876234
101316;Comunidad Foral de Navarra;flat;penthouse;85000.0;65.0;2;9.0;42.7980915;-1.6431607
107965;Comunidad Foral de Navarra;flat;penthouse;130000.0;68.0;2;4.0;42.6620127;-1.991336
119449;Comunidad Foral de Navarra;flat;penthouse;150000.0;74.0;2;7.0;42.8306401;-1.5913648
120687;Comunidad Foral de Navarra;flat;penthouse;318000.0;75.0;2;10.0;42.8090181;-1.673985
127049;Comunidad Foral de Navarra;flat;penthouse;167000.0;78.0;2;4.0;42.7553795;-1.6294697
127353;Comunidad Foral de Navarra;flat;penthouse;219000.0;78.0;2;6.0;42.8032116;-1.6937269
129593;Comunidad Foral de Navarra;flat;penthouse;180000.0;80.0;2;8.0;42.826623;-1.5935199
132138;Comunidad Foral de Navarra;flat;penthouse;179000.0;80.0;2;4.0;42.8358669;-1.5784843
132222;Comunidad Foral de Navarra;flat;penthouse;168000.0;80.0;2;5.0;42.8405869;-1.6101708
136546;Comunidad Foral de Navarra;flat;penthouse;165000.0;83.0;2;7.0;42.8161407;-1.6450333
138165;Comunidad Foral de Navarra;flat;penthouse;133000.0;85.0;2;7.0;42.8332752;-1.5933624
138817;Comunidad Foral de Navarra;flat;penthouse;229500.0;85.0;2;2.0;42.8135929;-1.5792258
144118;Comunidad Foral de Navarra;flat;penthouse;177000.0;90.0;2;0.0;42.0644771;-1.6147547
144638;Comunidad Foral de Navarra;flat;penthouse;265000.0;90.0;2;5.0;42.801761;-1.6153863
149604;Comunidad Foral de Navarra;flat;penthouse;229500.0;95.0;2;5.0;42.8177061;-1.5770396
149812;Comunidad Foral de Navarra;flat;penthouse;295000.0;95.0;2;9.0;42.8078099;-1.6466733
150991;Comunidad Foral de Navarra;flat;penthouse;169900.0;97.0;2;10.0;42.836452;-1.6339697
152227;Comunidad Foral de Navarra;flat;penthouse;180000.0;100.0;2;8.0;42.834438;-1.6301174
153236;Comunidad Foral de Navarra;flat;penthouse;410000.0;100.0;2;12.0;42.8149834;-1.6553775
153313;Comunidad Foral de Navarra;flat;penthouse;258000.0;100.0;2;6.0;42.820165;-1.5499876
154805;Comunidad Foral de Navarra;flat;penthouse;180000.0;104.0;2;8.0;42.834438;-1.6301174
157070;Comunidad Foral de Navarra;flat;penthouse;180000.0;110.0;2;8.0;42.8339815;-1.6283999
157143;Comunidad Foral de Navarra;flat;penthouse;229000.0;110.0;2;5.0;42.8135929;-1.5782258
160898;Comunidad Foral de Navarra;flat;penthouse;195000.0;126.0;2;5.0;42.8258916;-1.670741
163111;Comunidad Foral de Navarra;flat;penthouse;750000.0;146.0;2;12.0;42.8143509;-1.6564288
163150;Comunidad Foral de Navarra;flat;penthouse;350000.0;147.0;2;5.0;42.8192026;-1.5721121
164792;Comunidad Foral de Navarra;flat;penthouse;410000.0;183.0;2;11.0;42.8096601;-1.6328182
206085;Comunidad Foral de Navarra;flat;penthouse;195500.0;88.0;3;9.0;42.8307025;-1.6460382
213405;Comunidad Foral de Navarra;flat;penthouse;468000.0;90.0;3;8.0;42.8138583;-1.6409115
235446;Comunidad Foral de Navarra;flat;penthouse;165000.0;100.0;3;3.0;42.7508837;-1.6281343
