index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
82777;Comunidad Foral de Navarra;house;independent;45000.0;186.0;1;0.0;42.1151763;-1.7853061
82854;Comunidad Foral de Navarra;house;independent;99000.0;240.0;1;0.0;42.6777773;-1.786847
104343;Comunidad Foral de Navarra;house;independent;325000.0;65.0;2;0.0;42.8267043;-1.5572695
128737;Comunidad Foral de Navarra;house;independent;33000.0;80.0;2;3.0;42.0646761;-1.608424
135937;Comunidad Foral de Navarra;house;independent;148867.0;83.0;2;0.0;42.6689213;-1.7287457
140034;Comunidad Foral de Navarra;house;independent;130000.0;85.0;2;0.0;41.9792719;-1.6766015
152688;Comunidad Foral de Navarra;house;independent;32100.0;100.0;2;2.0;42.3163012;-1.8022917
159785;Comunidad Foral de Navarra;house;independent;40000.0;120.0;2;0.0;42.6542326;-1.303206
160848;Comunidad Foral de Navarra;house;independent;127260.0;126.0;2;0.0;42.6434909;-1.517479
162392;Comunidad Foral de Navarra;house;independent;180000.0;140.0;2;0.0;42.5644451;-1.6469766
163095;Comunidad Foral de Navarra;house;independent;38000.0;146.0;2;0.0;42.6923701;-1.6780923
164570;Comunidad Foral de Navarra;house;independent;130000.0;176.0;2;0.0;42.7378233;-1.9496639
166097;Comunidad Foral de Navarra;house;independent;140000.0;600.0;2;0.0;42.5424035;-1.6698751
166410;Comunidad Foral de Navarra;house;independent;21000.0;50.0;3;0.0;42.4789043;-1.650477
215104;Comunidad Foral de Navarra;house;independent;150000.0;90.0;3;0.0;42.4490885;-1.6210796
222232;Comunidad Foral de Navarra;house;independent;167000.0;95.0;3;0.0;42.8993535;-1.6815312
226709;Comunidad Foral de Navarra;house;independent;98700.0;97.0;3;3.0;42.2782663;-1.7426989
253708;Comunidad Foral de Navarra;house;independent;67200.0;111.0;3;3.0;42.6049431;-2.0467591
261100;Comunidad Foral de Navarra;house;independent;83650.0;118.0;3;2.0;42.4805125;-1.8299283
267573;Comunidad Foral de Navarra;house;independent;265000.0;123.0;3;0.0;42.7862838;-1.8307485
