index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
139;Comunidad Foral de Navarra;premise;Vacio;12000.0;16.0;0;3.0;42.0668781;-1.6060124
204;Comunidad Foral de Navarra;premise;Vacio;51000.0;18.0;0;0.0;42.8198406;-1.6451838
279;Comunidad Foral de Navarra;premise;Vacio;55000.0;20.0;0;2.0;42.8103466;-1.6385676
322;Comunidad Foral de Navarra;premise;Vacio;45000.0;21.0;0;0.0;42.8057255;-1.6812519
334;Comunidad Foral de Navarra;premise;Vacio;250000.0;22.0;0;2.0;42.8146988;-1.6407178
378;Comunidad Foral de Navarra;premise;Vacio;25000.0;23.0;0;2.0;42.8334915;-1.5873556
411;Comunidad Foral de Navarra;premise;Vacio;73900.0;24.0;0;3.0;42.8147341;-1.6452324
460;Comunidad Foral de Navarra;premise;Vacio;34500.0;24.0;0;0.0;42.8286779;-1.6048706
639;Comunidad Foral de Navarra;premise;Vacio;24000.0;26.0;0;2.0;42.811726;-1.6437745
809;Comunidad Foral de Navarra;premise;Vacio;26000.0;30.0;0;2.0;41.9962103;-1.6810618
850;Comunidad Foral de Navarra;premise;Vacio;95000.0;30.0;0;2.0;42.8122445;-1.6352271
866;Comunidad Foral de Navarra;premise;Vacio;30000.0;30.0;0;2.0;42.8238204;-1.6612895
907;Comunidad Foral de Navarra;premise;Vacio;29000.0;30.0;0;2.0;42.0593345;-1.6084694
1084;Comunidad Foral de Navarra;premise;Vacio;90000.0;30.0;0;2.0;42.8153524;-1.6536028
1247;Comunidad Foral de Navarra;premise;Vacio;25000.0;32.0;0;2.0;42.798534;-1.6464569
1732;Comunidad Foral de Navarra;premise;Vacio;50000.0;35.0;0;2.0;42.8252873;-1.6477791
1908;Comunidad Foral de Navarra;premise;Vacio;30000.0;36.0;0;2.0;42.8062185;-1.6453246
2048;Comunidad Foral de Navarra;premise;Vacio;43000.0;37.0;0;2.0;42.8052837;-1.6420223
2150;Comunidad Foral de Navarra;premise;Vacio;45000.0;38.0;0;2.0;42.8272757;-1.6475077
2215;Comunidad Foral de Navarra;premise;Vacio;35000.0;39.0;0;0.0;42.0601888;-1.6098169
2311;Comunidad Foral de Navarra;premise;Vacio;33000.0;40.0;0;2.0;42.8280504;-1.6600329
2458;Comunidad Foral de Navarra;premise;Vacio;39000.0;40.0;0;2.0;42.3359023;-1.8023475
2459;Comunidad Foral de Navarra;premise;Vacio;39000.0;40.0;0;2.0;42.3401826;-1.80234
2711;Comunidad Foral de Navarra;premise;Vacio;39700.0;40.0;0;2.0;42.8078162;-1.6383573
2740;Comunidad Foral de Navarra;premise;Vacio;148000.0;40.0;0;2.0;42.8150155;-1.6429314
