index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
267;Comunidad Valenciana;countryHouse;country house;9500.0;20.0;0;0.0;39.3333106;-0.6098874
273;Comunidad Valenciana;countryHouse;country house;20000.0;20.0;0;0.0;39.9100945;-0.7082318
833;Comunidad Valenciana;countryHouse;country house;12000.0;30.0;0;0.0;39.4182872;-0.7907959
15377;Comunidad Valenciana;countryHouse;country house;169000.0;130.0;0;0.0;38.8234939;0.0895313
60754;Comunidad Valenciana;countryHouse;country house;18500.0;13.0;1;0.0;39.4902426;-0.6807194
60757;Comunidad Valenciana;countryHouse;country house;18500.0;15.0;1;0.0;39.695894;-0.7093417
62756;Comunidad Valenciana;countryHouse;country house;76000.0;40.0;1;0.0;38.9130999;-0.195079
77341;Comunidad Valenciana;countryHouse;country house;77999.0;65.0;1;0.0;38.2770693;-0.6858848
78699;Comunidad Valenciana;countryHouse;country house;161000.0;70.0;1;2.0;38.0513611;-0.6986609
81921;Comunidad Valenciana;countryHouse;country house;1335310.0;100.0;1;0.0;38.5529994;-0.4847562
81922;Comunidad Valenciana;countryHouse;country house;65000.0;100.0;1;0.0;38.5543799;-0.4806598
82907;Comunidad Valenciana;countryHouse;country house;360000.0;300.0;1;0.0;38.6861788;0.1077613
109114;Comunidad Valenciana;countryHouse;country house;94945.0;70.0;2;0.0;38.53494;-0.8127599
129877;Comunidad Valenciana;countryHouse;country house;110000.0;80.0;2;0.0;40.50091;0.4280711
144587;Comunidad Valenciana;countryHouse;country house;106000.0;90.0;2;0.0;38.9335946;-0.1955616
149048;Comunidad Valenciana;countryHouse;country house;85000.0;95.0;2;0.0;40.5115107;0.3303829
154946;Comunidad Valenciana;countryHouse;country house;136900.0;104.0;2;0.0;38.0766339;-0.8521947
159313;Comunidad Valenciana;countryHouse;country house;210000.0;120.0;2;0.0;38.6910808;0.1361379
160743;Comunidad Valenciana;countryHouse;country house;60000.0;125.0;2;0.0;39.9701975;0.0069637
161233;Comunidad Valenciana;countryHouse;country house;180000.0;130.0;2;0.0;38.7107558;0.0484734
163937;Comunidad Valenciana;countryHouse;country house;420000.0;160.0;2;0.0;38.7853313;-0.0852502
164863;Comunidad Valenciana;countryHouse;country house;90000.0;187.0;2;0.0;40.2014247;-0.4198201
221381;Comunidad Valenciana;countryHouse;country house;64000.0;95.0;3;0.0;39.4290896;-0.5052594
249166;Comunidad Valenciana;countryHouse;country house;79950.0;110.0;3;0.0;38.5370818;-0.8190677
249167;Comunidad Valenciana;countryHouse;country house;149995.0;110.0;3;0.0;38.53902;-0.81388
260864;Comunidad Valenciana;countryHouse;country house;124995.0;118.0;3;0.0;38.4379831;-0.838816
273272;Comunidad Valenciana;countryHouse;country house;116000.0;130.0;3;0.0;38.7965061;-0.4193837
277783;Comunidad Valenciana;countryHouse;country house;281000.0;140.0;3;0.0;38.7267076;0.1020472
283471;Comunidad Valenciana;countryHouse;country house;180000.0;150.0;3;0.0;39.3047951;-0.2920448
285512;Comunidad Valenciana;countryHouse;country house;198000.0;157.0;3;0.0;40.5086753;0.3294938
288095;Comunidad Valenciana;countryHouse;country house;289000.0;165.0;3;2.0;38.1825992;-0.868925
288596;Comunidad Valenciana;countryHouse;country house;249000.0;168.0;3;0.0;38.725529;0.0383263
294521;Comunidad Valenciana;countryHouse;country house;400000.0;196.0;3;0.0;38.8022998;0.0665706
298448;Comunidad Valenciana;countryHouse;country house;299995.0;223.0;3;0.0;38.6704552;0.0661493
299192;Comunidad Valenciana;countryHouse;country house;125000.0;230.0;3;0.0;38.7611095;-0.4344966
303153;Comunidad Valenciana;countryHouse;country house;550000.0;296.0;3;0.0;38.7876388;0.1477249
303707;Comunidad Valenciana;countryHouse;country house;449000.0;303.0;3;0.0;38.7836816;0.1493985
304273;Comunidad Valenciana;countryHouse;country house;500000.0;335.0;3;0.0;38.5987155;-0.0498046
312083;Comunidad Valenciana;countryHouse;country house;180000.0;100.0;4;0.0;40.4722443;0.4233028
316062;Comunidad Valenciana;countryHouse;country house;55000.0;106.0;4;0.0;38.8146411;-0.4082728
322583;Comunidad Valenciana;countryHouse;country house;124995.0;120.0;4;0.0;38.5202963;-0.8090555
330500;Comunidad Valenciana;countryHouse;country house;149995.0;133.0;4;0.0;38.54885;-0.8364
332675;Comunidad Valenciana;countryHouse;country house;189000.0;140.0;4;0.0;40.4978905;0.4501414
350141;Comunidad Valenciana;countryHouse;country house;79000.0;196.0;4;0.0;38.529986;-0.1712828
351383;Comunidad Valenciana;countryHouse;country house;377000.0;200.0;4;0.0;40.201265;-0.4205984
351388;Comunidad Valenciana;countryHouse;country house;180000.0;200.0;4;3.0;38.1099941;-0.8452082
351410;Comunidad Valenciana;countryHouse;country house;180000.0;200.0;4;0.0;38.4862703;-0.8035909
364725;Comunidad Valenciana;countryHouse;country house;720000.0;293.0;4;0.0;38.8261984;0.0596125
366915;Comunidad Valenciana;countryHouse;country house;750000.0;320.0;4;0.0;38.57735;-0.2131
367261;Comunidad Valenciana;countryHouse;country house;495000.0;325.0;4;0.0;38.83666;0.1146257
368582;Comunidad Valenciana;countryHouse;country house;360000.0;350.0;4;0.0;39.4944375;-0.330499
369331;Comunidad Valenciana;countryHouse;country house;625000.0;373.0;4;0.0;38.8285839;0.0684261
370011;Comunidad Valenciana;countryHouse;country house;650000.0;400.0;4;0.0;38.8201126;-0.0523023
370356;Comunidad Valenciana;countryHouse;country house;240000.0;400.0;4;0.0;39.5676557;-0.6254315
371415;Comunidad Valenciana;countryHouse;country house;800000.0;461.0;4;0.0;38.689087;0.0819909
371485;Comunidad Valenciana;countryHouse;country house;500000.0;470.0;4;0.0;38.6946449;0.1042528
371594;Comunidad Valenciana;countryHouse;country house;950000.0;480.0;4;0.0;38.5269814;-0.1681249
374765;Comunidad Valenciana;countryHouse;country house;300000.0;140.0;5;0.0;39.50247;-0.35701
376091;Comunidad Valenciana;countryHouse;country house;170000.0;160.0;5;0.0;38.5348818;-0.8190677
379327;Comunidad Valenciana;countryHouse;country house;690000.0;200.0;5;0.0;38.7122558;0.0482734
396580;Comunidad Valenciana;countryHouse;country house;154995.0;200.0;6;0.0;38.5352818;-0.8190677
398524;Comunidad Valenciana;countryHouse;country house;590000.0;300.0;6;0.0;38.7648305;0.1629681
399387;Comunidad Valenciana;countryHouse;country house;750000.0;350.0;6;0.0;39.0699003;-0.5644562
401469;Comunidad Valenciana;countryHouse;country house;1250000.0;500.0;6;0.0;38.7113558;0.0482734
404403;Comunidad Valenciana;countryHouse;country house;250000.0;350.0;7;0.0;38.0726765;-0.9398814
406927;Comunidad Valenciana;countryHouse;country house;700000.0;500.0;8;0.0;38.6875808;0.1367379
407980;Comunidad Valenciana;countryHouse;country house;1460000.0;600.0;9;0.0;38.8348234;0.0658788
408056;Comunidad Valenciana;countryHouse;country house;1700000.0;700.0;9;0.0;38.571908;-0.3198873
408109;Comunidad Valenciana;countryHouse;country house;775000.0;800.0;9;0.0;38.6901808;0.1327379
408228;Comunidad Valenciana;countryHouse;country house;1700000.0;1000.0;9;0.0;38.7133558;0.0482734
