index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
110118;Comunidad Valenciana;countryHouse;masia;94000.0;70.0;2;0.0;38.58853;-0.30904
144509;Comunidad Valenciana;countryHouse;masia;125000.0;90.0;2;0.0;40.0796697;0.0433297
163457;Comunidad Valenciana;countryHouse;masia;110000.0;150.0;2;0.0;40.0983346;0.1472375
231849;Comunidad Valenciana;countryHouse;masia;180000.0;100.0;3;0.0;38.56829;-0.20873
237886;Comunidad Valenciana;countryHouse;masia;155000.0;101.0;3;0.0;38.56999;-0.21273
248514;Comunidad Valenciana;countryHouse;masia;160000.0;109.0;3;0.0;38.56799;-0.21273
250138;Comunidad Valenciana;countryHouse;masia;56000.0;110.0;3;0.0;40.267213;-0.0208356
263069;Comunidad Valenciana;countryHouse;masia;75000.0;120.0;3;0.0;40.1104144;-0.0535091
278111;Comunidad Valenciana;countryHouse;masia;45000.0;140.0;3;0.0;40.1169318;-0.2386593
279025;Comunidad Valenciana;countryHouse;masia;95000.0;140.0;3;0.0;38.96275;-0.58282
280755;Comunidad Valenciana;countryHouse;masia;150000.0;145.0;3;0.0;40.1541555;-0.1637284
291449;Comunidad Valenciana;countryHouse;masia;180000.0;180.0;3;0.0;40.1190399;-0.17476
291619;Comunidad Valenciana;countryHouse;masia;103000.0;180.0;3;0.0;40.172545;-0.0349671
302578;Comunidad Valenciana;countryHouse;masia;245000.0;280.0;3;0.0;40.172545;-0.0349671
303308;Comunidad Valenciana;countryHouse;masia;119000.0;300.0;3;0.0;38.7067812;-0.7394921
324295;Comunidad Valenciana;countryHouse;masia;230000.0;120.0;4;0.0;39.9880608;-0.0863716
337235;Comunidad Valenciana;countryHouse;masia;200000.0;150.0;4;0.0;38.5750563;-0.2093366
346507;Comunidad Valenciana;countryHouse;masia;21000.0;180.0;4;0.0;40.1104144;-0.0535091
348157;Comunidad Valenciana;countryHouse;masia;75000.0;185.0;4;0.0;40.3052791;0.1237883
381140;Comunidad Valenciana;countryHouse;masia;66000.0;220.0;5;0.0;40.172545;-0.0349671
384192;Comunidad Valenciana;countryHouse;masia;35000.0;260.0;5;0.0;40.0534068;-0.1386317
397764;Comunidad Valenciana;countryHouse;masia;100000.0;260.0;6;0.0;40.0362509;-0.1954156
398495;Comunidad Valenciana;countryHouse;masia;350000.0;300.0;6;0.0;39.56551;-0.62087
401592;Comunidad Valenciana;countryHouse;masia;725000.0;500.0;6;0.0;38.5691026;-0.1916
405086;Comunidad Valenciana;countryHouse;masia;672000.0;500.0;7;0.0;38.730526;0.1385291
406317;Comunidad Valenciana;countryHouse;masia;200000.0;180.0;8;0.0;40.0008871;0.0052471
407704;Comunidad Valenciana;countryHouse;masia;300000.0;350.0;9;0.0;40.1104144;-0.0535091
407994;Comunidad Valenciana;countryHouse;masia;2500000.0;600.0;9;0.0;39.1774846;-0.4136225
