index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
2002;Comunidad Valenciana;flat;penthouse;29000.0;37.0;0;7.0;40.0910551;0.1359102
15728;Comunidad Valenciana;flat;penthouse;120000.0;132.0;0;5.0;39.2829534;-0.429694
19484;Comunidad Valenciana;flat;penthouse;450000.0;178.0;0;0.0;39.4721509;-0.3789727
60822;Comunidad Valenciana;flat;penthouse;99000.0;25.0;1;0.0;38.7953915;0.1768448
61002;Comunidad Valenciana;flat;penthouse;55000.0;30.0;1;10.0;38.6451642;0.0469383
61231;Comunidad Valenciana;flat;penthouse;38000.0;32.0;1;7.0;37.9797824;-0.6646408
61480;Comunidad Valenciana;flat;penthouse;110000.0;35.0;1;8.0;38.7934529;0.1792687
61983;Comunidad Valenciana;flat;penthouse;55000.0;37.0;1;5.0;39.2665868;-0.2705868
62975;Comunidad Valenciana;flat;penthouse;80000.0;40.0;1;6.0;39.4952385;-0.3953806
62976;Comunidad Valenciana;flat;penthouse;68900.0;40.0;1;6.0;39.4954385;-0.3973806
63240;Comunidad Valenciana;flat;penthouse;150000.0;40.0;1;10.0;39.4735646;-0.3612307
63394;Comunidad Valenciana;flat;penthouse;42000.0;41.0;1;4.0;37.8660105;-0.7978417
63519;Comunidad Valenciana;flat;penthouse;45000.0;41.0;1;7.0;37.9808814;-0.6824887
63560;Comunidad Valenciana;flat;penthouse;50880.0;41.0;1;7.0;37.9816094;-0.6900758
63561;Comunidad Valenciana;flat;penthouse;50880.0;41.0;1;7.0;37.9816094;-0.6900758
63714;Comunidad Valenciana;flat;penthouse;80000.0;42.0;1;4.0;40.2284404;0.2652412
64430;Comunidad Valenciana;flat;penthouse;49000.0;44.0;1;6.0;37.9821272;-0.6726127
64438;Comunidad Valenciana;flat;penthouse;47880.0;44.0;1;6.0;37.9775536;-0.6655337
64761;Comunidad Valenciana;flat;penthouse;90000.0;45.0;1;9.0;40.3923714;0.406637
64849;Comunidad Valenciana;flat;penthouse;89000.0;45.0;1;6.0;38.5349718;-0.1289884
64978;Comunidad Valenciana;flat;penthouse;125000.0;45.0;1;7.0;38.5377399;-0.13029
65055;Comunidad Valenciana;flat;penthouse;115000.0;45.0;1;5.0;39.4798924;-0.3755571
65306;Comunidad Valenciana;flat;penthouse;47880.0;45.0;1;6.0;37.9792536;-0.6675337
65373;Comunidad Valenciana;flat;penthouse;110000.0;45.0;1;5.0;39.4793924;-0.3750571
66353;Comunidad Valenciana;flat;penthouse;52000.0;47.0;1;7.0;37.9763407;-0.6950868
66576;Comunidad Valenciana;flat;penthouse;138000.0;47.0;1;6.0;39.5757943;-0.3619137
66738;Comunidad Valenciana;flat;penthouse;95000.0;48.0;1;8.0;40.2496179;0.285776
66761;Comunidad Valenciana;flat;penthouse;54900.0;48.0;1;4.0;37.9864841;-0.6711537
66806;Comunidad Valenciana;flat;penthouse;53000.0;48.0;1;4.0;38.8309152;0.0649783
66855;Comunidad Valenciana;flat;penthouse;147000.0;48.0;1;6.0;38.5787657;-0.0682101
66876;Comunidad Valenciana;flat;penthouse;90000.0;48.0;1;7.0;40.4142818;0.4306683
67050;Comunidad Valenciana;flat;penthouse;168000.0;48.0;1;9.0;39.4823079;-0.3696586
67360;Comunidad Valenciana;flat;penthouse;79000.0;49.0;1;3.0;39.9646664;-0.0174774
67406;Comunidad Valenciana;flat;penthouse;280000.0;49.0;1;7.0;39.4848217;-0.3643833
67436;Comunidad Valenciana;flat;penthouse;75000.0;49.0;1;5.0;39.4685495;-0.3311806
67561;Comunidad Valenciana;flat;penthouse;140000.0;50.0;1;7.0;39.4653902;-0.3739219
67669;Comunidad Valenciana;flat;penthouse;75000.0;50.0;1;0.0;37.9126314;-0.7449966
67670;Comunidad Valenciana;flat;penthouse;108000.0;50.0;1;0.0;38.00856;-0.655594
68045;Comunidad Valenciana;flat;penthouse;48000.0;50.0;1;4.0;37.983008;-0.6656642
68046;Comunidad Valenciana;flat;penthouse;48000.0;50.0;1;7.0;37.981443;-0.6656698
