index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
26812;Comunidad Valenciana;house;Vacio;135000.0;403.0;0;2.0;38.7916452;0.0356942
60760;Comunidad Valenciana;house;Vacio;69000.0;15.0;1;0.0;39.6311879;-0.592233
60782;Comunidad Valenciana;house;Vacio;28000.0;20.0;1;0.0;39.3902595;-0.7137137
60783;Comunidad Valenciana;house;Vacio;75000.0;20.0;1;0.0;39.4198215;-0.4968341
60784;Comunidad Valenciana;house;Vacio;59000.0;20.0;1;0.0;39.6278608;-0.5977902
61100;Comunidad Valenciana;house;Vacio;171000.0;30.0;1;0.0;39.5376528;-0.556149
61286;Comunidad Valenciana;house;Vacio;58000.0;33.0;1;3.0;38.0110435;-0.6634534
62507;Comunidad Valenciana;house;Vacio;53000.0;40.0;1;0.0;37.943685;-0.71762
63187;Comunidad Valenciana;house;Vacio;56900.0;40.0;1;0.0;38.0056643;-0.6612366
63239;Comunidad Valenciana;house;Vacio;63000.0;40.0;1;0.0;39.4914832;-0.6872076
64211;Comunidad Valenciana;house;Vacio;103700.0;43.0;1;0.0;37.9492053;-0.7310494
64985;Comunidad Valenciana;house;Vacio;65000.0;45.0;1;0.0;37.9853219;-0.6583218
67711;Comunidad Valenciana;house;Vacio;40000.0;50.0;1;2.0;38.1496313;-0.6398261
67713;Comunidad Valenciana;house;Vacio;79900.0;50.0;1;0.0;37.909469;-0.746494
69268;Comunidad Valenciana;house;Vacio;90000.0;50.0;1;0.0;39.4959845;-0.6757005
69269;Comunidad Valenciana;house;Vacio;90000.0;50.0;1;0.0;39.6999619;-0.5290994
72741;Comunidad Valenciana;house;Vacio;61900.0;56.0;1;2.0;38.0164704;-0.6552651
74270;Comunidad Valenciana;house;Vacio;136500.0;60.0;1;0.0;38.2337177;-0.5467561
75582;Comunidad Valenciana;house;Vacio;187000.0;60.0;1;0.0;39.6328053;-0.5688499
75583;Comunidad Valenciana;house;Vacio;45000.0;60.0;1;0.0;39.4175139;-0.6463119
76397;Comunidad Valenciana;house;Vacio;79800.0;63.0;1;0.0;38.005042;-0.653457
76613;Comunidad Valenciana;house;Vacio;35000.0;63.0;1;0.0;39.5708077;-0.6257696
78729;Comunidad Valenciana;house;Vacio;78000.0;70.0;1;0.0;39.09808;-0.36908
79187;Comunidad Valenciana;house;Vacio;50000.0;70.0;1;0.0;39.3384111;-0.6156032
80167;Comunidad Valenciana;house;Vacio;68000.0;75.0;1;0.0;39.5019103;-0.3848074
81227;Comunidad Valenciana;house;Vacio;75000.0;85.0;1;2.0;39.469199;-0.3279557
81461;Comunidad Valenciana;house;Vacio;76000.0;90.0;1;0.0;39.6552631;-0.2220809
81667;Comunidad Valenciana;house;Vacio;84000.0;94.0;1;0.0;39.4472895;-0.3331505
82045;Comunidad Valenciana;house;Vacio;10000.0;105.0;1;0.0;39.15789;-0.425036
82147;Comunidad Valenciana;house;Vacio;250000.0;110.0;1;0.0;38.2337177;-0.5467561
82148;Comunidad Valenciana;house;Vacio;44900.0;110.0;1;0.0;39.9633745;-0.260758
82314;Comunidad Valenciana;house;Vacio;80000.0;116.0;1;0.0;39.5622509;-0.3433855
82356;Comunidad Valenciana;house;Vacio;29600.0;120.0;1;0.0;39.0746902;-0.2699839
82357;Comunidad Valenciana;house;Vacio;46500.0;120.0;1;0.0;38.635752;-0.865172
82452;Comunidad Valenciana;house;Vacio;199000.0;125.0;1;0.0;38.8176829;0.1279562
83064;Comunidad Valenciana;house;Vacio;29000.0;20.0;2;0.0;39.6815427;-0.3082834
83089;Comunidad Valenciana;house;Vacio;26700.0;27.0;2;0.0;39.963342;-0.2601463
83096;Comunidad Valenciana;house;Vacio;12000.0;28.0;2;0.0;38.14258;-0.7703
83097;Comunidad Valenciana;house;Vacio;6300.0;28.0;2;2.0;38.9210232;-0.1242439
83149;Comunidad Valenciana;house;Vacio;74000.0;30.0;2;0.0;39.6753372;-0.5641002
83170;Comunidad Valenciana;house;Vacio;48000.0;32.0;2;0.0;38.5313839;-0.5831948
83201;Comunidad Valenciana;house;Vacio;25000.0;33.0;2;0.0;39.6731249;-0.3194128
83286;Comunidad Valenciana;house;Vacio;21000.0;35.0;2;0.0;39.6979735;-0.5328398
83287;Comunidad Valenciana;house;Vacio;110000.0;35.0;2;0.0;39.3481227;-0.6247132
83511;Comunidad Valenciana;house;Vacio;45000.0;40.0;2;0.0;37.995695;-0.690514
83587;Comunidad Valenciana;house;Vacio;85000.0;40.0;2;0.0;39.3689894;-0.5915027
83588;Comunidad Valenciana;house;Vacio;98000.0;40.0;2;0.0;39.6201449;-0.5918049
83589;Comunidad Valenciana;house;Vacio;63000.0;40.0;2;0.0;39.570744;-0.627345
83590;Comunidad Valenciana;house;Vacio;90000.0;40.0;2;0.0;39.6190125;-0.5422419
83591;Comunidad Valenciana;house;Vacio;140000.0;40.0;2;0.0;39.553018;-0.5328478
83592;Comunidad Valenciana;house;Vacio;53000.0;40.0;2;0.0;39.664524;-0.5739422
83637;Comunidad Valenciana;house;Vacio;78000.0;41.0;2;2.0;37.9916399;-0.6703283
83891;Comunidad Valenciana;house;Vacio;89500.0;44.0;2;2.0;38.003212;-0.6642656
84275;Comunidad Valenciana;house;Vacio;80000.0;45.0;2;0.0;39.277263;-0.5708288
84276;Comunidad Valenciana;house;Vacio;86000.0;45.0;2;0.0;39.3627734;-0.6627871
84498;Comunidad Valenciana;house;Vacio;75000.0;47.0;2;0.0;38.000801;-0.653866
84533;Comunidad Valenciana;house;Vacio;88200.0;47.0;2;0.0;37.9827003;-0.6802233
84551;Comunidad Valenciana;house;Vacio;70000.0;47.0;2;0.0;37.9843003;-0.6788233
85083;Comunidad Valenciana;house;Vacio;9300.0;50.0;2;0.0;38.126775;-0.88029
85152;Comunidad Valenciana;house;Vacio;67000.0;50.0;2;2.0;37.9616413;-0.7384406
85153;Comunidad Valenciana;house;Vacio;55950.0;50.0;2;0.0;37.940624;-0.738742
85154;Comunidad Valenciana;house;Vacio;65000.0;50.0;2;0.0;37.997967;-0.66672
86128;Comunidad Valenciana;house;Vacio;129000.0;50.0;2;0.0;39.3798822;-0.6982853
86129;Comunidad Valenciana;house;Vacio;36000.0;50.0;2;0.0;39.4346151;-0.5921658
86130;Comunidad Valenciana;house;Vacio;50000.0;50.0;2;0.0;39.6727824;-0.5607578
86131;Comunidad Valenciana;house;Vacio;70000.0;50.0;2;0.0;39.6645826;-0.5214616
86132;Comunidad Valenciana;house;Vacio;156000.0;50.0;2;0.0;39.6247825;-0.5927581
86133;Comunidad Valenciana;house;Vacio;159000.0;50.0;2;0.0;39.5388528;-0.552649
86134;Comunidad Valenciana;house;Vacio;73000.0;50.0;2;0.0;39.3462796;-0.5774238
86135;Comunidad Valenciana;house;Vacio;119000.0;50.0;2;0.0;39.6732587;-0.535291
86136;Comunidad Valenciana;house;Vacio;78000.0;50.0;2;0.0;39.6351879;-0.593233
86704;Comunidad Valenciana;house;Vacio;99000.0;52.0;2;0.0;37.942771;-0.722344
86713;Comunidad Valenciana;house;Vacio;49000.0;52.0;2;2.0;37.9404748;-0.7571543
86748;Comunidad Valenciana;house;Vacio;66500.0;52.0;2;0.0;37.9521285;-0.7291706
87136;Comunidad Valenciana;house;Vacio;36800.0;53.0;2;0.0;38.13858;-0.7701
87251;Comunidad Valenciana;house;Vacio;149000.0;53.0;2;0.0;37.9938278;-0.6586613
87484;Comunidad Valenciana;house;Vacio;69000.0;53.0;2;0.0;39.7836214;-0.3675117
87643;Comunidad Valenciana;house;Vacio;55900.0;54.0;2;0.0;37.947734;-0.73297
87644;Comunidad Valenciana;house;Vacio;65000.0;54.0;2;0.0;37.945731;-0.730427
87645;Comunidad Valenciana;house;Vacio;75000.0;54.0;2;0.0;37.953587;-0.734483
87647;Comunidad Valenciana;house;Vacio;69000.0;54.0;2;0.0;37.942907;-0.733741
87648;Comunidad Valenciana;house;Vacio;75000.0;54.0;2;0.0;37.942878;-0.730927
87649;Comunidad Valenciana;house;Vacio;98000.0;54.0;2;0.0;37.941585;-0.71752
87686;Comunidad Valenciana;house;Vacio;50750.0;54.0;2;0.0;37.9841208;-0.6841635
88028;Comunidad Valenciana;house;Vacio;115000.0;55.0;2;0.0;38.230416;-0.547199
88029;Comunidad Valenciana;house;Vacio;119000.0;55.0;2;0.0;38.232497;-0.549031
88148;Comunidad Valenciana;house;Vacio;72000.0;55.0;2;0.0;37.9838;-0.682823
88187;Comunidad Valenciana;house;Vacio;62000.0;55.0;2;2.0;38.0020196;-0.6941637
89475;Comunidad Valenciana;house;Vacio;163000.0;55.0;2;0.0;39.6228209;-0.591494
89476;Comunidad Valenciana;house;Vacio;63000.0;55.0;2;0.0;39.4933082;-0.6825004
89806;Comunidad Valenciana;house;Vacio;55900.0;56.0;2;0.0;38.000766;-0.698888
90943;Comunidad Valenciana;house;Vacio;76000.0;58.0;2;0.0;37.933915;-0.737192
90944;Comunidad Valenciana;house;Vacio;90000.0;58.0;2;0.0;37.9209962;-0.7493169
91179;Comunidad Valenciana;house;Vacio;125000.0;58.0;2;0.0;37.9842384;-0.6713795
91560;Comunidad Valenciana;house;Vacio;69000.0;58.0;2;0.0;39.6814987;-0.2767331
92685;Comunidad Valenciana;house;Vacio;99950.0;60.0;2;0.0;38.001713;-0.652339
92770;Comunidad Valenciana;house;Vacio;26000.0;60.0;2;0.0;39.6773351;-0.2834872
92896;Comunidad Valenciana;house;Vacio;58000.0;60.0;2;3.0;37.9995766;-0.6947752
93495;Comunidad Valenciana;house;Vacio;59000.0;60.0;2;0.0;40.388016;0.3804365
93627;Comunidad Valenciana;house;Vacio;100000.0;60.0;2;0.0;38.582284;-0.137308
94437;Comunidad Valenciana;house;Vacio;76000.0;60.0;2;0.0;38.0019;-0.6991725
95870;Comunidad Valenciana;house;Vacio;96000.0;60.0;2;0.0;39.5723469;-0.6427715
95871;Comunidad Valenciana;house;Vacio;98000.0;60.0;2;0.0;39.3440193;-0.6159463
95872;Comunidad Valenciana;house;Vacio;63000.0;60.0;2;0.0;39.6223209;-0.587594
95873;Comunidad Valenciana;house;Vacio;100000.0;60.0;2;0.0;39.49711;-0.6836
95874;Comunidad Valenciana;house;Vacio;99000.0;60.0;2;0.0;39.5010142;-0.3529515
95875;Comunidad Valenciana;house;Vacio;73000.0;60.0;2;0.0;39.3827822;-0.6972853
95876;Comunidad Valenciana;house;Vacio;103000.0;60.0;2;0.0;39.5999328;-0.726473
95877;Comunidad Valenciana;house;Vacio;83000.0;60.0;2;0.0;39.7454521;-0.3562724
95878;Comunidad Valenciana;house;Vacio;77000.0;60.0;2;0.0;39.5959328;-0.725773
