index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32629;Comunidad Valenciana;land;Vacio;400000.0;0.0;0;0.0;38.8214835;0.0971906
32630;Comunidad Valenciana;land;Vacio;90000.0;0.0;0;0.0;38.6477072;0.0573396
32631;Comunidad Valenciana;land;Vacio;160000.0;0.0;0;0.0;38.6491124;0.0610839
32632;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;38.7691493;0.1541376
32633;Comunidad Valenciana;land;Vacio;100000.0;0.0;0;0.0;38.7007212;0.107484
32634;Comunidad Valenciana;land;Vacio;140000.0;0.0;0;0.0;38.7095429;0.144271
32635;Comunidad Valenciana;land;Vacio;1800000.0;0.0;0;0.0;38.8434089;0.0955908
32637;Comunidad Valenciana;land;Vacio;797325.0;0.0;0;0.0;37.8567617;-0.7817674
32654;Comunidad Valenciana;land;Vacio;125000.0;0.0;0;0.0;40.5003884;0.4335308
32655;Comunidad Valenciana;land;Vacio;120000.0;0.0;0;0.0;40.5066753;0.3301938
32656;Comunidad Valenciana;land;Vacio;92500.0;0.0;0;0.0;40.4994222;0.4293605
32657;Comunidad Valenciana;land;Vacio;1100000.0;0.0;0;0.0;38.5324145;-0.1614919
32667;Comunidad Valenciana;land;Vacio;590000.0;0.0;0;0.0;38.6344238;0.0269284
32670;Comunidad Valenciana;land;Vacio;116000.0;0.0;0;0.0;40.5026842;0.4995605
33273;Comunidad Valenciana;land;Vacio;60000.0;0.0;0;0.0;39.9354147;0.0006152
33401;Comunidad Valenciana;land;Vacio;5332560.0;0.0;0;0.0;39.1380562;-0.5219976
40528;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;38.27223;-0.54635
40536;Comunidad Valenciana;land;Vacio;35000.0;0.0;0;0.0;39.4277299;-0.54623
40538;Comunidad Valenciana;land;Vacio;80000.0;0.0;0;0.0;38.7150327;0.0532578
40541;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.4774722;-0.4443336
40542;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.4774307;-0.4469169
40550;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.4770046;-0.443698
40551;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;39.4901636;-0.3733083
40552;Comunidad Valenciana;land;Vacio;59000.0;0.0;0;0.0;39.4338309;-0.4820227
40556;Comunidad Valenciana;land;Vacio;36000.0;0.0;0;0.0;39.3242644;-0.6991176
40558;Comunidad Valenciana;land;Vacio;295000.0;0.0;0;0.0;38.9463097;-0.158933
40559;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.4767205;-0.4461052
40560;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.4767205;-0.4461052
40561;Comunidad Valenciana;land;Vacio;550000.0;0.0;0;0.0;38.7866561;0.1671395
40564;Comunidad Valenciana;land;Vacio;275000.0;0.0;0;0.0;39.5409444;-0.403561
40565;Comunidad Valenciana;land;Vacio;480000.0;0.0;0;0.0;38.5365657;-0.1699081
40566;Comunidad Valenciana;land;Vacio;80000.0;0.0;0;0.0;38.7134728;0.0468348
40567;Comunidad Valenciana;land;Vacio;29000.0;0.0;0;0.0;38.3511532;-0.4825367
40568;Comunidad Valenciana;land;Vacio;750000.0;0.0;0;0.0;39.4635429;-0.3309865
40569;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;39.8773328;-0.1151284
40577;Comunidad Valenciana;land;Vacio;675000.0;0.0;0;0.0;39.56723;-0.33483
40578;Comunidad Valenciana;land;Vacio;490000.0;0.0;0;0.0;38.94281;-0.13461
40581;Comunidad Valenciana;land;Vacio;175000.0;0.0;0;0.0;39.56873;-0.33313
40584;Comunidad Valenciana;land;Vacio;150000.0;0.0;0;0.0;39.56753;-0.33713
40585;Comunidad Valenciana;land;Vacio;195000.0;0.0;0;0.0;39.56813;-0.33313
40592;Comunidad Valenciana;land;Vacio;63000.0;0.0;0;0.0;39.43491;-0.46442
40593;Comunidad Valenciana;land;Vacio;80000.0;0.0;0;0.0;39.43891;-0.46722
40594;Comunidad Valenciana;land;Vacio;62500.0;0.0;0;0.0;39.43781;-0.46342
40596;Comunidad Valenciana;land;Vacio;88500.0;0.0;0;0.0;39.43591;-0.46742
40597;Comunidad Valenciana;land;Vacio;85000.0;0.0;0;0.0;39.43551;-0.46342
40598;Comunidad Valenciana;land;Vacio;75000.0;0.0;0;0.0;39.43741;-0.46342
40599;Comunidad Valenciana;land;Vacio;29000.0;0.0;0;0.0;39.58947;-0.58776
40600;Comunidad Valenciana;land;Vacio;125000.0;0.0;0;0.0;39.48574;-0.9178
44122;Comunidad Valenciana;land;Vacio;2300000.0;0.0;0;0.0;38.7294514;0.2160378
44217;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;37.930197;-0.7480056
44221;Comunidad Valenciana;land;Vacio;100000.0;0.0;0;0.0;38.6343762;0.0327289
44228;Comunidad Valenciana;land;Vacio;1980000.0;0.0;0;0.0;38.8167317;-0.0339583
44229;Comunidad Valenciana;land;Vacio;125000.0;0.0;0;0.0;38.8407823;-0.1170525
44234;Comunidad Valenciana;land;Vacio;199000.0;0.0;0;0.0;38.7127558;0.0502734
44242;Comunidad Valenciana;land;Vacio;250000.0;0.0;0;0.0;38.7519667;0.189221
44243;Comunidad Valenciana;land;Vacio;155000.0;0.0;0;0.0;38.79138;0.12349
44244;Comunidad Valenciana;land;Vacio;100000.0;0.0;0;0.0;38.7541738;0.1930773
44245;Comunidad Valenciana;land;Vacio;95000.0;0.0;0;0.0;38.6950593;0.1147512
44246;Comunidad Valenciana;land;Vacio;1395000.0;0.0;0;0.0;38.8041017;0.1808497
44247;Comunidad Valenciana;land;Vacio;665000.0;0.0;0;0.0;38.8015121;0.1953658
44248;Comunidad Valenciana;land;Vacio;195000.0;0.0;0;0.0;38.7471332;0.1850395
44249;Comunidad Valenciana;land;Vacio;330000.0;0.0;0;0.0;38.7473395;0.1400124
44250;Comunidad Valenciana;land;Vacio;235000.0;0.0;0;0.0;38.7505692;0.1879568
44251;Comunidad Valenciana;land;Vacio;860000.0;0.0;0;0.0;38.80373;0.16075
44252;Comunidad Valenciana;land;Vacio;395000.0;0.0;0;0.0;38.7511332;0.1876395
44253;Comunidad Valenciana;land;Vacio;250000.0;0.0;0;0.0;38.7520097;0.1432983
44254;Comunidad Valenciana;land;Vacio;150000.0;0.0;0;0.0;38.8446444;-0.045239
44326;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;39.4265249;-0.3941695
44361;Comunidad Valenciana;land;Vacio;175000.0;0.0;0;0.0;38.6033941;-0.1133056
44362;Comunidad Valenciana;land;Vacio;250000.0;0.0;0;0.0;38.695855;0.1398996
44363;Comunidad Valenciana;land;Vacio;245000.0;0.0;0;0.0;38.6976601;0.108851
44379;Comunidad Valenciana;land;Vacio;265000.0;0.0;0;0.0;38.7127558;0.0502734
44407;Comunidad Valenciana;land;Vacio;167500.0;0.0;0;0.0;38.7147558;0.0514734
44408;Comunidad Valenciana;land;Vacio;350000.0;0.0;0;0.0;38.6726635;0.0595746
44534;Comunidad Valenciana;land;Vacio;160000.0;0.0;0;0.0;38.7040204;0.1254694
44535;Comunidad Valenciana;land;Vacio;200000.0;0.0;0;0.0;38.7829222;0.1233995
44536;Comunidad Valenciana;land;Vacio;262500.0;0.0;0;0.0;38.6982;0.04188
44537;Comunidad Valenciana;land;Vacio;90000.0;0.0;0;0.0;38.7136547;0.0486096
44538;Comunidad Valenciana;land;Vacio;600000.0;0.0;0;0.0;38.2717501;-0.5413822
44539;Comunidad Valenciana;land;Vacio;90000.0;0.0;0;0.0;38.352062;-0.4816744
44604;Comunidad Valenciana;land;Vacio;200000.0;0.0;0;0.0;38.0847204;-0.795872
44605;Comunidad Valenciana;land;Vacio;150000.0;0.0;0;0.0;38.2703685;-0.5441309
44636;Comunidad Valenciana;land;Vacio;2300000.0;0.0;0;0.0;39.8818486;-0.0772905
44643;Comunidad Valenciana;land;Vacio;150000.0;0.0;0;0.0;38.65003;0.07677
44644;Comunidad Valenciana;land;Vacio;265000.0;0.0;0;0.0;38.6874452;0.1305342
44645;Comunidad Valenciana;land;Vacio;250000.0;0.0;0;0.0;38.6909452;0.1306342
44646;Comunidad Valenciana;land;Vacio;220000.0;0.0;0;0.0;38.7152063;0.0511193
44697;Comunidad Valenciana;land;Vacio;700000.0;0.0;0;0.0;40.5075107;0.3313829
44752;Comunidad Valenciana;land;Vacio;25000.0;0.0;0;0.0;38.5283465;-0.5780721
44753;Comunidad Valenciana;land;Vacio;140000.0;0.0;0;0.0;38.8731935;-0.0231957
44754;Comunidad Valenciana;land;Vacio;60000.0;0.0;0;0.0;38.9196757;-0.1196245
44836;Comunidad Valenciana;land;Vacio;155000.0;0.0;0;0.0;38.5524038;-0.177558
44837;Comunidad Valenciana;land;Vacio;207200.0;0.0;0;0.0;38.5649172;-0.1307952
44838;Comunidad Valenciana;land;Vacio;195000.0;0.0;0;0.0;38.5736205;-0.0912168
44865;Comunidad Valenciana;land;Vacio;175000.0;0.0;0;0.0;40.36291;0.389623
44882;Comunidad Valenciana;land;Vacio;16228.0;0.0;0;0.0;38.5263465;-0.5795721
44903;Comunidad Valenciana;land;Vacio;119900.0;0.0;0;0.0;40.3547934;0.3951832
44904;Comunidad Valenciana;land;Vacio;56000.0;0.0;0;0.0;40.3926113;0.3723801
44922;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;0.0;38.8381466;0.1060149
44957;Comunidad Valenciana;land;Vacio;260000.0;0.0;0;0.0;39.4590669;-0.3624624
45045;Comunidad Valenciana;land;Vacio;453112.0;0.0;0;0.0;40.475611;0.436713
45053;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;38.8162152;0.1253383
45057;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;38.37047;-0.4346824
45064;Comunidad Valenciana;land;Vacio;840000.0;0.0;0;2.0;38.6527792;0.0278714
45065;Comunidad Valenciana;land;Vacio;85000.0;0.0;0;2.0;38.6742899;0.0102523
45066;Comunidad Valenciana;land;Vacio;130000.0;0.0;0;2.0;38.6490223;0.0304279
45068;Comunidad Valenciana;land;Vacio;40000.0;0.0;0;0.0;39.4714477;-0.7214028
45091;Comunidad Valenciana;land;Vacio;280000.0;0.0;0;0.0;38.6899399;0.1346936
45092;Comunidad Valenciana;land;Vacio;90000.0;0.0;0;0.0;38.6870808;0.1355379
45093;Comunidad Valenciana;land;Vacio;120000.0;0.0;0;0.0;38.6899808;0.1367379
45094;Comunidad Valenciana;land;Vacio;135000.0;0.0;0;0.0;38.6977433;0.1033274
45095;Comunidad Valenciana;land;Vacio;135000.0;0.0;0;0.0;38.6883845;0.1327374
45096;Comunidad Valenciana;land;Vacio;577500.0;0.0;0;0.0;38.6867845;0.1345374
45097;Comunidad Valenciana;land;Vacio;180000.0;0.0;0;0.0;38.6877808;0.1327379
45098;Comunidad Valenciana;land;Vacio;265000.0;0.0;0;0.0;38.6899808;0.1327379
45099;Comunidad Valenciana;land;Vacio;260000.0;0.0;0;0.0;38.6889808;0.1327379
45100;Comunidad Valenciana;land;Vacio;260000.0;0.0;0;0.0;38.6870808;0.1333379
45101;Comunidad Valenciana;land;Vacio;239000.0;0.0;0;0.0;38.6870808;0.1354379
45102;Comunidad Valenciana;land;Vacio;210000.0;0.0;0;0.0;38.6901808;0.1327379
45103;Comunidad Valenciana;land;Vacio;110000.0;0.0;0;0.0;38.6910808;0.1350379
45104;Comunidad Valenciana;land;Vacio;175000.0;0.0;0;0.0;38.822346;-0.0437273
45105;Comunidad Valenciana;land;Vacio;900000.0;0.0;0;0.0;38.6893565;0.1341705
45106;Comunidad Valenciana;land;Vacio;140000.0;0.0;0;0.0;38.6867845;0.1344374
45109;Comunidad Valenciana;land;Vacio;8000.0;0.0;0;0.0;40.51134;0.5012811
45110;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;40.4474513;0.4551372
45156;Comunidad Valenciana;land;Vacio;270000.0;0.0;0;0.0;37.9005682;-0.7512226
45175;Comunidad Valenciana;land;Vacio;245000.0;0.0;0;0.0;39.6552631;-0.2216809
45452;Comunidad Valenciana;land;Vacio;850000.0;0.0;0;0.0;40.4486516;0.4575035
45453;Comunidad Valenciana;land;Vacio;2050000.0;0.0;0;0.0;40.4672208;0.4741128
45455;Comunidad Valenciana;land;Vacio;130000.0;0.0;0;0.0;38.2546439;-0.5250352
45502;Comunidad Valenciana;land;Vacio;109000.0;0.0;0;0.0;38.820637;0.0931164
45516;Comunidad Valenciana;land;Vacio;42000.0;0.0;0;0.0;38.0610751;-0.8949293
45560;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;38.7916832;0.1473376
45608;Comunidad Valenciana;land;Vacio;5500.0;0.0;0;0.0;40.1341605;-0.2877915
45633;Comunidad Valenciana;land;Vacio;957654.0;0.0;0;0.0;39.9626239;-0.0776681
45638;Comunidad Valenciana;land;Vacio;5400000.0;0.0;0;0.0;40.12153;0.1586911
45639;Comunidad Valenciana;land;Vacio;513200.0;0.0;0;0.0;40.0929428;0.1381579
45640;Comunidad Valenciana;land;Vacio;400000.0;0.0;0;0.0;40.0959105;0.1415354
45641;Comunidad Valenciana;land;Vacio;227500.0;0.0;0;0.0;40.0881454;0.1416902
45642;Comunidad Valenciana;land;Vacio;2000000.0;0.0;0;0.0;40.111227;0.1532482
45644;Comunidad Valenciana;land;Vacio;1490000.0;0.0;0;0.0;38.7893954;0.1638182
45720;Comunidad Valenciana;land;Vacio;120000.0;0.0;0;0.0;38.8256621;0.0172286
45725;Comunidad Valenciana;land;Vacio;136000.0;0.0;0;2.0;38.2415731;-0.5841054
45726;Comunidad Valenciana;land;Vacio;110000.0;0.0;0;3.0;38.3014091;-0.689876
45727;Comunidad Valenciana;land;Vacio;130000.0;0.0;0;2.0;38.2457177;-0.5852089
45728;Comunidad Valenciana;land;Vacio;123846.0;0.0;0;2.0;38.30946;-0.84985
45729;Comunidad Valenciana;land;Vacio;199500.0;0.0;0;3.0;38.2451515;-0.5798594
45730;Comunidad Valenciana;land;Vacio;270000.0;0.0;0;3.0;38.3016091;-0.685876
45731;Comunidad Valenciana;land;Vacio;100000.0;0.0;0;3.0;38.3008091;-0.687676
45733;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;2.0;38.2772027;-0.7327659
45734;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;2.0;38.4365055;-0.8492782
45735;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;2.0;38.4374055;-0.8496782
45736;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;2.0;38.4324989;-0.840496
45737;Comunidad Valenciana;land;Vacio;70000.0;0.0;0;2.0;38.4328989;-0.836496
45738;Comunidad Valenciana;land;Vacio;4108522.0;0.0;0;2.0;38.8298066;0.114284
45739;Comunidad Valenciana;land;Vacio;1608656.0;0.0;0;2.0;38.6791353;0.0712833
45740;Comunidad Valenciana;land;Vacio;559643.0;0.0;0;2.0;38.093323;-0.6575235
45741;Comunidad Valenciana;land;Vacio;1551210.0;0.0;0;2.0;38.7126489;0.051736
45780;Comunidad Valenciana;land;Vacio;185000.0;0.0;0;0.0;39.5597002;-0.4650074
45791;Comunidad Valenciana;land;Vacio;450000.0;0.0;0;0.0;38.8296815;0.0558394
45792;Comunidad Valenciana;land;Vacio;100000.0;0.0;0;0.0;38.8715;-0.01845
45803;Comunidad Valenciana;land;Vacio;89000.0;0.0;0;0.0;39.217308;-0.5161494
45811;Comunidad Valenciana;land;Vacio;105000.0;0.0;0;2.0;38.5402411;-0.1216238
45818;Comunidad Valenciana;land;Vacio;932000.0;0.0;0;0.0;38.8740316;-0.0247726
45822;Comunidad Valenciana;land;Vacio;60000.0;0.0;0;0.0;39.1651959;-0.2553897
45856;Comunidad Valenciana;land;Vacio;460000.0;0.0;0;0.0;37.8862056;-0.7555417
45902;Comunidad Valenciana;land;Vacio;110250.0;0.0;0;0.0;39.7681552;-0.1568072
45915;Comunidad Valenciana;land;Vacio;60000.0;0.0;0;0.0;38.5308478;-0.5762458
45969;Comunidad Valenciana;land;Vacio;49448.0;0.0;0;0.0;38.9705353;-0.1914228
45986;Comunidad Valenciana;land;Vacio;190000.0;0.0;0;0.0;39.363066;-0.4136575
46002;Comunidad Valenciana;land;Vacio;390000.0;0.0;0;2.0;38.3607;-0.455158
46003;Comunidad Valenciana;land;Vacio;144000.0;0.0;0;2.0;38.4049;-0.51316
46004;Comunidad Valenciana;land;Vacio;960000.0;0.0;0;2.0;38.4088;-0.51186
46005;Comunidad Valenciana;land;Vacio;160000.0;0.0;0;2.0;38.4054;-0.50916
46037;Comunidad Valenciana;land;Vacio;229310.0;0.0;0;0.0;37.94558;-0.77474
46057;Comunidad Valenciana;land;Vacio;199000.0;0.0;0;0.0;38.7945264;0.1527133
46134;Comunidad Valenciana;land;Vacio;60000.0;0.0;0;0.0;38.6048225;-0.0445202
