index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
2046;Comunidad de Madrid;flat;Vacio;89999.0;37.0;0;2.0;40.4226131;-3.7075457
2579;Comunidad de Madrid;flat;Vacio;225000.0;40.0;0;8.0;40.4276789;-3.7145435
3047;Comunidad de Madrid;flat;Vacio;138500.0;42.0;0;4.0;40.4242246;-3.7096326
3646;Comunidad de Madrid;flat;Vacio;192000.0;45.0;0;5.0;40.5017094;-3.6531871
4969;Comunidad de Madrid;flat;Vacio;146500.0;54.0;0;5.0;40.3641938;-3.7652873
5970;Comunidad de Madrid;flat;Vacio;265125.0;60.0;0;7.0;40.4140626;-3.6922517
6910;Comunidad de Madrid;flat;Vacio;68760.0;65.0;0;2.0;40.3790404;-3.6316346
7269;Comunidad de Madrid;flat;Vacio;180000.0;68.0;0;5.0;40.4272757;-3.6996975
7379;Comunidad de Madrid;flat;Vacio;98300.0;69.0;0;2.0;40.3199572;-3.8765841
7384;Comunidad de Madrid;flat;Vacio;105000.0;69.0;0;2.0;40.3990934;-3.9947163
7979;Comunidad de Madrid;flat;Vacio;79900.0;72.0;0;5.0;40.3994382;-3.7672474
8482;Comunidad de Madrid;flat;Vacio;185400.0;75.0;0;6.0;40.4098506;-3.7024234
9329;Comunidad de Madrid;flat;Vacio;107300.0;80.0;0;4.0;40.3310679;-3.7641441
12309;Comunidad de Madrid;flat;Vacio;275000.0;100.0;0;3.0;40.4267634;-3.6724177
14462;Comunidad de Madrid;flat;Vacio;250000.0;120.0;0;3.0;40.4505772;-3.70496
14909;Comunidad de Madrid;flat;Vacio;400000.0;124.0;0;3.0;40.4132527;-3.7045122
15462;Comunidad de Madrid;flat;Vacio;360000.0;130.0;0;3.0;40.4351066;-3.6963061
15904;Comunidad de Madrid;flat;Vacio;200000.0;135.0;0;2.0;40.4636966;-3.6479179
16914;Comunidad de Madrid;flat;Vacio;270000.0;146.0;0;3.0;40.4104989;-3.7022664
17406;Comunidad de Madrid;flat;Vacio;275000.0;150.0;0;2.0;40.4151284;-3.7012752
18409;Comunidad de Madrid;flat;Vacio;395000.0;161.0;0;3.0;40.4156788;-3.7015015
18896;Comunidad de Madrid;flat;Vacio;1200000.0;170.0;0;2.0;40.42245;-3.6809
23655;Comunidad de Madrid;flat;Vacio;650000.0;260.0;0;3.0;40.4286294;-3.7218694
25519;Comunidad de Madrid;flat;Vacio;850000.0;333.0;0;5.0;40.4192578;-3.6982318
28046;Comunidad de Madrid;flat;Vacio;1500000.0;520.0;0;2.0;40.4203314;-3.7119393
28499;Comunidad de Madrid;flat;Vacio;1800000.0;578.0;0;9.0;40.4489555;-3.6926836
29949;Comunidad de Madrid;flat;Vacio;180000.0;881.0;0;2.0;40.4464256;-3.5684969
60761;Comunidad de Madrid;flat;Vacio;62000.0;17.0;1;1.0;40.4287293;-3.675656
60762;Comunidad de Madrid;flat;Vacio;63000.0;17.0;1;4.0;40.4230407;-3.7059465
60763;Comunidad de Madrid;flat;Vacio;45000.0;17.0;1;2.0;40.4261189;-3.7095338
60774;Comunidad de Madrid;flat;Vacio;111000.0;20.0;1;3.0;40.4079534;-3.7016785
60776;Comunidad de Madrid;flat;Vacio;35000.0;20.0;1;4.0;40.4013061;-3.6655641
60777;Comunidad de Madrid;flat;Vacio;62000.0;20.0;1;1.0;40.4312101;-3.6759657
60778;Comunidad de Madrid;flat;Vacio;105000.0;20.0;1;2.0;40.4192724;-3.7184421
60780;Comunidad de Madrid;flat;Vacio;100000.0;20.0;1;2.0;40.4363042;-3.7025038
60781;Comunidad de Madrid;flat;Vacio;45000.0;20.0;1;3.0;40.4920408;-3.8719506
60785;Comunidad de Madrid;flat;Vacio;75000.0;20.0;1;2.0;40.4270162;-3.7063799
60786;Comunidad de Madrid;flat;Vacio;94000.0;20.0;1;4.0;40.4394891;-3.6999612
60787;Comunidad de Madrid;flat;Vacio;45000.0;20.0;1;2.0;40.4079534;-3.7016785
60790;Comunidad de Madrid;flat;Vacio;53000.0;21.0;1;6.0;40.4070323;-3.7002727
60791;Comunidad de Madrid;flat;Vacio;32000.0;21.0;1;5.0;40.3849268;-3.6669415
60792;Comunidad de Madrid;flat;Vacio;32000.0;21.0;1;5.0;40.3825804;-3.6679457
60794;Comunidad de Madrid;flat;Vacio;37260.0;22.0;1;6.0;40.3868887;-3.6668437
60795;Comunidad de Madrid;flat;Vacio;95000.0;22.0;1;5.0;40.4270498;-3.7062432
60799;Comunidad de Madrid;flat;Vacio;63000.0;22.0;1;3.0;40.4262407;-3.7031465
60800;Comunidad de Madrid;flat;Vacio;60000.0;22.0;1;3.0;40.4475033;-3.7062129
60802;Comunidad de Madrid;flat;Vacio;49990.0;22.0;1;3.0;40.4087029;-3.6969356
60803;Comunidad de Madrid;flat;Vacio;48000.0;22.0;1;2.0;40.4082106;-3.7019114
60804;Comunidad de Madrid;flat;Vacio;49500.0;23.0;1;2.0;40.4500624;-3.6993743
60805;Comunidad de Madrid;flat;Vacio;86000.0;23.0;1;3.0;40.4130326;-3.7008705
60806;Comunidad de Madrid;flat;Vacio;120000.0;23.0;1;3.0;40.4343293;-3.700307
60807;Comunidad de Madrid;flat;Vacio;45000.0;23.0;1;2.0;40.4094534;-3.6996785
60809;Comunidad de Madrid;flat;Vacio;43000.0;24.0;1;2.0;40.3940261;-3.6679605
60810;Comunidad de Madrid;flat;Vacio;148260.0;24.0;1;7.0;40.4327136;-3.7033321
60811;Comunidad de Madrid;flat;Vacio;62300.0;24.0;1;2.0;40.427245;-3.6663525
60816;Comunidad de Madrid;flat;Vacio;90000.0;24.0;1;4.0;40.4312285;-3.7105573
60819;Comunidad de Madrid;flat;Vacio;31840.0;25.0;1;2.0;40.3841673;-3.6702054
60820;Comunidad de Madrid;flat;Vacio;155000.0;25.0;1;3.0;40.4209633;-3.69946
60826;Comunidad de Madrid;flat;Vacio;76000.0;25.0;1;5.0;40.4261036;-3.7033363
60830;Comunidad de Madrid;flat;Vacio;99000.0;25.0;1;3.0;40.4098506;-3.7024234
60831;Comunidad de Madrid;flat;Vacio;99000.0;25.0;1;3.0;40.4098506;-3.7024234
60832;Comunidad de Madrid;flat;Vacio;125000.0;25.0;1;2.0;40.4121797;-3.6964208
60833;Comunidad de Madrid;flat;Vacio;75000.0;25.0;1;4.0;40.4215964;-3.7034354
60843;Comunidad de Madrid;flat;Vacio;82000.0;25.0;1;2.0;40.4122245;-3.7119461
60844;Comunidad de Madrid;flat;Vacio;110000.0;25.0;1;4.0;40.4338094;-3.7121939
60845;Comunidad de Madrid;flat;Vacio;68000.0;25.0;1;4.0;40.4235305;-3.7039385
60851;Comunidad de Madrid;flat;Vacio;76000.0;25.0;1;5.0;40.4270036;-3.7039363
60855;Comunidad de Madrid;flat;Vacio;75000.0;25.0;1;2.0;40.4091555;-3.7096302
60856;Comunidad de Madrid;flat;Vacio;46000.0;25.0;1;2.0;40.9167866;-3.8457011
60857;Comunidad de Madrid;flat;Vacio;59000.0;25.0;1;7.0;40.4087499;-3.6972525
60859;Comunidad de Madrid;flat;Vacio;69000.0;25.0;1;4.0;40.4061155;-3.7081384
60861;Comunidad de Madrid;flat;Vacio;60000.0;25.0;1;5.0;40.4478644;-3.7010487
60865;Comunidad de Madrid;flat;Vacio;72500.0;26.0;1;6.0;40.4471496;-3.6727982
60866;Comunidad de Madrid;flat;Vacio;85000.0;26.0;1;2.0;40.4101105;-3.6957583
60867;Comunidad de Madrid;flat;Vacio;72450.0;26.0;1;4.0;40.4478496;-3.6707982
60869;Comunidad de Madrid;flat;Vacio;130000.0;26.0;1;3.0;40.438216;-3.6966851
60871;Comunidad de Madrid;flat;Vacio;83000.0;26.0;1;5.0;40.4111621;-3.6950977
60872;Comunidad de Madrid;flat;Vacio;78000.0;26.0;1;4.0;40.4114577;-3.7051393
60874;Comunidad de Madrid;flat;Vacio;58000.0;26.0;1;2.0;40.4218412;-3.7035117
60875;Comunidad de Madrid;flat;Vacio;79000.0;27.0;1;3.0;40.3995978;-3.6739474
60879;Comunidad de Madrid;flat;Vacio;40000.0;27.0;1;0.0;40.3917197;-3.663054
60880;Comunidad de Madrid;flat;Vacio;43000.0;27.0;1;4.0;40.4493522;-3.7067968
60882;Comunidad de Madrid;flat;Vacio;39400.0;27.0;1;2.0;40.3862151;-3.6666826
60884;Comunidad de Madrid;flat;Vacio;105000.0;27.0;1;4.0;40.406689;-3.6748982
60885;Comunidad de Madrid;flat;Vacio;129800.0;27.0;1;2.0;40.4263965;-3.7121346
60889;Comunidad de Madrid;flat;Vacio;40400.0;27.0;1;0.0;40.3875814;-3.663302
60893;Comunidad de Madrid;flat;Vacio;100000.0;27.0;1;2.0;40.4223745;-3.7057329
60894;Comunidad de Madrid;flat;Vacio;95000.0;27.0;1;2.0;40.4305982;-3.704447
