index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
20753;Comunidad de Madrid;flat;penthouse;630000.0;200.0;0;6.0;40.4428795;-3.716559
60758;Comunidad de Madrid;flat;penthouse;60000.0;15.0;1;5.0;40.4674683;-3.6977543
61666;Comunidad de Madrid;flat;penthouse;115000.0;35.0;1;6.0;40.4126537;-3.700517
62843;Comunidad de Madrid;flat;penthouse;127260.0;40.0;1;8.0;40.3997793;-3.6942438
62884;Comunidad de Madrid;flat;penthouse;155000.0;40.0;1;5.0;40.422665;-3.7034438
63173;Comunidad de Madrid;flat;penthouse;147000.0;40.0;1;5.0;40.4659318;-3.6928523
63282;Comunidad de Madrid;flat;penthouse;150000.0;40.0;1;7.0;40.4209632;-3.7007627
63579;Comunidad de Madrid;flat;penthouse;101500.0;41.0;1;7.0;40.3979473;-3.6688195
64467;Comunidad de Madrid;flat;penthouse;107000.0;44.0;1;6.0;40.4553971;-3.7005696
65043;Comunidad de Madrid;flat;penthouse;93000.0;45.0;1;5.0;40.4932779;-3.8694859
65581;Comunidad de Madrid;flat;penthouse;179000.0;45.0;1;5.0;40.43599;-3.6716637
65584;Comunidad de Madrid;flat;penthouse;149000.0;45.0;1;10.0;40.3621509;-3.5927386
65732;Comunidad de Madrid;flat;penthouse;117000.0;45.0;1;4.0;40.4067274;-3.7101131
65869;Comunidad de Madrid;flat;penthouse;42000.0;46.0;1;5.0;40.8141947;-3.7647334
66504;Comunidad de Madrid;flat;penthouse;125000.0;47.0;1;6.0;40.395152;-3.6922673
66777;Comunidad de Madrid;flat;penthouse;380000.0;48.0;1;0.0;40.4678568;-3.7657946
67287;Comunidad de Madrid;flat;penthouse;90890.0;49.0;1;7.0;40.4595404;-3.7078113
67356;Comunidad de Madrid;flat;penthouse;150000.0;49.0;1;6.0;40.4308041;-3.6637507
67440;Comunidad de Madrid;flat;penthouse;49400.0;49.0;1;4.0;40.3401672;-3.3849291
67513;Comunidad de Madrid;flat;penthouse;145530.0;49.71;1;0.0;40.3995434;-3.6623497
67792;Comunidad de Madrid;flat;penthouse;340000.0;50.0;1;8.0;40.4234313;-3.6957131
67895;Comunidad de Madrid;flat;penthouse;194400.0;50.0;1;0.0;40.3944206;-3.6837191
68098;Comunidad de Madrid;flat;penthouse;128000.0;50.0;1;7.0;40.3802508;-3.6936787
68101;Comunidad de Madrid;flat;penthouse;119900.0;50.0;1;0.0;40.3229445;-3.6890272
68242;Comunidad de Madrid;flat;penthouse;157000.0;50.0;1;5.0;40.3645748;-3.7541986
68243;Comunidad de Madrid;flat;penthouse;155000.0;50.0;1;5.0;40.3645748;-3.7541986
68324;Comunidad de Madrid;flat;penthouse;58000.0;50.0;1;5.0;40.0281555;-3.6057361
68503;Comunidad de Madrid;flat;penthouse;155000.0;50.0;1;9.0;40.4081623;-3.7008142
68817;Comunidad de Madrid;flat;penthouse;95600.0;50.0;1;4.0;40.0311447;-3.6013067
69192;Comunidad de Madrid;flat;penthouse;215000.0;50.0;1;6.0;40.423392;-3.695577
69413;Comunidad de Madrid;flat;penthouse;150000.0;50.0;1;4.0;40.4842077;-3.3615736
69539;Comunidad de Madrid;flat;penthouse;140000.0;50.0;1;4.0;40.5488683;-3.6290249
70110;Comunidad de Madrid;flat;penthouse;225000.0;52.0;1;9.0;40.44268;-3.6701849
70338;Comunidad de Madrid;flat;penthouse;110000.0;52.0;1;6.0;40.3912905;-3.7141029
70764;Comunidad de Madrid;flat;penthouse;52100.0;53.0;1;4.0;40.2299786;-3.434351
70987;Comunidad de Madrid;flat;penthouse;83000.0;54.0;1;4.0;40.659478;-3.770247
71272;Comunidad de Madrid;flat;penthouse;109000.0;54.0;1;5.0;40.3989291;-3.6642359
71324;Comunidad de Madrid;flat;penthouse;135000.0;54.59;1;0.0;40.3995434;-3.6623497
71757;Comunidad de Madrid;flat;penthouse;198000.0;55.0;1;5.0;40.4725266;-3.5873044
71782;Comunidad de Madrid;flat;penthouse;133000.0;55.0;1;5.0;40.3985489;-3.664797
71892;Comunidad de Madrid;flat;penthouse;88000.0;55.0;1;5.0;40.6557344;-4.0233707
72020;Comunidad de Madrid;flat;penthouse;195000.0;55.0;1;5.0;40.4318891;-3.6682935
72026;Comunidad de Madrid;flat;penthouse;169000.0;55.0;1;6.0;40.4749175;-3.5841158
72084;Comunidad de Madrid;flat;penthouse;199000.0;55.0;1;0.0;40.4601819;-3.7056431
72371;Comunidad de Madrid;flat;penthouse;139000.0;55.0;1;6.0;40.30749;-3.45185
72388;Comunidad de Madrid;flat;penthouse;82000.0;55.0;1;5.0;40.670892;-4.1066327
72598;Comunidad de Madrid;flat;penthouse;145000.0;55.0;1;5.0;40.4645607;-3.70687
72834;Comunidad de Madrid;flat;penthouse;107500.0;56.0;1;4.0;40.5042954;-3.5249108
73698;Comunidad de Madrid;flat;penthouse;95000.0;58.0;1;4.0;40.5033165;-3.5274866
73746;Comunidad de Madrid;flat;penthouse;135000.0;58.0;1;5.0;40.3064839;-3.7282527
73782;Comunidad de Madrid;flat;penthouse;350000.0;58.0;1;8.0;40.4380733;-3.7091093
74085;Comunidad de Madrid;flat;penthouse;120000.0;59.0;1;4.0;40.5321025;-3.4803084
74341;Comunidad de Madrid;flat;penthouse;325000.0;60.0;1;6.0;40.4499509;-3.6701295
74470;Comunidad de Madrid;flat;penthouse;89000.0;60.0;1;4.0;40.7385472;-4.0538898
74525;Comunidad de Madrid;flat;penthouse;264800.0;60.0;1;0.0;40.3944206;-3.6837191
74686;Comunidad de Madrid;flat;penthouse;140000.0;60.0;1;0.0;40.6610316;-3.756183
74777;Comunidad de Madrid;flat;penthouse;190000.0;60.0;1;5.0;40.4070347;-3.7332375
74905;Comunidad de Madrid;flat;penthouse;148709.0;60.0;1;0.0;40.511893;-3.3627774
74906;Comunidad de Madrid;flat;penthouse;410000.0;60.0;1;6.0;40.4329575;-3.664846
75303;Comunidad de Madrid;flat;penthouse;145000.0;60.0;1;5.0;40.3909581;-3.7207031
75702;Comunidad de Madrid;flat;penthouse;450000.0;60.0;1;5.0;40.4180402;-3.7004702
75787;Comunidad de Madrid;flat;penthouse;275000.0;61.0;1;12.0;40.4483132;-3.6628438
75944;Comunidad de Madrid;flat;penthouse;120000.0;61.0;1;6.0;40.4071094;-3.692008
75952;Comunidad de Madrid;flat;penthouse;198000.0;61.0;1;7.0;40.4363601;-3.6992889
75980;Comunidad de Madrid;flat;penthouse;209500.0;61.0;1;7.0;40.3895915;-3.7154859
76121;Comunidad de Madrid;flat;penthouse;178730.0;62.0;1;0.0;40.3087314;-3.7262045
76142;Comunidad de Madrid;flat;penthouse;295000.0;62.0;1;9.0;40.4024984;-3.6937645
76168;Comunidad de Madrid;flat;penthouse;180000.0;62.0;1;5.0;40.4460027;-3.6683771
76325;Comunidad de Madrid;flat;penthouse;195000.0;62.0;1;5.0;40.4490643;-3.7012076
76403;Comunidad de Madrid;flat;penthouse;260000.0;63.0;1;6.0;40.4462738;-3.7862865
76556;Comunidad de Madrid;flat;penthouse;280000.0;63.0;1;10.0;40.4040882;-3.6824115
76909;Comunidad de Madrid;flat;penthouse;205000.0;64.0;1;8.0;40.4223765;-3.7055279
77155;Comunidad de Madrid;flat;penthouse;231110.0;65.0;1;8.0;40.492911;-3.6178671
77190;Comunidad de Madrid;flat;penthouse;189000.0;65.0;1;8.0;40.4331327;-3.6708646
77414;Comunidad de Madrid;flat;penthouse;130000.0;65.0;1;4.0;40.6766777;-3.614466
77464;Comunidad de Madrid;flat;penthouse;152000.0;65.0;1;5.0;40.381001;-3.6944575
77656;Comunidad de Madrid;flat;penthouse;62500.0;65.0;1;6.0;40.3930637;-3.6694162
77667;Comunidad de Madrid;flat;penthouse;349000.0;65.0;1;7.0;40.4393469;-3.6707457
77798;Comunidad de Madrid;flat;penthouse;249000.0;66.0;1;0.0;40.4648357;-3.7902573
78140;Comunidad de Madrid;flat;penthouse;67000.0;67.0;1;4.0;40.156913;-3.6245809
78171;Comunidad de Madrid;flat;penthouse;220000.0;67.0;1;6.0;40.4187386;-3.7014385
78180;Comunidad de Madrid;flat;penthouse;280000.0;67.0;1;6.0;40.4006269;-3.6680157
78342;Comunidad de Madrid;flat;penthouse;195000.0;68.0;1;5.0;40.4723175;-3.5845158
78400;Comunidad de Madrid;flat;penthouse;158000.0;68.0;1;6.0;40.4307253;-3.6486475
78401;Comunidad de Madrid;flat;penthouse;250000.0;68.0;1;9.0;40.4013265;-3.7052098
78509;Comunidad de Madrid;flat;penthouse;290000.0;69.0;1;11.0;40.4184354;-3.6708039
78562;Comunidad de Madrid;flat;penthouse;181000.0;69.0;1;9.0;40.340564;-3.6847159
78826;Comunidad de Madrid;flat;penthouse;130000.0;70.0;1;4.0;40.6793842;-3.614696
78889;Comunidad de Madrid;flat;penthouse;176800.0;70.0;1;10.0;40.3609948;-3.5972198
78947;Comunidad de Madrid;flat;penthouse;120000.0;70.0;1;4.0;40.6785948;-3.6166673
79051;Comunidad de Madrid;flat;penthouse;130000.0;70.0;1;3.0;40.6771059;-3.6152324
79330;Comunidad de Madrid;flat;penthouse;71000.0;71.0;1;0.0;40.4013737;-3.3620437
79339;Comunidad de Madrid;flat;penthouse;310000.0;71.0;1;9.0;40.48679;-3.65587
79388;Comunidad de Madrid;flat;penthouse;200000.0;71.0;1;10.0;40.3636277;-3.5870992
79488;Comunidad de Madrid;flat;penthouse;231000.0;72.0;1;0.0;40.4993172;-3.6530178
79537;Comunidad de Madrid;flat;penthouse;177884.0;72.0;1;6.0;40.3744356;-3.6263575
79633;Comunidad de Madrid;flat;penthouse;150000.0;73.0;1;4.0;40.4688316;-3.694936
79685;Comunidad de Madrid;flat;penthouse;129400.0;73.0;1;5.0;40.3455573;-3.7159533
79699;Comunidad de Madrid;flat;penthouse;350000.0;73.0;1;8.0;40.4340733;-3.7087093
79763;Comunidad de Madrid;flat;penthouse;185000.0;74.0;1;5.0;40.4607008;-3.7021129
79784;Comunidad de Madrid;flat;penthouse;299000.0;74.0;1;9.0;40.444087;-3.6670479
79939;Comunidad de Madrid;flat;penthouse;290000.0;75.0;1;5.0;40.5346652;-3.6346868
80109;Comunidad de Madrid;flat;penthouse;299000.0;75.0;1;9.0;40.446487;-3.6670479
80143;Comunidad de Madrid;flat;penthouse;175000.0;75.0;1;6.0;40.4008283;-3.6684308
80249;Comunidad de Madrid;flat;penthouse;496525.0;76.0;1;0.0;40.4259278;-3.6768358
80338;Comunidad de Madrid;flat;penthouse;174000.0;77.0;1;7.0;40.2955599;-3.8254199
80404;Comunidad de Madrid;flat;penthouse;205000.0;77.0;1;6.0;40.436904;-3.6730037
80445;Comunidad de Madrid;flat;penthouse;292000.0;78.0;1;4.0;40.539345;-3.6239814
80500;Comunidad de Madrid;flat;penthouse;299000.0;78.0;1;5.0;40.4562868;-3.6598495
80581;Comunidad de Madrid;flat;penthouse;207800.0;79.0;1;0.0;40.4973512;-3.6151955
80601;Comunidad de Madrid;flat;penthouse;270000.0;79.0;1;6.0;40.454301;-3.6594923
80623;Comunidad de Madrid;flat;penthouse;320000.0;80.0;1;9.0;40.4003857;-3.6950301
80682;Comunidad de Madrid;flat;penthouse;535000.0;80.0;1;10.0;40.4601834;-3.6847916
80753;Comunidad de Madrid;flat;penthouse;155000.0;80.0;1;6.0;40.45635;-3.44656
80857;Comunidad de Madrid;flat;penthouse;150000.0;80.0;1;5.0;40.4012931;-3.6605829
80937;Comunidad de Madrid;flat;penthouse;220000.0;81.0;1;5.0;40.4538222;-3.6988299
80998;Comunidad de Madrid;flat;penthouse;350000.0;82.0;1;6.0;40.4060206;-3.6996631
81119;Comunidad de Madrid;flat;penthouse;160000.0;84.0;1;0.0;40.4673658;-3.7025581
81364;Comunidad de Madrid;flat;penthouse;205000.0;87.0;1;11.0;40.3804951;-3.6330749
81523;Comunidad de Madrid;flat;penthouse;340000.0;90.0;1;6.0;40.4060206;-3.7004631
81558;Comunidad de Madrid;flat;penthouse;125000.0;90.0;1;8.0;40.3523303;-3.6874001
81664;Comunidad de Madrid;flat;penthouse;270000.0;93.0;1;7.0;40.3875433;-3.6888337
81680;Comunidad de Madrid;flat;penthouse;295000.0;94.0;1;7.0;40.4015834;-3.688232
81703;Comunidad de Madrid;flat;penthouse;240000.0;95.0;1;8.0;40.4882344;-3.6501967
81724;Comunidad de Madrid;flat;penthouse;185000.0;95.0;1;7.0;40.55594;-3.61737
81730;Comunidad de Madrid;flat;penthouse;560000.0;95.0;1;9.0;40.4279208;-3.6741803
81744;Comunidad de Madrid;flat;penthouse;395000.0;95.0;1;8.0;40.425784;-3.6758447
81811;Comunidad de Madrid;flat;penthouse;280000.0;98.0;1;10.0;40.4000848;-3.6819058
81836;Comunidad de Madrid;flat;penthouse;170000.0;98.0;1;6.0;40.4089998;-3.7317978
81875;Comunidad de Madrid;flat;penthouse;375000.0;100.0;1;8.0;40.444999;-3.7021998
81945;Comunidad de Madrid;flat;penthouse;149700.0;100.0;1;5.0;40.3737816;-3.6232906
81962;Comunidad de Madrid;flat;penthouse;425000.0;100.0;1;6.0;40.4209911;-3.6982414
81989;Comunidad de Madrid;flat;penthouse;600000.0;102.0;1;6.0;40.44015;-3.67867
82062;Comunidad de Madrid;flat;penthouse;390000.0;105.0;1;6.0;40.4576952;-3.6265582
82171;Comunidad de Madrid;flat;penthouse;800000.0;110.0;1;5.0;40.5248224;-3.6451907
82189;Comunidad de Madrid;flat;penthouse;185000.0;110.0;1;5.0;40.4925266;-3.8870587
82241;Comunidad de Madrid;flat;penthouse;385000.0;112.0;1;7.0;40.4186048;-3.703944
82262;Comunidad de Madrid;flat;penthouse;520000.0;113.0;1;8.0;40.426645;-3.6644972
82267;Comunidad de Madrid;flat;penthouse;279000.0;113.0;1;10.0;40.4030882;-3.6828115
82286;Comunidad de Madrid;flat;penthouse;460000.0;115.0;1;6.0;40.4070518;-3.6990536
82360;Comunidad de Madrid;flat;penthouse;737000.0;120.0;1;7.0;40.420518;-3.6896062
82366;Comunidad de Madrid;flat;penthouse;737005.0;120.0;1;9.0;40.4195581;-3.6836278
82371;Comunidad de Madrid;flat;penthouse;189000.0;120.0;1;7.0;40.356895;-3.5149991
82376;Comunidad de Madrid;flat;penthouse;235000.0;120.0;1;4.0;40.4389347;-3.6198996
82377;Comunidad de Madrid;flat;penthouse;620000.0;120.0;1;8.0;40.4289358;-3.7017103
82381;Comunidad de Madrid;flat;penthouse;189000.0;120.0;1;7.0;40.3554692;-3.5122241
82384;Comunidad de Madrid;flat;penthouse;390000.0;120.0;1;8.0;40.427184;-3.6758447
82397;Comunidad de Madrid;flat;penthouse;295000.0;120.0;1;2.0;40.5160757;-3.8807465
82436;Comunidad de Madrid;flat;penthouse;330000.0;123.0;1;6.0;40.4110146;-3.7352543
82439;Comunidad de Madrid;flat;penthouse;325000.0;123.0;1;9.0;40.5079613;-3.67383
82479;Comunidad de Madrid;flat;penthouse;270000.0;127.0;1;9.0;40.4843492;-3.6532342
