index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10148;Comunidad de Madrid;house;independent;109000.0;85.0;0;0.0;40.3889436;-3.6680024
13711;Comunidad de Madrid;house;independent;216000.0;112.0;0;0.0;40.4214297;-3.5341551
21100;Comunidad de Madrid;house;independent;196000.0;202.0;0;0.0;40.36148;-3.25889
26726;Comunidad de Madrid;house;independent;990000.0;400.0;0;0.0;40.4297685;-3.7350061
28269;Comunidad de Madrid;house;independent;3800000.0;550.0;0;0.0;40.4625914;-3.6734339
62578;Comunidad de Madrid;house;independent;120000.0;40.0;1;0.0;40.4695957;-4.0764151
62713;Comunidad de Madrid;house;independent;165000.0;40.0;1;0.0;40.5065442;-3.5331818
64204;Comunidad de Madrid;house;independent;79500.0;43.0;1;0.0;40.3671792;-4.3454986
65070;Comunidad de Madrid;house;independent;360000.0;45.0;1;0.0;40.4747953;-3.5108804
69458;Comunidad de Madrid;house;independent;70000.0;50.0;1;3.0;40.3842014;-4.2519511
78902;Comunidad de Madrid;house;independent;440500.0;70.0;1;0.0;40.1633905;-3.6170577
80912;Comunidad de Madrid;house;independent;75087.0;81.0;1;2.0;40.5977;-4.25864
81449;Comunidad de Madrid;house;independent;47250.0;90.0;1;3.0;40.2742977;-4.3011922
81481;Comunidad de Madrid;house;independent;47250.0;90.0;1;2.0;40.2722325;-4.3032253
81977;Comunidad de Madrid;house;independent;90000.0;101.0;1;0.0;40.3680638;-3.2206771
82272;Comunidad de Madrid;house;independent;487215.0;114.0;1;0.0;40.4282377;-3.786139
82617;Comunidad de Madrid;house;independent;750000.0;145.0;1;0.0;40.4463083;-3.6792647
82982;Comunidad de Madrid;house;independent;395000.0;432.0;1;0.0;40.3871007;-3.9401493
83003;Comunidad de Madrid;house;independent;760000.0;550.0;1;0.0;40.4712199;-3.7453016
83221;Comunidad de Madrid;house;independent;116000.0;35.0;2;0.0;40.3650688;-4.4085652
83310;Comunidad de Madrid;house;independent;27000.0;36.0;2;2.0;40.7159753;-4.0703537
85620;Comunidad de Madrid;house;independent;127000.0;50.0;2;0.0;40.2310648;-4.3030199
85656;Comunidad de Madrid;house;independent;115000.0;50.0;2;0.0;41.0032147;-3.6704951
