index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
82347;Extremadura;countryHouse;village house;33000.0;119.0;1;0.0;40.1196857;-5.5353468
156914;Extremadura;countryHouse;village house;89000.0;110.0;2;0.0;38.3804794;-6.0024065
166889;Extremadura;countryHouse;village house;25000.0;54.0;3;0.0;40.1175718;-5.5202447
197607;Extremadura;countryHouse;village house;37500.0;84.0;3;0.0;38.9272161;-6.3290982
248437;Extremadura;countryHouse;village house;54000.0;109.0;3;0.0;40.1281663;-5.4651632
275031;Extremadura;countryHouse;village house;56000.0;134.0;3;0.0;40.1276942;-5.4646487
287442;Extremadura;countryHouse;village house;79000.0;162.0;3;0.0;40.1281382;-5.46055
344843;Extremadura;countryHouse;village house;70000.0;172.0;4;0.0;39.9785425;-6.0446575
357471;Extremadura;countryHouse;village house;69000.0;231.0;4;0.0;40.1210538;-5.5369467
366273;Extremadura;countryHouse;village house;40000.0;305.0;4;0.0;39.9786787;-6.0416668
373086;Extremadura;countryHouse;village house;59000.0;76.0;5;0.0;40.1261166;-5.4650345
377579;Extremadura;countryHouse;village house;95000.0;180.0;5;0.0;40.1291175;-5.4652005
