index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
129204;Extremadura;flat;duplex;99000.0;80.0;2;Vacio;38.8760345;-6.9635715
138991;Extremadura;flat;duplex;79000.0;85.0;2;4.0;38.8803999;-6.95705
141192;Extremadura;flat;duplex;47000.0;87.0;2;3.0;38.394307;-6.397966
145001;Extremadura;flat;duplex;99000.0;90.0;2;3.0;39.4789723;-6.3775474
149912;Extremadura;flat;duplex;98000.0;95.0;2;Vacio;38.8836926;-6.9832653
151359;Extremadura;flat;duplex;98000.0;98.0;2;6.0;38.8848926;-6.9797653
165493;Extremadura;flat;duplex;102600.0;230.0;2;2.0;38.906103;-6.6235545
210053;Extremadura;flat;duplex;126050.0;90.0;3;0.0;38.88908;-6.981088
210655;Extremadura;flat;duplex;110000.0;90.0;3;Vacio;38.8753806;-6.966815
217305;Extremadura;flat;duplex;51000.0;92.0;3;2.0;38.9279679;-6.6921374
219975;Extremadura;flat;duplex;46589.0;94.0;3;3.0;38.6740966;-6.4030071
232844;Extremadura;flat;duplex;139000.0;100.0;3;3.0;38.8541498;-6.9874988
238172;Extremadura;flat;duplex;126050.0;101.0;3;5.0;38.8914031;-6.9809138
247585;Extremadura;flat;duplex;145000.0;108.0;3;6.0;38.88997;-6.9783744
254250;Extremadura;flat;duplex;199000.0;111.0;3;4.0;38.8805463;-6.9696411
254760;Extremadura;flat;duplex;70000.0;112.0;3;3.0;39.9759609;-6.0408924
254761;Extremadura;flat;duplex;102500.0;112.0;3;2.0;39.980965;-6.0438157
255591;Extremadura;flat;duplex;120000.0;113.0;3;5.0;40.2729023;-5.855954
256379;Extremadura;flat;duplex;140000.0;114.0;3;2.0;38.8980383;-6.6204313
257704;Extremadura;flat;duplex;95000.0;115.0;3;4.0;38.8782409;-6.9518479
258266;Extremadura;flat;duplex;179900.0;115.0;3;3.0;39.4603158;-6.3821632
261641;Extremadura;flat;duplex;120000.0;119.0;3;5.0;40.2729023;-5.855954
262384;Extremadura;flat;duplex;33000.0;120.0;3;2.0;38.9283783;-6.6901226
264247;Extremadura;flat;duplex;195000.0;120.0;3;4.0;38.8762981;-6.9686434
265300;Extremadura;flat;duplex;87000.0;120.0;3;3.0;38.6672963;-6.9749193
267743;Extremadura;flat;duplex;135000.0;123.0;3;6.0;38.885881;-6.9745783
269863;Extremadura;flat;duplex;120000.0;126.0;3;5.0;40.2729023;-5.855954
272440;Extremadura;flat;duplex;250000.0;130.0;3;7.0;38.863473;-6.9805465
276567;Extremadura;flat;duplex;115000.0;136.0;3;3.0;38.8597961;-6.9900508
277308;Extremadura;flat;duplex;179000.0;138.0;3;Vacio;38.8724668;-6.9712622
277423;Extremadura;flat;duplex;135700.0;139.0;3;Vacio;38.427729;-6.4156858
278279;Extremadura;flat;duplex;179000.0;140.0;3;4.0;38.8693668;-6.9728622
280438;Extremadura;flat;duplex;207000.0;144.0;3;4.0;39.472681;-6.3910572
295138;Extremadura;flat;duplex;240000.0;200.0;3;5.0;40.0336731;-6.0803772
308354;Extremadura;flat;duplex;50000.0;88.0;4;2.0;38.8896234;-6.6328836
312932;Extremadura;flat;duplex;192323.0;100.0;4;4.0;38.8775613;-6.9511477
317841;Extremadura;flat;duplex;81000.0;110.0;4;3.0;38.9694602;-5.8067256
319575;Extremadura;flat;duplex;155000.0;112.0;4;3.0;38.8735366;-6.9581847
323278;Extremadura;flat;duplex;250000.0;120.0;4;6.0;38.8427617;-6.9786394
323746;Extremadura;flat;duplex;360000.0;120.0;4;2.0;38.8743532;-6.9667528
331109;Extremadura;flat;duplex;183470.0;135.0;4;Vacio;38.8692791;-6.9665138
331222;Extremadura;flat;duplex;398000.0;135.0;4;11.0;39.469733;-6.3804456
331411;Extremadura;flat;duplex;240000.0;135.0;4;5.0;38.8704154;-6.9782059
331735;Extremadura;flat;duplex;75000.0;136.0;4;2.0;38.9296624;-6.6960932
332109;Extremadura;flat;duplex;145000.0;137.0;4;4.0;38.8801552;-6.9620036
333539;Extremadura;flat;duplex;169000.0;140.0;4;2.0;38.8801636;-6.9499549
333541;Extremadura;flat;duplex;215000.0;140.0;4;5.0;38.8784343;-6.9758855
335016;Extremadura;flat;duplex;185000.0;143.0;4;5.0;38.8789494;-6.9583451
339561;Extremadura;flat;duplex;245000.0;154.0;4;Vacio;38.8831604;-6.9541362
341328;Extremadura;flat;duplex;175000.0;160.0;4;7.0;39.4543719;-6.3810713
347104;Extremadura;flat;duplex;150000.0;180.0;4;3.0;38.876743;-6.9707378
347307;Extremadura;flat;duplex;155000.0;180.0;4;3.0;38.880743;-6.9705378
348253;Extremadura;flat;duplex;210000.0;185.0;4;3.0;38.8426264;-6.9780803
375907;Extremadura;flat;duplex;155000.0;155.0;5;7.0;39.4535992;-6.3788322
377546;Extremadura;flat;duplex;159000.0;180.0;5;4.0;39.48173;-6.37669
377658;Extremadura;flat;duplex;198000.0;180.0;5;0.0;38.8432056;-6.9685968
377756;Extremadura;flat;duplex;315000.0;180.0;5;Vacio;38.8805178;-6.9736621
380917;Extremadura;flat;duplex;295000.0;217.0;5;Vacio;38.8419293;-6.9742207
396118;Extremadura;flat;duplex;70000.0;168.0;6;3.0;38.9191919;-6.4812181
