index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
83123;Extremadura;house;terraced house;12000.0;30.0;2;0.0;40.1207807;-5.4935298
139354;Extremadura;house;terraced house;40000.0;85.0;2;0.0;38.8761958;-6.9542612
145704;Extremadura;house;terraced house;50000.0;90.0;2;0.0;38.8763494;-6.9502996
145705;Extremadura;house;terraced house;50000.0;90.0;2;0.0;38.8759494;-6.9541996
146034;Extremadura;house;terraced house;207583.0;90.0;2;0.0;38.862154;-6.9895206
152442;Extremadura;house;terraced house;110000.0;100.0;2;0.0;40.0217605;-6.0964348
158578;Extremadura;house;terraced house;80000.0;116.0;2;3.0;38.9580488;-5.8551962
160698;Extremadura;house;terraced house;110952.0;125.0;2;0.0;38.8734658;-6.952273
163257;Extremadura;house;terraced house;31000.0;150.0;2;0.0;38.9293152;-6.3292603
184791;Extremadura;house;terraced house;35000.0;76.0;3;0.0;38.6200432;-6.6241222
205308;Extremadura;house;terraced house;21450.0;87.0;3;0.0;38.7291145;-6.5369851
210410;Extremadura;house;terraced house;104500.0;90.0;3;0.0;39.9730947;-6.2657385
214065;Extremadura;house;terraced house;108000.0;90.0;3;0.0;38.6845443;-7.1006661
219402;Extremadura;house;terraced house;75000.0;93.0;3;0.0;39.4765424;-6.3664571
223050;Extremadura;house;terraced house;84000.0;95.0;3;0.0;39.4938305;-6.3675214
224236;Extremadura;house;terraced house;175000.0;95.0;3;0.0;38.9193978;-6.9383677
224237;Extremadura;house;terraced house;157260.0;95.0;3;0.0;38.8766151;-6.9582204
224239;Extremadura;house;terraced house;93000.0;95.0;3;0.0;38.8827932;-6.8769796
227485;Extremadura;house;terraced house;37500.0;97.0;3;0.0;38.8756494;-6.9550582
232850;Extremadura;house;terraced house;125000.0;100.0;3;0.0;38.87571;-6.9541
233223;Extremadura;house;terraced house;38000.0;100.0;3;0.0;39.4736616;-6.3679389
233892;Extremadura;house;terraced house;115000.0;100.0;3;0.0;39.4968806;-6.3684619
