index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
12699;Galicia;countryHouse;Vacio;55000.0;104.0;0;0.0;42.9970845;-8.3962007
19544;Galicia;countryHouse;Vacio;50000.0;180.0;0;0.0;42.9114305;-8.0209299
21308;Galicia;countryHouse;Vacio;41200.0;207.0;0;0.0;43.5378127;-8.0700046
22433;Galicia;countryHouse;Vacio;39000.0;230.0;0;0.0;43.1246498;-8.1487172
23147;Galicia;countryHouse;Vacio;45000.0;250.0;0;0.0;42.4729386;-7.2720678
24171;Galicia;countryHouse;Vacio;320000.0;280.0;0;0.0;43.322885;-8.2331016
24219;Galicia;countryHouse;Vacio;24000.0;280.0;0;0.0;43.6831622;-7.8521653
24793;Galicia;countryHouse;Vacio;27000.0;300.0;0;0.0;43.7431104;-7.8724875
28285;Galicia;countryHouse;Vacio;60000.0;550.0;0;0.0;42.4596222;-7.5835324
29156;Galicia;countryHouse;Vacio;685000.0;690.0;0;0.0;42.1006176;-8.7451052
79056;Galicia;countryHouse;Vacio;36000.0;70.0;1;0.0;42.8533824;-8.0631163
81934;Galicia;countryHouse;Vacio;248000.0;100.0;1;0.0;42.1129378;-8.8016273
82997;Galicia;countryHouse;Vacio;25000.0;500.0;1;0.0;42.1843791;-8.5037228
83038;Galicia;countryHouse;Vacio;23000.0;990.0;1;0.0;42.1617678;-8.8061472
90726;Galicia;countryHouse;Vacio;95000.0;57.0;2;0.0;41.901575;-8.8755137
102364;Galicia;countryHouse;Vacio;115900.0;65.0;2;0.0;43.3182683;-8.3393262
145041;Galicia;countryHouse;Vacio;110000.0;90.0;2;0.0;43.2064273;-7.3986858
149827;Galicia;countryHouse;Vacio;108000.0;95.0;2;0.0;43.1597502;-8.2251777
155488;Galicia;countryHouse;Vacio;49441.0;105.0;2;0.0;42.4689736;-8.4804506
157126;Galicia;countryHouse;Vacio;145000.0;110.0;2;2.0;42.7363817;-8.6617519
159856;Galicia;countryHouse;Vacio;81000.0;120.0;2;0.0;42.30195;-7.86972
161390;Galicia;countryHouse;Vacio;135000.0;130.0;2;0.0;43.2938301;-8.8746832
161840;Galicia;countryHouse;Vacio;105000.0;133.0;2;0.0;42.3222373;-8.4395635
163199;Galicia;countryHouse;Vacio;134000.0;148.0;2;0.0;42.6022871;-8.6483086
163778;Galicia;countryHouse;Vacio;76500.0;155.0;2;0.0;42.0908373;-8.77962
165408;Galicia;countryHouse;Vacio;206000.0;220.0;2;2.0;42.764447;-8.7056429
165551;Galicia;countryHouse;Vacio;135000.0;236.0;2;0.0;43.47676;-8.13693
199763;Galicia;countryHouse;Vacio;103000.0;85.0;3;0.0;42.428474;-8.8253714
