index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32642;Galicia;garage;Vacio;22000.0;0.0;0;0.0;43.3612176;-8.4026692
32688;Galicia;garage;Vacio;16000.0;0.0;0;0.0;42.3256706;-7.874821
32714;Galicia;garage;Vacio;1200000.0;0.0;0;0.0;43.1228597;-7.0673069
32730;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9063449;-8.0183986
32732;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9023449;-8.0173986
32739;Galicia;garage;Vacio;6000.0;0.0;0;0.0;43.3171372;-8.3711776
32818;Galicia;garage;Vacio;4000.0;0.0;0;0.0;41.9457222;-8.7666388
32844;Galicia;garage;Vacio;4000.0;0.0;0;0.0;41.9438222;-8.7664388
32857;Galicia;garage;Vacio;6000.0;0.0;0;0.0;43.3175372;-8.3711776
32897;Galicia;garage;Vacio;4000.0;0.0;0;0.0;41.9478222;-8.7647388
32932;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9023449;-8.0171986
32933;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9054449;-8.0188986
32935;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9023449;-8.0160986
32995;Galicia;garage;Vacio;7000.0;0.0;0;2.0;43.471028;-8.1710825
33012;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9063449;-8.0169986
33022;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9023449;-8.0158986
33066;Galicia;garage;Vacio;7000.0;0.0;0;2.0;43.469528;-8.1670825
33099;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9063449;-8.0187986
33100;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9023449;-8.0187986
33106;Galicia;garage;Vacio;4000.0;0.0;0;0.0;42.9057449;-8.0188986
33254;Galicia;garage;Vacio;5000.0;0.0;0;0.0;43.0140699;-7.5651023
33270;Galicia;garage;Vacio;12000.0;0.0;0;0.0;42.5850576;-8.9742237
33913;Galicia;garage;Vacio;14900.0;0.0;0;0.0;42.6627189;-8.1074559
33914;Galicia;garage;Vacio;12200.0;0.0;0;0.0;42.6660189;-8.1074559
33915;Galicia;garage;Vacio;12500.0;0.0;0;0.0;42.6666189;-8.1112559
33916;Galicia;garage;Vacio;13500.0;0.0;0;0.0;42.6643189;-8.1114559
33917;Galicia;garage;Vacio;14900.0;0.0;0;0.0;42.6626189;-8.1088559
33918;Galicia;garage;Vacio;13900.0;0.0;0;0.0;42.6649189;-8.1074559
33919;Galicia;garage;Vacio;13900.0;0.0;0;0.0;42.6647189;-8.1114559
33920;Galicia;garage;Vacio;12750.0;0.0;0;0.0;42.6666189;-8.1105559
33921;Galicia;garage;Vacio;14500.0;0.0;0;0.0;42.6632189;-8.1074559
33922;Galicia;garage;Vacio;12900.0;0.0;0;0.0;42.6666189;-8.1083559
33923;Galicia;garage;Vacio;13900.0;0.0;0;0.0;42.6656189;-8.1074559
33924;Galicia;garage;Vacio;13500.0;0.0;0;0.0;42.6666189;-8.1107559
33925;Galicia;garage;Vacio;14900.0;0.0;0;0.0;42.6626189;-8.1075559
34324;Galicia;garage;Vacio;6000.0;0.0;0;0.0;42.5255822;-9.0216896
34325;Galicia;garage;Vacio;6000.0;0.0;0;0.0;42.5252822;-9.0216896
34326;Galicia;garage;Vacio;6000.0;0.0;0;0.0;42.5283822;-9.0176896
34896;Galicia;garage;Vacio;4500.0;0.0;0;0.0;43.5721997;-7.2644999
34897;Galicia;garage;Vacio;4500.0;0.0;0;0.0;43.5738997;-7.2626999
34898;Galicia;garage;Vacio;4500.0;0.0;0;0.0;43.5721997;-7.2659999
34899;Galicia;garage;Vacio;4500.0;0.0;0;0.0;43.5761997;-7.2662999
34900;Galicia;garage;Vacio;4500.0;0.0;0;0.0;43.5721997;-7.2663999
