index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
73;Galicia;premise;Vacio;11700.0;13.0;0;2.0;42.8652164;-8.5420891
79;Galicia;premise;Vacio;19500.0;13.0;0;0.0;42.3489359;-7.8775217
99;Galicia;premise;Vacio;30000.0;14.0;0;2.0;42.21755;-8.7400896
227;Galicia;premise;Vacio;35000.0;19.0;0;2.0;43.3704205;-8.4201735
266;Galicia;premise;Vacio;40000.0;20.0;0;0.0;43.3455111;-8.3437008
282;Galicia;premise;Vacio;39000.0;20.0;0;2.0;43.3613222;-8.4087625
300;Galicia;premise;Vacio;13255.0;20.0;0;2.0;43.3146985;-8.3552549
399;Galicia;premise;Vacio;15000.0;24.0;0;2.0;42.3395277;-7.8700709
453;Galicia;premise;Vacio;152000.0;24.0;0;0.0;43.359053;-8.402442
458;Galicia;premise;Vacio;60000.0;24.0;0;2.0;43.2932134;-8.3465263
550;Galicia;premise;Vacio;30000.0;25.0;0;2.0;42.3356169;-7.8679453
575;Galicia;premise;Vacio;28000.0;25.0;0;2.0;43.3184808;-8.358636
637;Galicia;premise;Vacio;26000.0;26.0;0;0.0;43.3483423;-8.4105966
641;Galicia;premise;Vacio;30000.0;26.0;0;2.0;43.3439392;-8.411066
768;Galicia;premise;Vacio;25000.0;29.0;0;2.0;43.2856265;-8.2129193
903;Galicia;premise;Vacio;55000.0;30.0;0;2.0;43.31825;-8.36909
1029;Galicia;premise;Vacio;65000.0;30.0;0;2.0;42.8582296;-8.6586393
1090;Galicia;premise;Vacio;13000.0;30.0;0;0.0;42.3368663;-7.8654628
1092;Galicia;premise;Vacio;60000.0;30.0;0;3.0;42.2288688;-8.7149051
1094;Galicia;premise;Vacio;50000.0;30.0;0;2.0;43.3177846;-8.3685106
1095;Galicia;premise;Vacio;25000.0;30.0;0;2.0;43.2856265;-8.2129193
1204;Galicia;premise;Vacio;35000.0;32.0;0;2.0;43.3563351;-8.4012487
1271;Galicia;premise;Vacio;45000.0;32.0;0;2.0;43.3163022;-8.3715196
1352;Galicia;premise;Vacio;62000.0;33.0;0;0.0;43.3624185;-8.4077641
1395;Galicia;premise;Vacio;65000.0;33.0;0;2.0;43.3481731;-8.3997509
1568;Galicia;premise;Vacio;18000.0;35.0;0;3.0;42.56281;-8.82572
1774;Galicia;premise;Vacio;90000.0;35.0;0;2.0;42.2501248;-8.6945459
1795;Galicia;premise;Vacio;45000.0;35.0;0;2.0;43.3465317;-8.4011873
1796;Galicia;premise;Vacio;95000.0;35.0;0;2.0;43.37249;-8.4023018
1913;Galicia;premise;Vacio;37900.0;36.0;0;2.0;43.3622624;-8.4117039
1974;Galicia;premise;Vacio;60000.0;36.0;0;3.0;42.2266688;-8.7146051
2087;Galicia;premise;Vacio;38100.0;38.0;0;2.0;42.8575058;-8.655277
2173;Galicia;premise;Vacio;65000.0;38.0;0;2.0;43.3711099;-8.4033563
2213;Galicia;premise;Vacio;350000.0;38.4;0;2.0;43.2138739;-8.6892545
2385;Galicia;premise;Vacio;118000.0;40.0;0;2.0;42.1432619;-8.8225548
2633;Galicia;premise;Vacio;59900.0;40.0;0;2.0;42.3381525;-7.8627194
2686;Galicia;premise;Vacio;160000.0;40.0;0;0.0;43.3637923;-8.4083799
2707;Galicia;premise;Vacio;39000.0;40.0;0;0.0;43.357942;-8.4090984
2744;Galicia;premise;Vacio;53000.0;40.0;0;2.0;43.3238489;-8.3825844
2752;Galicia;premise;Vacio;19900.0;40.0;0;0.0;42.34786;-7.8672363
2903;Galicia;premise;Vacio;60000.0;41.0;0;2.0;43.2934134;-8.3465263
3041;Galicia;premise;Vacio;20000.0;42.0;0;2.0;42.2354413;-8.7097252
3102;Galicia;premise;Vacio;69000.0;43.0;0;0.0;42.1588015;-8.6200864
3302;Galicia;premise;Vacio;25000.0;44.0;0;0.0;42.3403426;-7.8547335
3305;Galicia;premise;Vacio;155000.0;44.0;0;2.0;43.3758718;-8.4261058
3495;Galicia;premise;Vacio;125000.0;45.0;0;12.0;43.3704194;-8.4041059
3503;Galicia;premise;Vacio;75000.0;45.0;0;2.0;43.3771296;-8.4073494
3531;Galicia;premise;Vacio;79000.0;45.0;0;2.0;42.3197617;-7.8600291
3597;Galicia;premise;Vacio;50000.0;45.0;0;2.0;42.1179091;-8.8108755
3699;Galicia;premise;Vacio;23300.0;46.0;0;2.0;43.4827747;-8.2240442
3753;Galicia;premise;Vacio;75000.0;46.0;0;3.0;42.4316933;-8.6481715
3770;Galicia;premise;Vacio;60000.0;47.0;0;2.0;43.0104643;-7.5496786
3837;Galicia;premise;Vacio;65000.0;47.0;0;2.0;42.2328434;-8.709415
3841;Galicia;premise;Vacio;24000.0;47.0;0;0.0;43.4900185;-8.2212444
3973;Galicia;premise;Vacio;87000.0;48.0;0;3.0;42.8813968;-8.5309612
4025;Galicia;premise;Vacio;20000.0;49.0;0;1.0;42.560195;-8.9927648
4038;Galicia;premise;Vacio;68100.0;49.0;0;2.0;42.8658;-8.5571888
4158;Galicia;premise;Vacio;150000.0;50.0;0;2.0;43.32179;-8.8148832
4299;Galicia;premise;Vacio;68000.0;50.0;0;2.0;42.8710136;-8.5566071
4517;Galicia;premise;Vacio;57000.0;50.0;0;0.0;43.3728691;-8.3996137
4518;Galicia;premise;Vacio;110000.0;50.0;0;0.0;43.3694057;-8.4027961
4569;Galicia;premise;Vacio;55000.0;50.0;0;2.0;43.3043291;-8.3569659
4570;Galicia;premise;Vacio;60000.0;50.0;0;2.0;43.313035;-8.3560446
4571;Galicia;premise;Vacio;70000.0;50.0;0;2.0;43.3199202;-8.3566198
4575;Galicia;premise;Vacio;50000.0;50.0;0;2.0;43.3786367;-8.401828
4590;Galicia;premise;Vacio;96000.0;50.0;0;2.0;43.3495806;-8.4056554
4720;Galicia;premise;Vacio;120000.0;51.0;0;2.0;43.3660111;-8.422205
4722;Galicia;premise;Vacio;27000.0;51.0;0;2.0;42.1724341;-8.5084748
4739;Galicia;premise;Vacio;73500.0;52.0;0;2.0;43.0110578;-7.5683175
4805;Galicia;premise;Vacio;29200.0;52.0;0;2.0;43.3797535;-8.4004991
4945;Galicia;premise;Vacio;112500.0;53.0;0;2.0;43.3676416;-8.4035843
4982;Galicia;premise;Vacio;96500.0;54.0;0;2.0;42.8698;-8.5575888
4984;Galicia;premise;Vacio;59900.0;54.0;0;2.0;43.33082;-8.41244
5007;Galicia;premise;Vacio;4500.0;54.0;0;3.0;42.6493209;-8.8186571
5053;Galicia;premise;Vacio;94300.0;54.0;0;2.0;43.0158461;-7.5592244
5078;Galicia;premise;Vacio;90000.0;54.0;0;2.0;42.2158777;-8.7479695
5163;Galicia;premise;Vacio;47400.0;55.0;0;2.0;43.4846619;-8.2325409
5231;Galicia;premise;Vacio;75000.0;55.0;0;2.0;42.2107248;-8.7318822
5276;Galicia;premise;Vacio;65000.0;55.0;0;3.0;42.9550945;-9.1891631
5291;Galicia;premise;Vacio;170000.0;55.0;0;3.0;42.2641912;-8.7825066
5294;Galicia;premise;Vacio;75000.0;55.0;0;0.0;43.3597856;-8.4219314
5300;Galicia;premise;Vacio;200000.0;55.0;0;7.0;42.8628256;-8.5462578
5306;Galicia;premise;Vacio;69000.0;55.0;0;2.0;42.3421525;-7.8632194
5353;Galicia;premise;Vacio;70000.0;55.0;0;2.0;42.2346091;-8.7293943
5383;Galicia;premise;Vacio;80000.0;55.0;0;2.0;42.2309535;-8.7102596
5393;Galicia;premise;Vacio;55000.0;55.0;0;2.0;42.1652686;-8.6199873
5424;Galicia;premise;Vacio;45000.0;56.0;0;0.0;43.4735732;-8.1698557
5444;Galicia;premise;Vacio;100500.0;56.0;0;2.0;42.8671;-8.5568888
5604;Galicia;premise;Vacio;80340.0;57.0;0;2.0;43.2892683;-8.340832
5637;Galicia;premise;Vacio;104200.0;58.0;0;2.0;42.8688;-8.5608888
5663;Galicia;premise;Vacio;158000.0;58.0;0;2.0;43.3617279;-8.4062479
5708;Galicia;premise;Vacio;40000.0;58.0;0;2.0;42.2330602;-8.7087812
5771;Galicia;premise;Vacio;130000.0;59.0;0;2.0;43.3700725;-8.4039269
5806;Galicia;premise;Vacio;39000.0;60.0;0;0.0;42.99635;-7.54877
5975;Galicia;premise;Vacio;26000.0;60.0;0;2.0;43.4979706;-8.1902502
6059;Galicia;premise;Vacio;67500.0;60.0;0;2.0;43.3148685;-8.3672558
6189;Galicia;premise;Vacio;70000.0;60.0;0;2.0;42.2174995;-8.7338772
6190;Galicia;premise;Vacio;50000.0;60.0;0;2.0;42.2293657;-8.708895
6232;Galicia;premise;Vacio;72000.0;60.0;0;1.0;43.3582834;-8.408948
6307;Galicia;premise;Vacio;58500.0;61.0;0;3.0;42.4357979;-8.6619579
6366;Galicia;premise;Vacio;30000.0;62.0;0;2.0;42.66628;-8.10718
6371;Galicia;premise;Vacio;156000.0;62.0;0;0.0;42.8891682;-8.5316446
6385;Galicia;premise;Vacio;110300.0;62.0;0;2.0;42.8698;-8.5607888
6435;Galicia;premise;Vacio;95000.0;62.0;0;2.0;43.3805984;-8.3989679
6444;Galicia;premise;Vacio;68000.0;62.0;0;0.0;43.3618444;-8.4209408
6516;Galicia;premise;Vacio;57000.0;63.0;0;2.0;42.864557;-8.5422789
6542;Galicia;premise;Vacio;110000.0;63.0;0;3.0;43.3553332;-8.3984327
6546;Galicia;premise;Vacio;80000.0;63.0;0;2.0;42.2372974;-8.7151683
6555;Galicia;premise;Vacio;97000.0;63.0;0;2.0;43.2931877;-8.3444084
6638;Galicia;premise;Vacio;51000.0;64.0;0;2.0;43.0144824;-7.5633436
6659;Galicia;premise;Vacio;102000.0;64.0;0;2.0;43.3510581;-8.2553034
6720;Galicia;premise;Vacio;47400.0;65.0;0;2.0;43.4859934;-8.2305656
6733;Galicia;premise;Vacio;32700.0;65.0;0;3.0;42.6472024;-8.8814686
6849;Galicia;premise;Vacio;240000.0;65.0;0;2.0;42.8715126;-8.5535653
6861;Galicia;premise;Vacio;35000.0;65.0;0;2.0;43.3568066;-8.4159555
6918;Galicia;premise;Vacio;132000.0;65.0;0;2.0;42.2284532;-8.7114578
6936;Galicia;premise;Vacio;90000.0;65.0;0;3.0;42.2289605;-8.705626
6939;Galicia;premise;Vacio;40000.0;65.0;0;2.0;43.3157735;-8.3552396
7123;Galicia;premise;Vacio;100000.0;67.0;0;2.0;43.277872;-8.2105149
7144;Galicia;premise;Vacio;230000.0;67.0;0;2.0;43.0106779;-7.5530274
7182;Galicia;premise;Vacio;75000.0;68.0;0;2.0;42.1601591;-8.618037
7183;Galicia;premise;Vacio;40000.0;68.0;0;2.0;43.4921895;-8.2173323
7277;Galicia;premise;Vacio;114000.0;68.0;0;2.0;43.3388527;-8.339588
7294;Galicia;premise;Vacio;72000.0;68.0;0;2.0;43.277606;-8.2065481
7420;Galicia;premise;Vacio;75000.0;69.0;0;2.0;43.3672973;-8.4168468
7429;Galicia;premise;Vacio;40000.0;70.0;0;2.0;43.0936352;-8.9064597
7441;Galicia;premise;Vacio;55000.0;70.0;0;2.0;42.3437664;-7.8700817
7443;Galicia;premise;Vacio;42000.0;70.0;0;2.0;42.665701;-8.124518
7469;Galicia;premise;Vacio;80000.0;70.0;0;0.0;42.8633779;-8.5417643
7583;Galicia;premise;Vacio;49800.0;70.0;0;1.0;43.6668698;-7.8177601
7659;Galicia;premise;Vacio;90000.0;70.0;0;0.0;43.2862258;-8.3897862
7674;Galicia;premise;Vacio;73900.0;70.0;0;2.0;43.3602918;-8.4115118
7726;Galicia;premise;Vacio;68000.0;70.0;0;2.0;42.99427;-9.05078
7727;Galicia;premise;Vacio;160000.0;70.0;0;2.0;43.3704686;-8.403191
7736;Galicia;premise;Vacio;140000.0;70.0;0;2.0;42.80027;-8.58747
7737;Galicia;premise;Vacio;103000.0;70.0;0;2.0;42.9671754;-8.4484601
7771;Galicia;premise;Vacio;250000.0;70.0;0;2.0;42.2355288;-8.7230079
7772;Galicia;premise;Vacio;60000.0;70.0;0;1.0;42.2262102;-8.7150921
7801;Galicia;premise;Vacio;280000.0;70.0;0;0.0;43.3755148;-8.4020501
7833;Galicia;premise;Vacio;2000000.0;70.0;0;2.0;43.3549071;-8.4103363
7840;Galicia;premise;Vacio;140000.0;70.0;0;2.0;43.0457544;-9.1907516
7847;Galicia;premise;Vacio;90000.0;70.0;0;3.0;42.2248688;-8.7150051
7848;Galicia;premise;Vacio;90000.0;70.0;0;3.0;42.2288688;-8.7167051
