index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61076;Islas Baleares;countryHouse;farmhouse;84000.0;30.0;1;0.0;39.5881108;2.9127379
79153;Islas Baleares;countryHouse;farmhouse;142000.0;70.0;1;0.0;39.7719127;2.9514108
81908;Islas Baleares;countryHouse;farmhouse;650000.0;100.0;1;0.0;39.4256412;2.7851069
81965;Islas Baleares;countryHouse;farmhouse;150000.0;100.0;1;0.0;39.7771863;3.0218762
82657;Islas Baleares;countryHouse;farmhouse;210000.0;154.0;1;2.0;39.7198917;2.9438101
83004;Islas Baleares;countryHouse;farmhouse;500000.0;553.0;1;0.0;39.8734349;3.0213204
84010;Islas Baleares;countryHouse;farmhouse;162700.0;45.0;2;0.0;39.4190303;3.01757
112307;Islas Baleares;countryHouse;farmhouse;157000.0;70.0;2;0.0;39.8060886;3.0534848
139253;Islas Baleares;countryHouse;farmhouse;295000.0;85.0;2;2.0;39.5756343;2.8626145
145928;Islas Baleares;countryHouse;farmhouse;190000.0;90.0;2;2.0;39.5921108;2.9095379
165885;Islas Baleares;countryHouse;farmhouse;210000.0;300.0;2;0.0;39.4255829;3.02344
264621;Islas Baleares;countryHouse;farmhouse;210000.0;120.0;3;0.0;39.7976859;3.0646199
273284;Islas Baleares;countryHouse;farmhouse;220000.0;130.0;3;2.0;39.5465578;2.8946594
290481;Islas Baleares;countryHouse;farmhouse;1050000.0;175.0;3;0.0;39.8552677;3.1223239
291666;Islas Baleares;countryHouse;farmhouse;395000.0;180.0;3;0.0;39.4958431;2.8838676
295043;Islas Baleares;countryHouse;farmhouse;900000.0;200.0;3;0.0;39.380328;2.870089
298584;Islas Baleares;countryHouse;farmhouse;450000.0;224.0;3;2.0;39.5608319;2.8937379
301995;Islas Baleares;countryHouse;farmhouse;265000.0;265.0;3;3.0;39.6864025;2.846633
303588;Islas Baleares;countryHouse;farmhouse;500000.0;300.0;3;2.0;39.6864025;2.845033
329492;Islas Baleares;countryHouse;farmhouse;195000.0;130.0;4;2.0;39.5635501;2.8932094
347057;Islas Baleares;countryHouse;farmhouse;1150000.0;180.0;4;0.0;39.6903455;2.8008849
361799;Islas Baleares;countryHouse;farmhouse;850000.0;260.0;4;0.0;39.6493579;2.7804725
368030;Islas Baleares;countryHouse;farmhouse;1500000.0;343.0;4;0.0;39.8512677;3.1235239
371945;Islas Baleares;countryHouse;farmhouse;850000.0;500.0;4;0.0;39.4868862;2.8962948
376989;Islas Baleares;countryHouse;farmhouse;230000.0;170.0;5;2.0;39.6503228;2.7757193
377838;Islas Baleares;countryHouse;farmhouse;495000.0;180.0;5;0.0;39.8563892;3.1092473
388621;Islas Baleares;countryHouse;farmhouse;1575000.0;335.0;5;0.0;39.8491429;3.1437929
394907;Islas Baleares;countryHouse;farmhouse;2200000.0;700.0;5;0.0;39.6492146;2.5419106
395319;Islas Baleares;countryHouse;farmhouse;2100000.0;875.0;5;0.0;39.8508434;3.1513754
395758;Islas Baleares;countryHouse;farmhouse;420000.0;130.0;6;0.0;39.8305558;3.0778774
402429;Islas Baleares;countryHouse;farmhouse;1500000.0;630.0;6;0.0;39.5398603;2.7070578
407042;Islas Baleares;countryHouse;farmhouse;580000.0;565.0;8;0.0;39.5737305;2.6622899
408672;Islas Baleares;countryHouse;farmhouse;2000000.0;2700.0;10;5.0;39.5690558;2.759996
408975;Islas Baleares;countryHouse;farmhouse;636000.0;600.0;18;0.0;39.4893177;2.8909433
409041;Islas Baleares;countryHouse;farmhouse;1800000.0;931.0;30;0.0;39.5001866;2.753462
