index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5860;Islas Baleares;countryHouse;village house;165000.0;60.0;0;0.0;39.70528;3.0065993
13834;Islas Baleares;countryHouse;village house;210000.0;114.0;0;0.0;39.6500578;2.7729373
30029;Islas Baleares;countryHouse;village house;800000.0;900.0;0;0.0;39.570221;2.6533757
30836;Islas Baleares;countryHouse;village house;1500000.0;1248.0;0;0.0;39.5666185;2.6555437
68859;Islas Baleares;countryHouse;village house;130000.0;50.0;1;0.0;39.5635392;2.6048085
72644;Islas Baleares;countryHouse;village house;115000.0;55.0;1;0.0;39.711756;2.6250379
82861;Islas Baleares;countryHouse;village house;180000.0;250.0;1;0.0;39.432579;3.0189403
144471;Islas Baleares;countryHouse;village house;130000.0;90.0;2;0.0;39.7096177;2.6252771
148568;Islas Baleares;countryHouse;village house;190000.0;94.0;2;2.0;39.7088645;2.7805281
153758;Islas Baleares;countryHouse;village house;85000.0;100.0;2;0.0;39.7486098;2.8746564
157867;Islas Baleares;countryHouse;village house;199000.0;113.0;2;0.0;39.5622687;2.8931942
159346;Islas Baleares;countryHouse;village house;355000.0;120.0;2;0.0;39.8755181;4.2919613
160059;Islas Baleares;countryHouse;village house;150000.0;120.0;2;0.0;39.6439543;2.8921423
160673;Islas Baleares;countryHouse;village house;168000.0;125.0;2;0.0;39.6474992;2.8974168
161944;Islas Baleares;countryHouse;village house;595000.0;135.0;2;0.0;38.9068532;1.4379595
163571;Islas Baleares;countryHouse;village house;199000.0;150.0;2;0.0;39.7701221;2.9650232
163783;Islas Baleares;countryHouse;village house;103929.0;155.0;2;0.0;39.9333953;4.1410481
164153;Islas Baleares;countryHouse;village house;255000.0;163.0;2;0.0;39.5739261;2.4153739
165326;Islas Baleares;countryHouse;village house;288750.0;213.0;2;0.0;39.5662351;2.6850623
165373;Islas Baleares;countryHouse;village house;550000.0;220.0;2;0.0;38.9831647;1.5298033
165544;Islas Baleares;countryHouse;village house;148000.0;235.0;2;0.0;39.4896447;2.8893787
165843;Islas Baleares;countryHouse;village house;249500.0;287.0;2;0.0;39.4894493;2.8864191
237444;Islas Baleares;countryHouse;village house;225000.0;100.0;3;0.0;39.569912;2.4231786
262311;Islas Baleares;countryHouse;village house;420000.0;120.0;3;0.0;39.8824388;3.0143628
266452;Islas Baleares;countryHouse;village house;255000.0;121.0;3;0.0;39.8540088;3.121058
269341;Islas Baleares;countryHouse;village house;240000.0;125.0;3;0.0;39.48786;2.89514
272029;Islas Baleares;countryHouse;village house;184000.0;130.0;3;0.0;39.9986869;3.8434336
273082;Islas Baleares;countryHouse;village house;68000.0;130.0;3;0.0;39.7184602;2.8653519
276224;Islas Baleares;countryHouse;village house;189000.0;136.0;3;0.0;39.7046588;2.7901363
278610;Islas Baleares;countryHouse;village house;273000.0;140.0;3;0.0;39.64473;2.75202
279657;Islas Baleares;countryHouse;village house;147000.0;141.0;3;0.0;39.6384236;2.8622398
279849;Islas Baleares;countryHouse;village house;195000.0;142.0;3;0.0;39.4873411;2.8941042
281320;Islas Baleares;countryHouse;village house;130000.0;146.0;3;0.0;39.7172487;2.910138
281793;Islas Baleares;countryHouse;village house;185600.0;148.0;3;2.0;39.4855652;2.8893749
282052;Islas Baleares;countryHouse;village house;295000.0;150.0;3;0.0;39.5723914;2.4181001
282708;Islas Baleares;countryHouse;village house;350000.0;150.0;3;2.0;39.5867494;2.6129305
286779;Islas Baleares;countryHouse;village house;241500.0;160.0;3;0.0;39.4928422;2.8915786
288976;Islas Baleares;countryHouse;village house;240000.0;170.0;3;0.0;39.3172741;2.993808
289457;Islas Baleares;countryHouse;village house;150000.0;170.0;3;0.0;39.5421788;2.7682033
289693;Islas Baleares;countryHouse;village house;155000.0;170.0;3;0.0;39.6837292;2.8488744
291119;Islas Baleares;countryHouse;village house;375500.0;180.0;3;0.0;39.5929156;2.6161388
291316;Islas Baleares;countryHouse;village house;338000.0;180.0;3;0.0;39.3375035;3.0485601
294093;Islas Baleares;countryHouse;village house;150000.0;192.0;3;0.0;39.4907652;2.8918208
