index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
513;Islas Baleares;flat;duplex;130000.0;25.0;0;Vacio;39.5705813;2.6411135
62880;Islas Baleares;flat;duplex;168000.0;40.0;1;4.0;38.9305707;1.2601447
68551;Islas Baleares;flat;duplex;180000.0;50.0;1;2.0;38.9057899;1.4378055
72888;Islas Baleares;flat;duplex;325000.0;56.0;1;3.0;39.569014;2.6521622
74469;Islas Baleares;flat;duplex;90000.0;60.0;1;2.0;40.0139278;4.1867608
75488;Islas Baleares;flat;duplex;340000.0;60.0;1;Vacio;38.9102669;1.4349568
75723;Islas Baleares;flat;duplex;80000.0;60.0;1;4.0;39.8305311;3.1169202
76085;Islas Baleares;flat;duplex;60000.0;62.0;1;7.0;39.8379935;3.1429812
80796;Islas Baleares;flat;duplex;225000.0;80.0;1;0.0;39.6231868;3.3553618
81181;Islas Baleares;flat;duplex;360000.0;85.0;1;3.0;39.8886285;4.2754932
81851;Islas Baleares;flat;duplex;295000.0;100.0;1;2.0;39.5682675;2.6436575
83253;Islas Baleares;flat;duplex;180000.0;35.0;2;2.0;39.3165447;2.9922072
86412;Islas Baleares;flat;duplex;350000.0;51.0;2;3.0;38.7069196;1.4578725
90957;Islas Baleares;flat;duplex;84000.0;58.0;2;4.0;39.9989258;3.8324697
91333;Islas Baleares;flat;duplex;159000.0;58.0;2;5.0;38.9867381;1.5159079
99478;Islas Baleares;flat;duplex;89250.0;64.0;2;4.0;39.9989258;3.8324697
100003;Islas Baleares;flat;duplex;130000.0;64.0;2;2.0;39.6436924;3.0089244
100788;Islas Baleares;flat;duplex;105000.0;65.0;2;4.0;40.0466429;4.108918
102050;Islas Baleares;flat;duplex;240000.0;65.0;2;2.0;39.567414;2.6489622
105642;Islas Baleares;flat;duplex;100000.0;67.0;2;2.0;39.8379935;3.1429812
109624;Islas Baleares;flat;duplex;85000.0;70.0;2;5.0;39.8532672;3.1240239
109625;Islas Baleares;flat;duplex;137000.0;70.0;2;10.0;39.8532672;3.1240239
109628;Islas Baleares;flat;duplex;105000.0;70.0;2;2.0;39.8532672;3.1240239
111340;Islas Baleares;flat;duplex;138000.0;70.0;2;3.0;39.3149034;2.9949345
112968;Islas Baleares;flat;duplex;180000.0;70.0;2;3.0;39.3665327;2.9337267
113869;Islas Baleares;flat;duplex;190000.0;70.0;2;3.0;39.5900089;2.657757
113910;Islas Baleares;flat;duplex;157500.0;70.0;2;3.0;38.9559333;1.5154025
116645;Islas Baleares;flat;duplex;145000.0;72.0;2;2.0;38.9531039;1.5156764
122101;Islas Baleares;flat;duplex;165900.0;75.0;2;3.0;39.5943818;2.6202748
129327;Islas Baleares;flat;duplex;320000.0;80.0;2;3.0;39.8828095;4.2772188
129328;Islas Baleares;flat;duplex;575000.0;80.0;2;4.0;39.8864066;4.2693599
129453;Islas Baleares;flat;duplex;228000.0;80.0;2;4.0;39.3224836;3.0035543
137497;Islas Baleares;flat;duplex;240000.0;84.0;2;3.0;38.9019719;1.2260614
137650;Islas Baleares;flat;duplex;160000.0;85.0;2;3.0;39.8775173;4.2926047
138417;Islas Baleares;flat;duplex;230000.0;85.0;2;3.0;39.9074905;3.0812145
138802;Islas Baleares;flat;duplex;169470.0;85.0;2;0.0;39.5381955;2.7136654
139544;Islas Baleares;flat;duplex;250000.0;85.0;2;4.0;39.5510141;2.6212687
