index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
18202;La Rioja;countryHouse;village house;49000.0;160.0;0;0.0;42.5414632;-2.8351823
82564;La Rioja;countryHouse;village house;19990.0;136.0;1;0.0;42.5396781;-2.8337013
286477;La Rioja;countryHouse;village house;82500.0;160.0;3;0.0;42.5614223;-2.7593612
290326;La Rioja;countryHouse;village house;67000.0;175.0;3;0.0;42.441773;-2.7063673
295360;La Rioja;countryHouse;village house;25000.0;200.0;3;0.0;42.560476;-2.7589096
299076;La Rioja;countryHouse;village house;80000.0;230.0;3;0.0;42.4903253;-2.9664563
323837;La Rioja;countryHouse;village house;80000.0;120.0;4;0.0;42.5449042;-2.911691
326214;La Rioja;countryHouse;village house;39700.0;124.0;4;0.0;42.5619031;-2.7606869
335610;La Rioja;countryHouse;village house;135000.0;145.0;4;0.0;42.5506486;-2.9094453
337455;La Rioja;countryHouse;village house;115000.0;150.0;4;0.0;42.5008413;-3.0487666
357030;La Rioja;countryHouse;village house;95000.0;230.0;4;0.0;42.5425165;-2.7854856
370832;La Rioja;countryHouse;village house;96000.0;430.0;4;0.0;42.1861387;-2.1781536
371720;La Rioja;countryHouse;village house;150000.0;492.0;4;0.0;42.3310913;-2.8609113
380241;La Rioja;countryHouse;village house;85000.0;207.0;5;0.0;42.5509888;-2.9094264
384171;La Rioja;countryHouse;village house;120000.0;260.0;5;0.0;42.3540435;-2.7224647
400984;La Rioja;countryHouse;village house;69900.0;450.0;6;0.0;42.4497859;-2.8843301
