index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
68041;La Rioja;house;independent;27000.0;50.0;1;2.0;42.2289667;-2.0454061
82723;La Rioja;house;independent;145206.0;170.0;1;2.0;42.4316184;-2.4161345
89746;La Rioja;house;independent;18097.0;56.0;2;2.0;42.3018517;-1.9584039
121056;La Rioja;house;independent;135000.0;75.0;2;0.0;42.564018;-2.8589729
126693;La Rioja;house;independent;41884.0;78.0;2;2.0;42.3019698;-1.9615223
144463;La Rioja;house;independent;140000.0;90.0;2;0.0;42.310411;-2.5328
162025;La Rioja;house;independent;180000.0;135.0;2;0.0;42.3521525;-2.4737877
164974;La Rioja;house;independent;72985.0;191.0;2;0.0;42.5977028;-2.9794192
166126;La Rioja;house;independent;123000.0;1002.0;2;0.0;42.3818439;-2.7206634
171515;La Rioja;house;independent;175200.0;65.0;3;0.0;42.5815487;-3.0105512
173810;La Rioja;house;independent;14024.0;69.0;3;3.0;42.2283209;-2.102835
207451;La Rioja;house;independent;20400.0;89.0;3;2.0;42.4078133;-2.1202348
208694;La Rioja;house;independent;150000.0;90.0;3;0.0;42.4177614;-2.8922679
229907;La Rioja;house;independent;52900.0;99.0;3;2.0;42.442659;-2.7075903
230166;La Rioja;house;independent;179000.0;99.0;3;0.0;42.3442508;-2.5237509
230991;La Rioja;house;independent;110000.0;100.0;3;0.0;42.4156776;-2.7262664
241355;La Rioja;house;independent;194000.0;104.0;3;0.0;42.4109388;-2.8925775
242611;La Rioja;house;independent;110000.0;105.0;3;0.0;42.5253554;-2.8412473
243034;La Rioja;house;independent;45820.0;105.0;3;2.0;42.2131705;-2.0058822
250162;La Rioja;house;independent;180000.0;110.0;3;0.0;42.369222;-2.4874492
251173;La Rioja;house;independent;179000.0;110.0;3;0.0;42.3400809;-2.5249798
260346;La Rioja;house;independent;48438.0;117.0;3;2.0;42.2268163;-2.100223
266690;La Rioja;house;independent;123000.0;121.0;3;0.0;42.5802105;-3.0156277
271231;La Rioja;house;independent;49200.0;129.0;3;2.0;42.4357663;-2.3012562
275401;La Rioja;house;independent;110000.0;135.0;3;0.0;42.5554612;-3.0502992
275595;La Rioja;house;independent;50767.0;135.0;3;2.0;42.2135254;-2.0093046
276839;La Rioja;house;independent;190000.0;137.0;3;0.0;42.5525345;-2.8204374
281235;La Rioja;house;independent;64800.0;146.0;3;2.0;42.3485882;-2.2394738
281462;La Rioja;house;independent;90000.0;147.0;3;0.0;42.5411732;-2.8340854
282817;La Rioja;house;independent;120000.0;150.0;3;0.0;42.5694857;-2.7601765
283625;La Rioja;house;independent;85000.0;150.0;3;0.0;42.5562743;-2.7545353
284178;La Rioja;house;independent;390000.0;151.0;3;0.0;42.3262088;-3.0208733
284556;La Rioja;house;independent;157000.0;153.0;3;0.0;42.4356294;-2.711015
287971;La Rioja;house;independent;149000.0;165.0;3;0.0;42.321395;-3.0130483
288073;La Rioja;house;independent;130000.0;165.0;3;2.0;42.3974587;-2.841561
289455;La Rioja;house;independent;150000.0;170.0;3;0.0;42.4940612;-2.7554061
292655;La Rioja;house;independent;181100.0;184.0;3;2.0;42.4375158;-2.4182021
292878;La Rioja;house;independent;235000.0;185.0;3;0.0;42.5402626;-2.8336129
293002;La Rioja;house;independent;180000.0;185.0;3;0.0;42.3922057;-2.8445679
293227;La Rioja;house;independent;215000.0;187.0;3;0.0;42.5841266;-3.0149738
293237;La Rioja;house;independent;199999.0;187.0;3;0.0;42.5501533;-2.9655391
294067;La Rioja;house;independent;114000.0;192.0;3;2.0;42.2302285;-1.8482555
294819;La Rioja;house;independent;25300.0;199.0;3;2.0;42.2270002;-2.1007102
295316;La Rioja;house;independent;200000.0;200.0;3;0.0;42.4190674;-2.8857958
297705;La Rioja;house;independent;147000.0;218.0;3;0.0;42.5615519;-2.7578699
297957;La Rioja;house;independent;79200.0;220.0;3;2.0;42.3987079;-2.3308233
300621;La Rioja;house;independent;225000.0;249.0;3;0.0;42.5415752;-2.7799538
302434;La Rioja;house;independent;330000.0;276.0;3;0.0;42.3532525;-2.4747877
304466;La Rioja;house;independent;40000.0;350.0;3;0.0;42.3652442;-2.8076266
305747;La Rioja;house;independent;96000.0;555.0;3;0.0;42.5577331;-2.7550986
307006;La Rioja;house;independent;63200.0;80.0;4;0.0;42.2270318;-1.8879238
320015;La Rioja;house;independent;121000.0;114.0;4;2.0;42.5445616;-2.9661218
322003;La Rioja;house;independent;97291.0;118.0;4;2.0;42.3025488;-1.9640394
329163;La Rioja;house;independent;186000.0;130.0;4;2.0;42.4614386;-2.4768669
334503;La Rioja;house;independent;129000.0;141.0;4;0.0;42.4389068;-2.9567519
336526;La Rioja;house;independent;62975.0;148.0;4;2.0;42.3106236;-2.533359
337413;La Rioja;house;independent;155000.0;150.0;4;2.0;42.1460998;-2.2672598
342471;La Rioja;house;independent;201000.0;164.0;4;0.0;42.4462441;-2.7079903
343123;La Rioja;house;independent;107100.0;166.0;4;2.0;42.36811;-2.54305
343278;La Rioja;house;independent;108300.0;167.0;4;2.0;42.36991;-2.54305
343279;La Rioja;house;independent;107800.0;167.0;4;2.0;42.37201;-2.54575
343280;La Rioja;house;independent;107800.0;167.0;4;2.0;42.37171;-2.54705
343281;La Rioja;house;independent;108300.0;167.0;4;2.0;42.37201;-2.54685
343437;La Rioja;house;independent;108800.0;168.0;4;2.0;42.36801;-2.54365
343438;La Rioja;house;independent;108800.0;168.0;4;2.0;42.36801;-2.54365
343439;La Rioja;house;independent;108800.0;168.0;4;2.0;42.36881;-2.54705
