index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
19362;País Vasco;countryHouse;Vacio;180000.0;175.0;0;0.0;43.3590229;-2.5443755
21434;País Vasco;countryHouse;Vacio;430000.0;210.0;0;0.0;43.3678885;-1.814157
26879;País Vasco;countryHouse;Vacio;180000.0;410.0;0;0.0;43.2877755;-2.7101647
27492;País Vasco;countryHouse;Vacio;210000.0;465.0;0;0.0;42.7804513;-2.4992494
82782;País Vasco;countryHouse;Vacio;45000.0;190.0;1;0.0;42.6237995;-2.5659128
84040;País Vasco;countryHouse;Vacio;75000.0;45.0;2;0.0;43.3047529;-2.95422
165598;País Vasco;countryHouse;Vacio;180225.0;240.0;2;0.0;42.8650959;-2.3938551
166053;País Vasco;countryHouse;Vacio;285000.0;410.0;2;0.0;43.3529743;-2.8481435
234988;País Vasco;countryHouse;Vacio;260000.0;100.0;3;0.0;43.2333994;-2.1493541
285982;País Vasco;countryHouse;Vacio;252425.0;159.0;3;0.0;43.41869;-2.719045
293632;País Vasco;countryHouse;Vacio;90000.0;190.0;3;0.0;43.1979836;-3.3570908
295419;País Vasco;countryHouse;Vacio;135000.0;200.0;3;0.0;43.2552599;-2.2320616
296334;País Vasco;countryHouse;Vacio;361000.0;204.0;3;0.0;43.369621;-2.7252456
304756;País Vasco;countryHouse;Vacio;390658.0;365.0;3;0.0;43.41829;-2.723045
305319;País Vasco;countryHouse;Vacio;600000.0;440.0;3;0.0;43.41809;-2.722645
305693;País Vasco;countryHouse;Vacio;240000.0;522.0;3;0.0;43.3328613;-2.6749639
335021;País Vasco;countryHouse;Vacio;165000.0;143.0;4;0.0;42.6840993;-2.791916
360236;País Vasco;countryHouse;Vacio;280000.0;250.0;4;0.0;43.011723;-2.2341217
363785;País Vasco;countryHouse;Vacio;398000.0;280.0;4;0.0;43.2599878;-2.7940332
364498;País Vasco;countryHouse;Vacio;270000.0;290.0;4;0.0;43.2128307;-3.1290638
370965;País Vasco;countryHouse;Vacio;599000.0;440.0;4;0.0;43.3971237;-2.9250675
371880;País Vasco;countryHouse;Vacio;465000.0;500.0;4;0.0;42.7804513;-2.4973494
371933;País Vasco;countryHouse;Vacio;680000.0;500.0;4;0.0;43.300838;-1.8607156
386636;País Vasco;countryHouse;Vacio;170000.0;300.0;5;0.0;43.2059819;-3.0459983
388721;País Vasco;countryHouse;Vacio;390000.0;340.0;5;0.0;43.2136778;-2.4167435
389058;País Vasco;countryHouse;Vacio;950000.0;350.0;5;0.0;43.3376619;-1.8269204
389059;País Vasco;countryHouse;Vacio;775000.0;350.0;5;0.0;43.3379116;-1.828707
393023;País Vasco;countryHouse;Vacio;450800.0;482.0;5;0.0;43.4041011;-2.7126203
393147;País Vasco;countryHouse;Vacio;420000.0;497.0;5;0.0;43.1763155;-2.3105763
396688;País Vasco;countryHouse;Vacio;405000.0;200.0;6;0.0;43.2846857;-2.1763296
398353;País Vasco;countryHouse;Vacio;290000.0;300.0;6;0.0;42.8719292;-2.4096282
399811;País Vasco;countryHouse;Vacio;410000.0;375.0;6;0.0;43.1342915;-2.5898622
402114;País Vasco;countryHouse;Vacio;540000.0;580.0;6;0.0;43.2195367;-2.023197
402758;País Vasco;countryHouse;Vacio;800000.0;730.0;6;0.0;43.3096776;-2.9539575
403506;País Vasco;countryHouse;Vacio;450000.0;171.0;7;0.0;43383.0;-2697.0
405181;País Vasco;countryHouse;Vacio;360000.0;500.0;7;0.0;43.1369947;-2.0717556
407027;País Vasco;countryHouse;Vacio;490000.0;554.0;8;0.0;43.2662707;-3.2338238
407904;País Vasco;countryHouse;Vacio;500000.0;507.0;9;0.0;43.2711919;-2.497399
407929;País Vasco;countryHouse;Vacio;500000.0;540.0;9;0.0;43.2621372;-3.1541616
408174;País Vasco;countryHouse;Vacio;450000.0;900.0;9;0.0;43.0941311;-3.0714831
