index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9242;País Vasco;countryHouse;village house;50000.0;80.0;0;0.0;42.5879887;-2.7931963
19658;País Vasco;countryHouse;village house;147000.0;180.0;0;0.0;43.3410642;-3.092227
82912;País Vasco;countryHouse;village house;130000.0;300.0;1;0.0;42.8557859;-2.5927151
159538;País Vasco;countryHouse;village house;180000.0;120.0;2;0.0;42.7764513;-2.5002494
280355;País Vasco;countryHouse;village house;450000.0;144.0;3;0.0;43.370221;-2.9902813
290404;País Vasco;countryHouse;village house;60000.0;175.0;3;0.0;42.6279098;-2.5822972
302238;País Vasco;countryHouse;village house;130000.0;270.0;3;0.0;43.2974308;-2.7527958
303603;País Vasco;countryHouse;village house;252000.0;300.0;3;0.0;43.3387035;-2.6561805
303769;País Vasco;countryHouse;village house;56800.0;307.0;3;0.0;42.6347266;-2.5252748
305498;País Vasco;countryHouse;village house;425000.0;470.0;3;0.0;43.012037;-2.276445
312525;País Vasco;countryHouse;village house;180000.0;100.0;4;0.0;43.2196299;-3.3471704
367212;País Vasco;countryHouse;village house;159000.0;323.0;4;0.0;42.5907382;-2.7921881
369472;País Vasco;countryHouse;village house;90000.0;380.0;4;0.0;43.1450656;-2.8485087
388690;País Vasco;countryHouse;village house;351500.0;338.0;5;0.0;42.9586284;-2.7123763
393713;País Vasco;countryHouse;village house;100000.0;523.0;5;0.0;43.3534578;-2.6233952
396293;País Vasco;countryHouse;village house;300000.0;180.0;6;0.0;43.3154619;-3.0706519
401987;País Vasco;countryHouse;village house;180000.0;555.0;6;0.0;43.1450656;-2.8485087
404287;País Vasco;countryHouse;village house;210000.0;324.0;7;0.0;43.0943733;-3.0722004
