index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
2667;País Vasco;flat;Vacio;97000.0;40.0;0;5.0;43.4176748;-2.7224411
11985;País Vasco;flat;Vacio;260000.0;100.0;0;5.0;43.3646023;-2.5028279
13923;País Vasco;flat;Vacio;390000.0;115.0;0;6.0;43.3225085;-1.9659492
15965;País Vasco;flat;Vacio;395000.0;135.0;0;3.0;43.258056;-2.948572
20724;País Vasco;flat;Vacio;435000.0;200.0;0;3.0;43.2662948;-2.9287757
20843;País Vasco;flat;Vacio;125000.0;200.0;0;2.0;43.1676538;-2.9241152
27665;País Vasco;flat;Vacio;620000.0;485.0;0;0.0;43.3362147;-1.790565
60753;País Vasco;flat;Vacio;150000.0;13.0;1;9.0;43.2610817;-2.9379961
60798;País Vasco;flat;Vacio;150000.0;22.0;1;7.0;43.3161396;-1.9858131
60930;País Vasco;flat;Vacio;93000.0;28.0;1;7.0;43.4212549;-2.7233384
61030;País Vasco;flat;Vacio;108000.0;30.0;1;4.0;43.239616;-2.951623
61068;País Vasco;flat;Vacio;75000.0;30.0;1;6.0;43.2435111;-2.9508376
61071;País Vasco;flat;Vacio;72100.0;30.0;1;3.0;42.8461948;-2.6701093
61087;País Vasco;flat;Vacio;110000.0;30.0;1;3.0;43.4195748;-2.7204411
61095;País Vasco;flat;Vacio;168000.0;30.0;1;7.0;43.264024;-2.947129
61110;País Vasco;flat;Vacio;128500.0;30.0;1;3.0;43.2521712;-2.9386762
61146;País Vasco;flat;Vacio;98000.0;31.0;1;2.0;43.1912766;-3.1857955
61159;País Vasco;flat;Vacio;293000.0;31.0;1;8.0;43.3145024;-1.9789347
61205;País Vasco;flat;Vacio;50000.0;32.0;1;2.0;43.177839;-2.4156786
61208;País Vasco;flat;Vacio;136672.0;32.0;1;8.0;43.3038565;-3.0360631
61242;País Vasco;flat;Vacio;120000.0;32.0;1;9.0;43.2632064;-2.9204771
61295;País Vasco;flat;Vacio;105000.0;33.0;1;3.0;43.3659523;-2.5009377
61308;País Vasco;flat;Vacio;77300.0;33.0;1;9.0;43.2671064;-2.9216771
61426;País Vasco;flat;Vacio;146000.0;34.0;1;8.0;43.2731897;-2.9454418
61487;País Vasco;flat;Vacio;78000.0;35.0;1;10.0;43.1797915;-2.4736181
61518;País Vasco;flat;Vacio;54000.0;35.0;1;8.0;43.4225783;-2.7227318
61537;País Vasco;flat;Vacio;70250.0;35.0;1;3.0;43.2980374;-2.9807918
61548;País Vasco;flat;Vacio;159000.0;35.0;1;4.0;43.3214466;-1.9770543
