index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60773;País Vasco;flat;penthouse;108000.0;20.0;1;9.0;43.2605817;-2.9339961
60847;País Vasco;flat;penthouse;72000.0;25.0;1;6.0;43.4026644;-2.7481176
61094;País Vasco;flat;penthouse;115000.0;30.0;1;10.0;43.2598643;-2.9442574
61526;País Vasco;flat;penthouse;270000.0;35.0;1;6.0;43.3250237;-1.992118
61578;País Vasco;flat;penthouse;290000.0;35.0;1;12.0;43.3083066;-1.9766157
61726;País Vasco;flat;penthouse;111000.0;35.0;1;8.0;43.2546976;-2.9354034
61985;País Vasco;flat;penthouse;190000.0;37.0;1;9.0;43.2579178;-2.928545
62182;País Vasco;flat;penthouse;130000.0;38.0;1;8.0;43.2559685;-2.921974
62188;País Vasco;flat;penthouse;169000.0;38.0;1;7.0;43.3214064;-1.9693126
62642;País Vasco;flat;penthouse;120000.0;40.0;1;8.0;43.2699991;-2.9288206
62862;País Vasco;flat;penthouse;190000.0;40.0;1;9.0;43.2579178;-2.931045
63628;País Vasco;flat;penthouse;280000.0;41.0;1;8.0;43.3179493;-1.9813485
63892;País Vasco;flat;penthouse;149000.0;42.0;1;9.0;43.3140963;-2.0018888
63904;País Vasco;flat;penthouse;165000.0;42.0;1;7.0;43.2586914;-2.9212494
64014;País Vasco;flat;penthouse;270000.0;42.0;1;8.0;43.3160493;-1.9804485
64281;País Vasco;flat;penthouse;270000.0;43.0;1;6.0;43.3230169;-1.9850321
65006;País Vasco;flat;penthouse;109000.0;45.0;1;9.0;43.2936348;-2.9899821
65312;País Vasco;flat;penthouse;105000.0;45.0;1;7.0;43.3367471;-1.7836777
65610;País Vasco;flat;penthouse;200000.0;45.0;1;7.0;43.3608327;-1.7919294
65640;País Vasco;flat;penthouse;225000.0;45.0;1;9.0;43.2658343;-2.9246459
65643;País Vasco;flat;penthouse;135000.0;45.0;1;8.0;43.2562421;-2.9352472
66165;País Vasco;flat;penthouse;225000.0;46.0;1;7.0;43.2544414;-2.9327801
66390;País Vasco;flat;penthouse;240000.0;47.0;1;8.0;43.3221017;-1.9745317
66570;País Vasco;flat;penthouse;299000.0;47.0;1;9.0;43.2579643;-2.9417574
66875;País Vasco;flat;penthouse;114192.0;48.0;1;6.0;43.3282187;-3.0364518
67103;País Vasco;flat;penthouse;186000.0;48.0;1;7.0;43.2696137;-2.9282411
67365;País Vasco;flat;penthouse;57000.0;49.0;1;7.0;43.2542884;-2.9209783
68300;País Vasco;flat;penthouse;210000.0;50.0;1;6.0;43.3498937;-3.0103632
68447;País Vasco;flat;penthouse;174000.0;50.0;1;7.0;43.2546098;-2.924991
