index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
251;País Vasco;flat;studio;50000.0;20.0;0;2.0;43.4031427;-2.9492858
274;País Vasco;flat;studio;40000.0;20.0;0;4.0;43.3183722;-3.0172596
546;País Vasco;flat;studio;150000.0;25.0;0;9.0;43.2615817;-2.9364961
718;País Vasco;flat;studio;40000.0;28.0;0;2.0;43.201747;-3.0432617
726;País Vasco;flat;studio;46000.0;28.0;0;3.0;43.3154692;-1.9167892
933;País Vasco;flat;studio;98000.0;30.0;0;2.0;43.3191603;-1.9710992
979;País Vasco;flat;studio;72100.0;30.0;0;3.0;42.8473341;-2.6717197
1436;País Vasco;flat;studio;80000.0;34.0;0;5.0;43.3027953;-2.0231335
1671;País Vasco;flat;studio;119000.0;35.0;0;4.0;43.2688785;-2.9712798
1710;País Vasco;flat;studio;120000.0;35.0;0;8.0;43.2540513;-2.9220426
1726;País Vasco;flat;studio;95000.0;35.0;0;2.0;43.316906;-1.9679634
1797;País Vasco;flat;studio;85000.0;35.0;0;2.0;43.3138165;-1.9098221
2536;País Vasco;flat;studio;123600.0;40.0;0;6.0;42.8448778;-2.6747242
2552;País Vasco;flat;studio;249500.0;40.0;0;6.0;43.3179244;-1.9819744
2592;País Vasco;flat;studio;70250.0;40.0;0;3.0;43.2980467;-2.9815104
2601;País Vasco;flat;studio;90000.0;40.0;0;2.0;43.2626143;-2.9212408
2873;País Vasco;flat;studio;60000.0;41.0;0;2.0;43.1017937;-2.9947464
3424;País Vasco;flat;studio;81260.0;45.0;0;7.0;43.3219821;-3.0265938
3481;País Vasco;flat;studio;175000.0;45.0;0;5.0;42.8415599;-2.679128
3482;País Vasco;flat;studio;123600.0;45.0;0;3.0;42.8469998;-2.6591085
3517;País Vasco;flat;studio;95000.0;45.0;0;9.0;43.2936741;-2.9904789
3536;País Vasco;flat;studio;119000.0;45.0;0;4.0;43.3939086;-2.970109
3537;País Vasco;flat;studio;214000.0;45.0;0;4.0;43.3923086;-2.970109
3676;País Vasco;flat;studio;130000.0;46.0;0;2.0;43.3210383;-1.9448577
3857;País Vasco;flat;studio;199900.0;47.0;0;2.0;43.3178702;-1.9810617
3934;País Vasco;flat;studio;94000.0;48.0;0;5.0;43.2588522;-2.9276044
4027;País Vasco;flat;studio;195000.0;49.0;0;2.0;43.2615619;-2.9307145
4154;País Vasco;flat;studio;155000.0;50.0;0;1.0;43.3164534;-1.9850047
4367;País Vasco;flat;studio;132222.0;50.0;0;6.0;42.8484293;-2.6680606
4368;País Vasco;flat;studio;72100.0;50.0;0;3.0;42.8490335;-2.6755201
4439;País Vasco;flat;studio;187170.0;50.0;0;3.0;43.2550877;-2.9241468
4471;País Vasco;flat;studio;195000.0;50.0;0;5.0;43.3781121;-2.9866322
4671;País Vasco;flat;studio;180000.0;51.0;0;2.0;43.3133851;-1.9774533
4706;País Vasco;flat;studio;100000.0;51.0;0;3.0;43.3020419;-1.9514665
4785;País Vasco;flat;studio;296000.0;52.0;0;2.0;43.3234226;-1.9865001
4787;País Vasco;flat;studio;90000.0;52.0;0;Vacio;43.3192748;-2.6788287
4790;País Vasco;flat;studio;115000.0;52.0;0;2.0;43.0101461;-2.2344494
4818;País Vasco;flat;studio;190000.0;52.0;0;3.0;43.381437;-2.9854332
4917;País Vasco;flat;studio;169000.0;53.0;0;2.0;43.305986;-1.976243
4919;País Vasco;flat;studio;199000.0;53.0;0;4.0;43.2895384;-1.9803281
4972;País Vasco;flat;studio;129900.0;54.0;0;5.0;43.2962859;-2.9862011
5138;País Vasco;flat;studio;460000.0;55.0;0;4.0;43.2859067;-2.1673013
5184;País Vasco;flat;studio;125000.0;55.0;0;3.0;43.306454;-1.990187
5250;País Vasco;flat;studio;195000.0;55.0;0;6.0;42.8473242;-2.6665161
5296;País Vasco;flat;studio;120000.0;55.0;0;2.0;43.3221692;-1.9535404
5485;País Vasco;flat;studio;120000.0;56.0;0;2.0;43.3042911;-2.0061856
5491;País Vasco;flat;studio;53500.0;56.0;0;2.0;42.8503598;-2.672186
5607;País Vasco;flat;studio;210000.0;57.0;0;5.0;43.3212899;-1.9569588
5735;País Vasco;flat;studio;262357.0;59.0;0;5.0;43.2227215;-2.7316505
5809;País Vasco;flat;studio;70000.0;60.0;0;2.0;43.3159268;-1.9362087
5847;País Vasco;flat;studio;229000.0;60.0;0;9.0;43.2684508;-2.9443206
6030;País Vasco;flat;studio;110000.0;60.0;0;3.0;42.8470525;-2.6742678
6067;País Vasco;flat;studio;56500.0;60.0;0;2.0;43.250669;-2.9075262
6116;País Vasco;flat;studio;120000.0;60.0;0;2.0;43.3217382;-1.9615999
