index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
30027;País Vasco;house;Vacio;420000.0;900.0;0;0.0;43.2727251;-2.7810889
72894;País Vasco;house;Vacio;82000.0;56.0;1;2.0;42.7130975;-2.9179857
82785;País Vasco;house;Vacio;466500.0;192.0;1;0.0;43.3345934;-1.7791823
82906;País Vasco;house;Vacio;300000.0;300.0;1;0.0;43.2062527;-3.1653825
82927;País Vasco;house;Vacio;650000.0;322.0;1;0.0;43.306109;-1.892482
83183;País Vasco;house;Vacio;89000.0;32.0;2;0.0;43.30451;-2.967683
86262;País Vasco;house;Vacio;195000.0;50.0;2;0.0;43.3323842;-1.7692952
103670;País Vasco;house;Vacio;190000.0;65.0;2;0.0;43.2946386;-3.0198296
137740;País Vasco;house;Vacio;239000.0;85.0;2;0.0;43.354219;-2.909224
159233;País Vasco;house;Vacio;490000.0;120.0;2;0.0;43.3269497;-2.8555824
160845;País Vasco;house;Vacio;165000.0;126.0;2;2.0;43.195896;-2.473285
164401;País Vasco;house;Vacio;360000.0;170.0;2;0.0;42.8074632;-2.6435129
164590;País Vasco;house;Vacio;288400.0;178.0;2;2.0;42.8444028;-2.5100895
164676;País Vasco;house;Vacio;221450.0;180.0;2;0.0;42.8481137;-2.5107914
164830;País Vasco;house;Vacio;295000.0;185.0;2;0.0;43.2606166;-2.959807
164927;País Vasco;house;Vacio;295000.0;190.0;2;0.0;43.249749;-2.964259
165161;País Vasco;house;Vacio;420000.0;200.0;2;0.0;43.142632;-3.149851
165588;País Vasco;house;Vacio;650000.0;240.0;2;0.0;43.372542;-1.798149
165646;País Vasco;house;Vacio;875000.0;250.0;2;0.0;43.3252198;-2.8561568
165670;País Vasco;house;Vacio;368000.0;250.0;2;0.0;43.086732;-3.088078
165854;País Vasco;house;Vacio;362700.0;292.0;2;0.0;43.3233208;-2.5860348
175540;País Vasco;house;Vacio;169400.0;70.0;3;0.0;43.2406699;-2.9479609
176122;País Vasco;house;Vacio;159000.0;70.0;3;0.0;42.8681618;-2.8820914
195580;País Vasco;house;Vacio;315000.0;82.0;3;0.0;43.2291803;-1.9248812
208523;País Vasco;house;Vacio;250000.0;90.0;3;0.0;43.41307;-2.92993
208958;País Vasco;house;Vacio;175000.0;90.0;3;0.0;43.2729898;-3.2545373
212144;País Vasco;house;Vacio;195329.0;90.0;3;0.0;43.2943366;-2.9930193
234302;País Vasco;house;Vacio;224000.0;100.0;3;0.0;43.2665958;-2.7896848
235400;País Vasco;house;Vacio;300000.0;100.0;3;0.0;43.40838;-2.96203
242880;País Vasco;house;Vacio;310000.0;105.0;3;0.0;43.3622442;-2.9937236
245269;País Vasco;house;Vacio;360000.0;106.0;3;0.0;43.3582442;-2.9957236
247466;País Vasco;house;Vacio;130000.0;108.0;3;0.0;43.2101739;-2.806965
