index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14560;País Vasco;house;independent;310000.0;120.0;0;0.0;43.3039529;-2.95022
20751;País Vasco;house;independent;112000.0;200.0;0;0.0;43.2508346;-3.0951014
28044;País Vasco;house;independent;192000.0;520.0;0;0.0;43.2664583;-3.2517762
28422;País Vasco;house;independent;380000.0;567.0;0;0.0;42.7797513;-2.4971494
30819;País Vasco;house;independent;2000000.0;1234.0;0;0.0;43.2970906;-2.3527962
81884;País Vasco;house;independent;59990.0;100.0;1;0.0;43.2716898;-3.2565373
82858;País Vasco;house;independent;459000.0;247.0;1;0.0;43.4162991;-2.7297581
82871;País Vasco;house;independent;359405.0;256.0;1;0.0;43.2624014;-2.5919211
82919;País Vasco;house;independent;529000.0;300.0;1;0.0;43.3168143;-1.8976685
82936;País Vasco;house;independent;180000.0;336.0;1;0.0;43.3166579;-2.5851775
82938;País Vasco;house;independent;200000.0;340.0;1;0.0;43.2908824;-2.7081562
82946;País Vasco;house;independent;110000.0;350.0;1;0.0;43.3308657;-2.6758933
82949;País Vasco;house;independent;526000.0;360.0;1;0.0;43.3172143;-1.9016685
82962;País Vasco;house;independent;320000.0;380.0;1;0.0;43.3534578;-2.6233952
82976;País Vasco;house;independent;100000.0;400.0;1;0.0;43.3174854;-2.7240609
82979;País Vasco;house;independent;220000.0;403.0;1;0.0;43.3308657;-2.6758933
83016;País Vasco;house;independent;250000.0;631.0;1;0.0;43.3849477;-2.6959761
83040;País Vasco;house;independent;399000.0;1200.0;1;0.0;43.2352098;-2.5008464
83602;País Vasco;house;independent;62000.0;40.0;2;0.0;43.298477;-1.8632053
93668;País Vasco;house;independent;90000.0;60.0;2;0.0;43.328811;-3.0355873
93669;País Vasco;house;independent;180000.0;60.0;2;0.0;43.3245239;-3.0466866
96711;País Vasco;house;independent;195000.0;61.0;2;0.0;43.2646078;-2.5018044
100969;País Vasco;house;independent;160000.0;65.0;2;0.0;43.3044565;-3.0340631
130174;País Vasco;house;independent;600000.0;80.0;2;0.0;43.3099198;-3.0928786
159550;País Vasco;house;independent;270000.0;120.0;2;0.0;43.3423427;-3.0847611
159551;País Vasco;house;independent;295000.0;120.0;2;0.0;43.3457427;-3.0847611
159894;País Vasco;house;independent;180000.0;120.0;2;0.0;43.4054119;-2.6412131
161422;País Vasco;house;independent;115000.0;130.0;2;0.0;43.2216299;-3.3488704
162632;País Vasco;house;independent;279000.0;140.0;2;0.0;42.9552106;-2.8199323
164041;País Vasco;house;independent;466514.0;160.0;2;0.0;43.3230566;-2.8551114
164250;País Vasco;house;independent;190000.0;166.0;2;0.0;42.8950832;-2.494383
164399;País Vasco;house;independent;750000.0;170.0;2;0.0;43.3247198;-2.8526568
164560;País Vasco;house;independent;267000.0;176.0;2;0.0;43.0915451;-3.0037523
164651;País Vasco;house;independent;136710.0;180.0;2;2.0;42.86754;-2.31254
165504;País Vasco;house;independent;625000.0;230.0;2;0.0;43.368698;-1.797752
165679;País Vasco;house;independent;90000.0;250.0;2;0.0;43.0747354;-3.0801674
165856;País Vasco;house;independent;350000.0;292.0;2;0.0;43.3216411;-2.5849452
165857;País Vasco;house;independent;360000.0;292.0;2;0.0;43.3248028;-2.5822062
166082;País Vasco;house;independent;1010000.0;500.0;2;0.0;42.7804513;-2.5008494
166151;País Vasco;house;independent;69000.0;35.0;3;0.0;43.2662795;-2.4994592
171652;País Vasco;house;independent;120000.0;65.0;3;0.0;42.9319249;-2.889122
176748;País Vasco;house;independent;108182.0;70.0;3;0.0;42.738235;-2.4489471
184520;País Vasco;house;independent;330000.0;76.0;3;2.0;43.189893;-2.529316
191251;País Vasco;house;independent;150000.0;80.0;3;0.0;43.0944022;-2.8598391
199489;País Vasco;house;independent;350000.0;85.0;3;0.0;43.283611;-2.9031148
205968;País Vasco;house;independent;220000.0;88.0;3;0.0;43.3512743;-2.8461435
210472;País Vasco;house;independent;350000.0;90.0;3;0.0;43.3111198;-3.0908786
224048;País Vasco;house;independent;215000.0;95.0;3;2.0;43.2496242;-2.9098217
231991;País Vasco;house;independent;390000.0;100.0;3;0.0;43.2089431;-3.126343
233317;País Vasco;house;independent;222374.0;100.0;3;0.0;43.0037827;-2.1762964
249760;País Vasco;house;independent;390000.0;110.0;3;0.0;43.3029008;-2.3857378
250031;País Vasco;house;independent;372600.0;110.0;3;0.0;43.2089431;-3.126343
261228;País Vasco;house;independent;224000.0;118.0;3;2.0;42.7407483;-2.9004322
262292;País Vasco;house;independent;100000.0;120.0;3;0.0;42.8607865;-2.5901252
262584;País Vasco;house;independent;200000.0;120.0;3;0.0;43.2900442;-2.992583
263117;País Vasco;house;independent;295000.0;120.0;3;0.0;43.4024837;-2.9456526
263363;País Vasco;house;independent;290000.0;120.0;3;0.0;43.223498;-3.023784
263442;País Vasco;house;independent;470000.0;120.0;3;0.0;43.3236161;-3.069142
264296;País Vasco;house;independent;295000.0;120.0;3;0.0;43.278334;-1.953415
264380;País Vasco;house;independent;162180.0;120.0;3;0.0;42.649289;-2.726001
264484;País Vasco;house;independent;310000.0;120.0;3;0.0;43.1414506;-2.9596897
271910;País Vasco;house;independent;490000.0;130.0;3;0.0;43.3494553;-3.0142428
272404;País Vasco;house;independent;274619.0;130.0;3;0.0;43.3225132;-3.1130051
275968;País Vasco;house;independent;325000.0;135.0;3;0.0;42.80188;-2.64292
276572;País Vasco;house;independent;403000.0;136.0;3;0.0;43.2519569;-2.6592023
277947;País Vasco;house;independent;330000.0;140.0;3;0.0;43.3366873;-1.808015
278546;País Vasco;house;independent;280000.0;140.0;3;0.0;42.8655327;-2.7760105
279314;País Vasco;house;independent;480000.0;140.0;3;0.0;43.3141616;-1.9464304
279566;País Vasco;house;independent;166843.0;141.0;3;0.0;42.8344371;-3.0718561
279810;País Vasco;house;independent;193000.0;142.0;3;0.0;42.8413261;-2.5136097
280843;País Vasco;house;independent;295000.0;145.0;3;0.0;43.4044837;-2.9472526
281648;País Vasco;house;independent;325300.0;148.0;3;0.0;43.3678856;-2.8138637
282074;País Vasco;house;independent;420000.0;150.0;3;3.0;42.8980333;-2.7090287
282321;País Vasco;house;independent;290000.0;150.0;3;2.0;42.8514948;-2.7053483
282843;País Vasco;house;independent;300000.0;150.0;3;0.0;43.3296736;-3.1379298
283663;País Vasco;house;independent;370000.0;150.0;3;0.0;43.3115062;-2.9325455
283767;País Vasco;house;independent;180000.0;150.0;3;0.0;43.370621;-2.7252456
284601;País Vasco;house;independent;147000.0;153.0;3;0.0;42.7103493;-2.9174356
284741;País Vasco;house;independent;550000.0;154.0;3;0.0;42.9822202;-3.0068451
285160;País Vasco;house;independent;430000.0;155.0;3;0.0;43.333783;-2.9826158
285161;País Vasco;house;independent;370000.0;155.0;3;0.0;43.3346037;-2.9892918
285659;País Vasco;house;independent;520000.0;157.0;3;0.0;42.8404983;-2.6886325
285660;País Vasco;house;independent;520000.0;157.0;3;0.0;42.8404983;-2.6886325
285661;País Vasco;house;independent;520000.0;157.0;3;0.0;42.8404983;-2.6886325
285662;País Vasco;house;independent;520000.0;157.0;3;0.0;42.8404983;-2.6886325
286134;País Vasco;house;independent;133000.0;160.0;3;0.0;42.850125;-3.101494
287038;País Vasco;house;independent;538000.0;160.0;3;0.0;43.2908824;-2.7081562
288208;País Vasco;house;independent;340000.0;165.0;3;0.0;42.7091816;-2.9169817
288395;País Vasco;house;independent;540000.0;166.0;3;0.0;42.8404983;-2.6886325
288446;País Vasco;house;independent;540000.0;166.0;3;0.0;43.3805697;-2.5988787
289159;País Vasco;house;independent;395000.0;170.0;3;0.0;43.2872124;-2.959142
289300;País Vasco;house;independent;249000.0;170.0;3;0.0;42.7545013;-2.4525243
289302;País Vasco;house;independent;190000.0;170.0;3;0.0;42.8921681;-3.1502653
291232;País Vasco;house;independent;360000.0;180.0;3;0.0;42.8685767;-2.645268
291345;País Vasco;house;independent;186000.0;180.0;3;0.0;43.2835962;-3.0519648
291643;País Vasco;house;independent;475000.0;180.0;3;0.0;43.3397637;-2.9266813
292441;País Vasco;house;independent;150000.0;182.0;3;0.0;42.5950808;-2.7986705
292506;País Vasco;house;independent;395000.0;183.0;3;0.0;43.0193839;-2.2752064
293384;País Vasco;house;independent;106000.0;189.0;3;2.0;42.58966;-2.79499
293962;País Vasco;house;independent;295000.0;191.0;3;2.0;43.20951;-2.87533
293980;País Vasco;house;independent;296000.0;191.0;3;2.0;43.21351;-2.87433
294453;País Vasco;house;independent;490000.0;195.0;3;2.0;43.3369511;-1.7955
295213;País Vasco;house;independent;41000.0;200.0;3;2.0;43.2322638;-3.3589757
295273;País Vasco;house;independent;621000.0;200.0;3;0.0;43.2956851;-2.2536976
295298;País Vasco;house;independent;390000.0;200.0;3;0.0;42.5031896;-2.4360604
295424;País Vasco;house;independent;350000.0;200.0;3;0.0;42.852405;-2.7334758
295638;País Vasco;house;independent;216000.0;200.0;3;0.0;43.0758042;-3.0756568
295894;País Vasco;house;independent;414000.0;200.0;3;0.0;43.2623325;-2.6854573
296224;País Vasco;house;independent;280000.0;202.0;3;2.0;43.217611;-2.41182
296488;País Vasco;house;independent;420000.0;205.0;3;0.0;43.3403169;-2.6586137
296567;País Vasco;house;independent;305000.0;206.0;3;0.0;43.0506291;-2.9986654
297322;País Vasco;house;independent;350000.0;213.0;3;0.0;42.8570379;-2.6689952
297323;País Vasco;house;independent;350000.0;213.0;3;0.0;42.8515374;-2.7307913
298082;País Vasco;house;independent;270000.0;220.0;3;0.0;42.8488091;-2.3870493
298271;País Vasco;house;independent;809000.0;220.0;3;0.0;43.4122421;-2.7404286
298650;País Vasco;house;independent;402000.0;225.0;3;0.0;43.1825897;-3.0856783
299103;País Vasco;house;independent;550000.0;230.0;3;0.0;43.0497958;-2.1973008
299418;País Vasco;house;independent;355000.0;234.0;3;2.0;43.21141;-2.87563
299586;País Vasco;house;independent;240000.0;236.0;3;0.0;42.5863626;-2.7982974
299677;País Vasco;house;independent;525000.0;238.0;3;0.0;42.9228399;-2.6999801
299814;País Vasco;house;independent;535000.0;240.0;3;0.0;43.319821;-2.4494835
299855;País Vasco;house;independent;270000.0;240.0;3;0.0;43.2106307;-3.1276638
300090;País Vasco;house;independent;560000.0;240.0;3;0.0;43.268846;-2.8335339
300098;País Vasco;house;independent;490000.0;240.0;3;0.0;42.8163845;-2.8328354
300355;País Vasco;house;independent;590000.0;245.0;3;0.0;43.1400436;-2.9616081
300668;País Vasco;house;independent;150000.0;250.0;3;0.0;43.2144778;-2.4147435
300780;País Vasco;house;independent;160000.0;250.0;3;0.0;43.2653467;-3.2347654
300834;País Vasco;house;independent;640000.0;250.0;3;0.0;43.4131194;-2.9267565
300918;País Vasco;house;independent;580000.0;250.0;3;0.0;43.3655038;-3.0199031
300992;País Vasco;house;independent;475000.0;250.0;3;0.0;43.2624997;-1.9771571
301167;País Vasco;house;independent;380000.0;250.0;3;0.0;42.9550123;-2.9259836
301502;País Vasco;house;independent;445900.0;256.0;3;0.0;43.2070311;-2.8726721
301643;País Vasco;house;independent;350000.0;260.0;3;0.0;43.2835795;-2.898403
302413;País Vasco;house;independent;480000.0;275.0;3;0.0;43.3143234;-2.0222841
303155;País Vasco;house;independent;300000.0;296.0;3;0.0;43.1685469;-2.9700169
303219;País Vasco;house;independent;1100000.0;300.0;3;0.0;43.3543497;-3.0188482
303331;País Vasco;house;independent;660000.0;300.0;3;0.0;43.401599;-2.9595701
303367;País Vasco;house;independent;1100000.0;300.0;3;0.0;43.2927473;-1.977193
303373;País Vasco;house;independent;690000.0;300.0;3;0.0;43.3582664;-2.8772341
303443;País Vasco;house;independent;1100000.0;300.0;3;0.0;43.3477359;-3.0088003
303451;País Vasco;house;independent;495000.0;300.0;3;0.0;43.2960821;-2.2589916
303512;País Vasco;house;independent;900000.0;300.0;3;0.0;43.1091412;-2.9153675
303594;País Vasco;house;independent;900000.0;300.0;3;0.0;43.3757911;-2.9851086
303716;País Vasco;house;independent;496000.0;303.0;3;0.0;43.3524743;-2.8441435
303772;País Vasco;house;independent;1100000.0;307.0;3;0.0;43.3504497;-3.0164482
303824;País Vasco;house;independent;275000.0;310.0;3;0.0;43.3008217;-1.9589541
303887;País Vasco;house;independent;145000.0;315.0;3;0.0;43.2873886;-2.2416224
303996;País Vasco;house;independent;585000.0;320.0;3;0.0;42.8562889;-2.4736693
304049;País Vasco;house;independent;410000.0;322.0;3;0.0;43.3009111;-2.7653582
304163;País Vasco;house;independent;1000000.0;330.0;3;0.0;43.3533497;-3.0188482
304168;País Vasco;house;independent;550000.0;330.0;3;0.0;43.3771893;-2.5855954
304240;País Vasco;house;independent;695000.0;333.0;3;0.0;42.9554834;-2.8944695
304413;País Vasco;house;independent;457000.0;346.0;3;0.0;42.8828486;-2.6986229
304472;País Vasco;house;independent;795000.0;350.0;3;0.0;43.4036427;-2.9452858
304513;País Vasco;house;independent;709195.0;350.0;3;0.0;43.346005;-2.9245476
304529;País Vasco;house;independent;1050000.0;350.0;3;0.0;43.2933555;-1.9928269
304572;País Vasco;house;independent;550000.0;350.0;3;0.0;43.3771893;-2.5855954
304576;País Vasco;house;independent;480000.0;350.0;3;0.0;42.737235;-2.4469471
304605;País Vasco;house;independent;950000.0;351.0;3;0.0;42.8354439;-2.680401
304708;País Vasco;house;independent;372000.0;360.0;3;0.0;43.3209132;-3.1150051
304806;País Vasco;house;independent;679000.0;370.0;3;2.0;43.3311123;-1.8201979
304906;País Vasco;house;independent;620000.0;380.0;3;0.0;43.3911611;-2.9359464
304958;País Vasco;house;independent;300000.0;390.0;3;0.0;43.2596508;-3.1521886
305146;País Vasco;house;independent;800000.0;400.0;3;0.0;43.2750096;-2.0721312
305365;País Vasco;house;independent;650000.0;450.0;3;0.0;43.300838;-1.8612156
305382;País Vasco;house;independent;450000.0;450.0;3;0.0;43.2202299;-3.3468704
305444;País Vasco;house;independent;650000.0;465.0;3;2.0;43.3046261;-1.8492366
305788;País Vasco;house;independent;600000.0;580.0;3;0.0;43.0214839;-2.2729064
312208;País Vasco;house;independent;163000.0;100.0;4;0.0;43.1027114;-2.7492287
317335;País Vasco;house;independent;279899.0;110.0;4;0.0;43.3131151;-3.0615432
321204;País Vasco;house;independent;325000.0;115.0;4;0.0;43.142085;-2.1676749
325979;País Vasco;house;independent;289459.0;124.0;4;0.0;43.3785764;-2.8746163
327672;País Vasco;house;independent;249000.0;127.0;4;0.0;42.9567503;-2.8222402
331766;País Vasco;house;independent;310000.0;136.0;4;0.0;43.2459965;-3.2260635
332960;País Vasco;house;independent;270000.0;140.0;4;0.0;43.3735571;-2.9466549
333603;País Vasco;house;independent;330000.0;140.0;4;0.0;42.9552106;-2.8167323
336098;País Vasco;house;independent;144200.0;146.0;4;0.0;43.2650948;-3.1239617
336402;País Vasco;house;independent;345000.0;147.0;4;2.0;42.8038281;-2.6420541
337500;País Vasco;house;independent;404838.0;150.0;4;0.0;43.3052764;-3.0006269
337551;País Vasco;house;independent;210000.0;150.0;4;0.0;42.5899887;-2.7934963
338042;País Vasco;house;independent;490000.0;150.0;4;0.0;43.3280024;-2.9886419
339288;País Vasco;house;independent;56800.0;153.0;4;2.0;42.6347266;-2.5260748
340310;País Vasco;house;independent;392000.0;157.0;4;2.0;43.3342519;-1.8039112
341321;País Vasco;house;independent;650000.0;160.0;4;0.0;43.2977324;-2.9248734
342795;País Vasco;house;independent;317000.0;165.0;4;0.0;42.8219652;-2.5955139
342885;País Vasco;house;independent;465000.0;165.0;4;0.0;43.3297336;-2.9887187
343845;País Vasco;house;independent;400000.0;170.0;4;0.0;43.3923795;-2.9365022
343883;País Vasco;house;independent;380000.0;170.0;4;0.0;43.4042427;-2.9491858
343890;País Vasco;house;independent;240000.0;170.0;4;0.0;43.2044234;-3.0796735
343999;País Vasco;house;independent;601012.0;170.0;4;0.0;43.3492513;-3.0834395
344980;País Vasco;house;independent;349500.0;173.0;4;0.0;43.3678856;-2.8138637
345038;País Vasco;house;independent;200000.0;173.0;4;0.0;42.9772497;-2.7149563
346274;País Vasco;house;independent;440000.0;180.0;4;0.0;43.3505743;-2.8481435
346610;País Vasco;house;independent;450000.0;180.0;4;0.0;43.3904437;-2.9368197
346768;País Vasco;house;independent;330000.0;180.0;4;0.0;43.0491015;-2.1967926
346769;País Vasco;house;independent;395000.0;180.0;4;0.0;43.0174839;-2.2751064
346849;País Vasco;house;independent;210000.0;180.0;4;0.0;42.7498692;-3.0386832
347329;País Vasco;house;independent;750000.0;180.0;4;0.0;43.396278;-2.697531
348050;País Vasco;house;independent;399000.0;184.0;4;0.0;43.2519508;-2.5891648
348207;País Vasco;house;independent;450000.0;185.0;4;0.0;43.3589412;-3.0036776
348446;País Vasco;house;independent;980000.0;186.0;4;0.0;43.3071582;-2.0361643
349013;País Vasco;house;independent;490000.0;190.0;4;0.0;43.3494238;-3.0032421
349145;País Vasco;house;independent;480000.0;190.0;4;0.0;43.3695585;-2.699088
349192;País Vasco;house;independent;470000.0;190.0;4;0.0;42.8545483;-2.5927145
349196;País Vasco;house;independent;288000.0;190.0;4;2.0;42.7101553;-2.915888
349281;País Vasco;house;independent;422000.0;190.0;4;0.0;43.2642766;-2.9123688
349320;País Vasco;house;independent;300000.0;190.0;4;0.0;42.9552106;-2.8170323
349978;País Vasco;house;independent;590000.0;195.0;4;0.0;42.8222572;-2.5715186
350414;País Vasco;house;independent;275000.0;198.0;4;0.0;42.9512106;-2.8184323
350509;País Vasco;house;independent;450000.0;199.0;4;0.0;42.9173482;-2.7070767
350558;País Vasco;house;independent;978000.0;200.0;4;0.0;43.3750456;-2.9927705
350644;País Vasco;house;independent;394200.0;200.0;4;0.0;43.3678856;-2.8138637
350878;País Vasco;house;independent;790000.0;200.0;4;0.0;43.4187601;-2.8132349
351021;País Vasco;house;independent;480000.0;200.0;4;0.0;43.3735834;-2.9622723
351022;País Vasco;house;independent;1200000.0;200.0;4;0.0;43.375523;-2.992084
351028;País Vasco;house;independent;607000.0;200.0;4;0.0;43.3552499;-2.4891665
351205;País Vasco;house;independent;590000.0;200.0;4;0.0;43.3037529;-2.95422
351206;País Vasco;house;independent;450000.0;200.0;4;0.0;43.402307;-2.9090558
