index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10;País Vasco;premise;Vacio;7500.0;6.0;0;2.0;43.1456616;-2.9649239
22;País Vasco;premise;Vacio;50000.0;10.0;0;2.0;43.2581917;-2.9236892
25;País Vasco;premise;Vacio;50000.0;10.0;0;2.0;43.2621917;-2.9227892
26;País Vasco;premise;Vacio;60100.0;10.0;0;2.0;43.2746451;-2.9456474
30;País Vasco;premise;Vacio;35417.0;11.0;0;2.0;43.2376871;-2.8948379
31;País Vasco;premise;Vacio;21200.0;11.0;0;0.0;43.4210531;-2.7213783
37;País Vasco;premise;Vacio;25000.0;11.0;0;1.0;43.3244907;-1.9847678
39;País Vasco;premise;Vacio;6500.0;11.0;0;1.0;43.3150358;-1.983675
61;País Vasco;premise;Vacio;20000.0;12.0;0;2.0;43.2535183;-3.0999818
77;País Vasco;premise;Vacio;48081.0;13.0;0;2.0;43.284265;-2.9866891
102;País Vasco;premise;Vacio;62200.0;14.0;0;2.0;43.4193046;-2.7250842
103;País Vasco;premise;Vacio;116000.0;14.0;0;2.0;43.2585166;-2.9256829
104;País Vasco;premise;Vacio;18000.0;14.0;0;2.0;43.2517378;-2.945955
122;País Vasco;premise;Vacio;15750.0;15.0;0;2.0;43.3543442;-3.010962
123;País Vasco;premise;Vacio;33000.0;15.0;0;2.0;43.2450038;-2.9097978
129;País Vasco;premise;Vacio;29000.0;15.0;0;2.0;43.255227;-2.947105
144;País Vasco;premise;Vacio;160000.0;16.0;0;2.0;43.2632771;-2.9278426
145;País Vasco;premise;Vacio;62000.0;16.0;0;2.0;43.3122713;-2.001787
149;País Vasco;premise;Vacio;83000.0;16.0;0;2.0;43.2531453;-2.9480953
186;País Vasco;premise;Vacio;78000.0;18.0;0;0.0;43.4252708;-2.720715
205;País Vasco;premise;Vacio;59000.0;18.0;0;2.0;43.2807392;-2.9814875
212;País Vasco;premise;Vacio;30000.0;19.0;0;7.0;43.3154829;-1.9367769
214;País Vasco;premise;Vacio;12000.0;19.0;0;1.0;43.2714895;-2.9518434
224;País Vasco;premise;Vacio;25000.0;19.0;0;2.0;43.4176748;-2.7224411
240;País Vasco;premise;Vacio;54290.0;20.0;0;0.0;43.32057;-1.981617
250;País Vasco;premise;Vacio;42000.0;20.0;0;2.0;43.3254217;-1.9355599
256;País Vasco;premise;Vacio;65000.0;20.0;0;2.0;43.2359588;-2.8859094
260;País Vasco;premise;Vacio;43140.0;20.0;0;2.0;43.2600343;-2.9197982
263;País Vasco;premise;Vacio;31500.0;20.0;0;2.0;43.2659019;-2.9198043
278;País Vasco;premise;Vacio;18000.0;20.0;0;1.0;43.3483986;-3.0057556
292;País Vasco;premise;Vacio;50000.0;20.0;0;2.0;43.4026644;-2.7481176
293;País Vasco;premise;Vacio;72200.0;20.0;0;2.0;43.4026644;-2.7481176
296;País Vasco;premise;Vacio;75000.0;20.0;0;2.0;43.2845526;-2.9607474
302;País Vasco;premise;Vacio;55000.0;20.0;0;9.0;43.316509;-1.9206089
328;País Vasco;premise;Vacio;123600.0;21.0;0;2.0;43.2567491;-2.9360049
338;País Vasco;premise;Vacio;95000.0;22.0;0;2.0;43.3047003;-1.9719221
354;País Vasco;premise;Vacio;60101.0;22.0;0;2.0;43.2906453;-2.9869933
365;País Vasco;premise;Vacio;50000.0;23.0;0;0.0;43.3227738;-3.0025779
376;País Vasco;premise;Vacio;62000.0;23.0;0;2.0;43.258288;-2.9330916
379;País Vasco;premise;Vacio;34500.0;23.0;0;2.0;43.270763;-2.946347
382;País Vasco;premise;Vacio;72121.0;23.0;0;2.0;43.2573489;-2.9393507
384;País Vasco;premise;Vacio;175000.0;23.0;0;2.0;43.2645352;-2.9311065
389;País Vasco;premise;Vacio;100000.0;23.0;0;2.0;43.27015;-2.9272748
443;País Vasco;premise;Vacio;57000.0;24.0;0;2.0;43.2591918;-2.9136007
479;País Vasco;premise;Vacio;18600.0;25.0;0;2.0;43.2522572;-2.9139343
483;País Vasco;premise;Vacio;38000.0;25.0;0;2.0;43.3730558;-2.5079344
506;País Vasco;premise;Vacio;39000.0;25.0;0;2.0;43.3184131;-2.9816196
512;País Vasco;premise;Vacio;69000.0;25.0;0;2.0;43.2323598;-2.8426887
515;País Vasco;premise;Vacio;45076.0;25.0;0;2.0;43.255989;-2.9161301
516;País Vasco;premise;Vacio;48000.0;25.0;0;2.0;43.2520145;-2.9454432
517;País Vasco;premise;Vacio;150000.0;25.0;0;2.0;43.2633985;-2.9488608
518;País Vasco;premise;Vacio;19500.0;25.0;0;2.0;43.2549092;-2.9169134
523;País Vasco;premise;Vacio;90000.0;25.0;0;2.0;43.339576;-1.797475
527;País Vasco;premise;Vacio;79000.0;25.0;0;0.0;43.2383273;-2.8719699
529;País Vasco;premise;Vacio;18600.0;25.0;0;2.0;43.2521572;-2.9161343
541;País Vasco;premise;Vacio;66000.0;25.0;0;2.0;43.3504296;-3.0036818
545;País Vasco;premise;Vacio;73900.0;25.0;0;2.0;43.2600735;-2.9436868
553;País Vasco;premise;Vacio;93500.0;25.0;0;2.0;43.2845241;-1.9456994
557;País Vasco;premise;Vacio;104000.0;25.0;0;2.0;43.3137119;-2.6781866
558;País Vasco;premise;Vacio;44000.0;25.0;0;1.0;43.3680201;-2.6944477
561;País Vasco;premise;Vacio;39066.0;25.0;0;2.0;43.2799387;-2.9812825
577;País Vasco;premise;Vacio;65000.0;25.0;0;2.0;43.2547933;-2.9389126
579;País Vasco;premise;Vacio;77720.0;25.0;0;2.0;43.3175858;-1.9702365
582;País Vasco;premise;Vacio;83000.0;25.0;0;2.0;43.3374747;-1.7858542
586;País Vasco;premise;Vacio;33000.0;25.0;0;1.0;43.3235491;-1.9679053
601;País Vasco;premise;Vacio;58000.0;26.0;0;0.0;43.3227738;-3.0025779
618;País Vasco;premise;Vacio;39000.0;26.0;0;2.0;43.2550717;-2.9162082
621;País Vasco;premise;Vacio;60000.0;26.0;0;2.0;43.2990644;-1.8673862
627;País Vasco;premise;Vacio;33056.0;26.0;0;2.0;42.8608969;-2.6691836
633;País Vasco;premise;Vacio;31000.0;26.0;0;2.0;43.4026644;-2.7481176
661;País Vasco;premise;Vacio;16355.0;27.0;0;3.0;43.2526382;-2.913758
671;País Vasco;premise;Vacio;54000.0;27.0;0;2.0;43.2656997;-1.9763571
673;País Vasco;premise;Vacio;127300.0;27.0;0;2.0;43.2716902;-2.9528054
675;País Vasco;premise;Vacio;80000.0;27.0;0;2.0;43.2562088;-2.9374303
681;País Vasco;premise;Vacio;20000.0;27.0;0;2.0;43.2469116;-2.9338014
690;País Vasco;premise;Vacio;33000.0;27.0;0;1.0;43.318369;-1.9675948
729;País Vasco;premise;Vacio;75000.0;28.0;0;2.0;43.2522145;-2.9494432
755;País Vasco;premise;Vacio;225000.0;28.0;0;2.0;43.3159488;-1.9790466
772;País Vasco;premise;Vacio;220000.0;29.0;0;2.0;43.2559399;-2.9376696
777;País Vasco;premise;Vacio;52000.0;29.0;0;3.0;43.2780998;-2.959383
782;País Vasco;premise;Vacio;88000.0;29.0;0;0.0;43.3306658;-3.0367638
787;País Vasco;premise;Vacio;44700.0;29.0;0;2.0;43.2713981;-2.9294524
794;País Vasco;premise;Vacio;62000.0;29.0;0;2.0;43.4195803;-2.7215695
795;País Vasco;premise;Vacio;66000.0;29.0;0;2.0;43.3680201;-2.6944477
811;País Vasco;premise;Vacio;24200.0;30.0;0;0.0;43.2958726;-2.9974779
